Date,ITCI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0185016286644952,-2.0128338762214986,-0.3089250814332247,-1.1617589576547231,-1.0125732899022801,0.0
2018-09-25,1.0,-1.0275420963320716,-2.011486751076883,-0.31986685811251797,-1.160422921289649,-1.0072444850541704,0.0
2018-09-26,1.0,-1.0473294553146484,-2.043958223162348,-0.3371893178212586,-1.1776176626123744,-1.0041644632469593,0.0
2018-09-27,1.0,-1.0505183913359308,-2.0329525193158555,-0.3400911312157432,-1.1769794624579013,-1.0031697814171563,0.0
2018-09-28,1.0,-1.046520848476839,-2.0375999471353996,-0.3415053195004295,-1.177823300072689,-1.0046256525474129,0.0
2018-10-01,1.0,-1.0581039755351682,-2.0430128972211143,-0.3415104374418295,-1.1913974205557771,-1.01396090945353,0.0
2018-10-02,1.0,-1.058364981011393,-2.0638949963355318,-0.3373975614631221,-1.1902858285028983,-1.0127923246052368,0.0
2018-10-03,1.0,-1.0609642094017093,-2.0756543803418803,-0.33974358974358976,-1.190438034188034,-1.0106169871794872,0.0
2018-10-04,1.0,-1.0604156920403662,-2.0793290115618523,-0.34003876228029134,-1.1898683419100446,-1.0134331350664973,0.0
2018-10-05,1.0,-1.043845642049235,-2.0753160345974715,-0.31816367265469064,-1.196074517631404,-1.0200266134397873,0.0
2018-10-08,1.0,-1.0418549030029232,-2.0730799893701835,-0.31484188147754455,-1.1959872442200374,-1.0178049428647358,0.0
2018-10-09,1.0,-1.0565028418589102,-2.0858575727181545,-0.33333333333333337,-1.1977265128719492,-1.0133065864259447,0.0
2018-10-10,1.0,-1.0639994638788366,-2.086181477013805,-0.33949872671223696,-1.204463208685163,-1.007438681141938,0.0
2018-10-11,1.0,-0.9736530880420499,-2.1325229960578187,-0.18383705650459922,-1.2076872536136662,-1.0726675427069645,0.0
2018-10-12,1.0,-0.9860058309037901,-2.126595400064788,-0.1713637836086816,-1.169290573372206,-1.0255264010366052,0.0
2018-10-15,1.0,-0.9573655948761078,-2.180824222035324,-0.12673869444264732,-1.1706670117099047,-1.0339651937633434,0.0
2018-10-16,1.0,-0.9533359293873312,-2.2140446521287642,-0.10624350986500519,-1.1771806853582556,-1.039330218068536,0.0
2018-10-17,1.0,-0.923483353491629,-2.151823795276593,-0.07683493538735757,-1.1667833725889618,-1.0468521229868228,0.0
2018-10-18,1.0,-0.923483353491629,-2.1522057419313767,-0.07645298873257368,-1.166847030364759,-1.0467884652110255,0.0
2018-10-19,1.0,-0.9054292929292928,-2.142424242424242,-0.0524621212121212,-1.1698863636363634,-1.042929292929293,0.0
2018-10-22,1.0,-0.9054292929292928,-2.1405303030303027,-0.05505050505050505,-1.1692550505050505,-1.0428661616161616,0.0
2018-10-23,1.0,-0.9061962682290009,-2.1598420683945743,-0.03712666369483538,-1.1984971024644973,-1.066484111316309,0.0
2018-10-24,1.0,-0.9100694223297878,-2.1571237500796125,-0.022100503152665433,-1.2050824788230048,-1.0746449270747085,0.0
2018-10-25,1.0,-0.853589633359946,-2.0778726278941226,-0.004421789596511699,-1.1965239820671867,-1.0089664066818154,0.0
2018-10-26,1.0,-0.8351361205639279,-2.0562712688381137,-0.0,-1.1923310646572678,-0.9931332036947009,0.0
2018-10-29,1.0,-0.7945487583282859,-2.082858873410055,-0.0,-1.1744397334948515,-1.0050878255602667,0.0
2018-10-30,1.0,-0.8048528965726418,-2.0852896572641795,-0.0,-1.1764634516226873,-0.9995147103427359,0.0
2018-10-31,1.0,-0.8147009165460686,-2.0462493970091655,-0.0,-1.1766763145200194,-0.9923420164013508,0.0
2018-11-01,1.0,-0.8029381660545488,-2.0534047805406708,-0.0,-1.174062255403697,-0.9903666686736108,0.0
2018-11-02,1.0,-0.8024407926534557,-2.067061382310295,-0.0,-1.1760512324794588,-0.9959521507974867,0.0
2018-11-05,1.0,-0.7994686311213091,-2.073968963226858,-0.0,-1.175653644103617,-0.9891310911176862,0.0
