Date,CBPO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1105947955390334,-2.180839529120198,-0.17309479553903342,-1.7013630731102847,-1.5786864931846343,0.0
2018-09-25,1.0,-1.1118074899411947,-2.176725471990096,-0.1768028474156608,-1.6979263385948624,-1.574203033116682,0.0
2018-09-26,1.0,-1.1117560560328148,-2.1769212909217552,-0.17576039006268868,-1.698707530376906,-1.5761163996594691,0.0
2018-09-27,1.0,-1.1141753572808033,-2.1623792970258786,-0.17906527616840476,-1.6961761297798374,-1.5732715334105831,0.0
2018-09-28,1.0,-1.112827245347131,-2.1620202332226426,-0.18001390068731177,-1.6951888176693182,-1.572631091203954,0.0
2018-10-01,1.0,-1.1133590733590732,-2.160772200772201,-0.18054054054054056,-1.695057915057915,-1.5722779922779924,0.0
2018-10-02,1.0,-1.1145503666538015,-2.1463527595522964,-0.18626013122346582,-1.6970281744500193,-1.574835970667696,0.0
2018-10-03,1.0,-1.112790070156503,-2.1310615989515074,-0.1847968545216252,-1.6996376532264281,-1.5811425487626243,0.0
2018-10-04,1.0,-1.1177784624865197,-2.119319057156062,-0.18648898474811276,-1.7053612694500078,-1.5741026036049917,0.0
2018-10-05,1.0,-1.089442703157251,-2.1012155034018805,-0.15434599801238436,-1.714165583670973,-1.5855056952832352,0.0
2018-10-08,1.0,-1.0835111246571167,-2.0912069491008842,-0.1452301127704968,-1.7179213654373666,-1.5818348064614447,0.0
2018-10-09,1.0,-1.0809574630279006,-2.0934593688062204,-0.13706357676475073,-1.7230522945570974,-1.5886568074401586,0.0
2018-10-10,1.0,-1.0810604906292856,-2.0917263446594547,-0.13720859363096147,-1.7227639798872467,-1.5857077555995736,0.0
2018-10-11,1.0,-0.937586081913737,-2.0532801739760784,-0.0,-1.6659659296846685,-1.5921710764769845,0.0
2018-10-12,1.0,-0.9472220241066972,-2.034163041152557,-0.0,-1.617003066828329,-1.5337707724128093,0.0
2018-10-15,1.0,-0.9023628751862627,-2.0637195770950116,-0.0,-1.6023557794649825,-1.5272830483218618,0.0
2018-10-16,1.0,-0.901184649216145,-2.0647655529545292,-0.0,-1.6014045541604596,-1.5264240618571328,0.0
2018-10-17,1.0,-0.8425803763627526,-1.9670856190542323,-0.0,-1.5885007985556558,-1.5457259912506076,0.0
2018-10-18,1.0,-0.843513306927941,-1.9699812382739208,-0.0,-1.588562295879369,-1.5467305955110833,0.0
2018-10-19,1.0,-0.8025881057268722,-1.9417676211453747,-0.0,-1.5932681718061676,-1.545636013215859,0.0
2018-10-22,1.0,-0.8030396809022763,-1.9346674919194002,-0.0,-1.5934942576163948,-1.5459046833092633,0.0
2018-10-23,1.0,-0.8054028045092109,-1.9338053340665387,-0.0,-1.5905966455870222,-1.543992301347264,0.0
2018-10-24,1.0,-0.8022408578498762,-1.935592521308771,-0.0,-1.5915589771789938,-1.5444047291723948,0.0
2018-10-25,1.0,-0.708101101749838,-1.7891769280622165,-0.0,-1.5483473752430332,-1.4353208036292937,0.0
2018-10-26,1.0,-0.6651988084445021,-1.7824116047144152,-0.0,-1.5919570003885506,-1.4363424426887708,0.0
2018-10-29,1.0,-0.6325312800769972,-1.7820340070580687,-0.0,-1.5704844401668272,-1.4313763233878731,0.0
2018-10-30,1.0,-0.5932203389830509,-1.8095330865640629,-0.0,-1.5974413922982011,-1.4936684200272745,0.0
2018-10-31,1.0,-0.5943366006790954,-1.7600102504965085,-0.0,-1.5801781023768338,-1.472035364212954,0.0
2018-11-01,1.0,-0.5790213363996423,-1.7659384182956432,-0.0,-1.5749968059281971,-1.468187044844768,0.0
2018-11-02,1.0,-0.5797926150733435,-1.723571067273647,-0.0,-1.5687278705108751,-1.4506196256954982,0.0
2018-11-05,1.0,-0.575579559092919,-1.732613227212431,-0.0,-1.5676204914408438,-1.4409070810435223,0.0
2018-11-06,1.0,-0.5805290738051645,-1.7355893680156573,-0.0,-1.5629774606982765,-1.4344339920449525,0.0
2018-11-07,1.0,-0.5811153358681876,-1.746451204055767,-0.0,-1.56787072243346,-1.441761723700887,0.0
