Date,FRA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.08430881883680702,-0.2315973330198344,-0.0,-0.18914062106376903,-0.17441176964546629,0.0
2018-09-25,1.0,-0.08378564586869214,-0.23209934631736376,-0.0,-0.18951755196692938,-0.1750323480481944,0.0
2018-09-26,1.0,-0.08411748890979971,-0.23237330286328808,-0.0,-0.18947439171931713,-0.17436819464981854,0.0
2018-09-27,1.0,-0.08589997648876499,-0.22908339770933397,-0.0,-0.18985322271857052,-0.17453733248245054,0.0
2018-09-28,1.0,-0.08734909372162626,-0.2287217943975519,-0.0,-0.19038571476611627,-0.1749503984934593,0.0
2018-10-01,1.0,-0.08812247644683714,-0.2281965006729475,-0.0,-0.19098250336473754,-0.1750672947510094,0.0
2018-10-02,1.0,-0.08859758354928819,-0.2270050146400565,-0.0,-0.1915323259179484,-0.17564702318850334,0.0
2018-10-03,1.0,-0.08878339477804152,-0.2277157719307106,-0.0,-0.19147181118798715,-0.17542885039476122,0.0
2018-10-04,1.0,-0.08880692535704662,-0.22817299919159256,-0.0,-0.19142414443546216,-0.1757780921584479,0.0
2018-10-05,1.0,-0.08851119628807746,-0.2283639297962477,-0.0,-0.1901855961266895,-0.17408042498823212,0.0
2018-10-08,1.0,-0.0879305422607352,-0.22760172636740725,-0.0,-0.19016911011469928,-0.17366114161922513,0.0
2018-10-09,1.0,-0.0881004751750424,-0.22758030122403744,-0.0,-0.19000285440838185,-0.17338012324327953,0.0
2018-10-10,1.0,-0.0879928826817518,-0.22746881976734426,-0.0,-0.1899182515569134,-0.17323284038070938,0.0
2018-10-11,1.0,-0.061309368475991645,-0.21829331941544883,-0.0,-0.17773029749478078,-0.17366910229645094,0.0
2018-10-12,1.0,-0.059995149947457756,-0.21471182604478214,-0.0,-0.17316304259962814,-0.16881416215342332,0.0
2018-10-15,1.0,-0.05683266385971704,-0.21616738453596604,-0.0,-0.17199825775540822,-0.16819113068447628,0.0
2018-10-16,1.0,-0.05279232111692845,-0.22401590071747143,-0.0,-0.17151444638355634,-0.16760390407859868,0.0
2018-10-17,1.0,-0.048044442309847425,-0.21460704737204425,-0.0,-0.16963642476345997,-0.1686598466292045,0.0
2018-10-18,1.0,-0.048284808302104354,-0.21533583165177284,-0.0,-0.16916498510617856,-0.168700554114218,0.0
2018-10-19,1.0,-0.043465132540842916,-0.21044434555972286,-0.0,-0.16817112707393045,-0.16713813489288665,0.0
2018-10-22,1.0,-0.04391268376503532,-0.212642398014383,-0.0,-0.16771144911856425,-0.16677273595112327,0.0
2018-10-23,1.0,-0.0429681281243035,-0.21289839844620623,-0.0,-0.16873626898462127,-0.16739898748686596,0.0
2018-10-24,1.0,-0.04269050578449183,-0.2149185709277496,-0.0,-0.16892947063135416,-0.16698537145042547,0.0
2018-10-25,1.0,-0.03392848774544262,-0.2016808035365606,-0.0,-0.16873642938594435,-0.15775497133573893,0.0
2018-10-26,1.0,-0.027363261253994353,-0.19729780039090372,-0.0,-0.171687401110663,-0.15485682375205534,0.0
2018-10-29,1.0,-0.027039171935044005,-0.19658795091111939,-0.0,-0.17184207264162638,-0.1540535515061361,0.0
2018-10-30,1.0,-0.025438433413893534,-0.196566895953399,-0.0,-0.1718720951849786,-0.15534176116998202,0.0
2018-10-31,1.0,-0.027568883683659,-0.18863650372927324,-0.0,-0.17125377550391419,-0.15356284287739627,0.0
2018-11-01,1.0,-0.023140165044956276,-0.19192634560906516,-0.0,-0.17098780638009609,-0.15354415568419758,0.0
2018-11-02,1.0,-0.02446098365687102,-0.18534489373129748,-0.0,-0.1725773037673598,-0.15216757461827668,0.0
2018-11-05,1.0,-0.023655749022014266,-0.18749712357137377,-0.0,-0.17269310424177342,-0.15024929048093885,0.0
2018-11-06,1.0,-0.025111983800699515,-0.18862367306866293,-0.0,-0.1716266797570105,-0.14866233049027427,0.0
2018-11-07,1.0,-0.02489995553579369,-0.18866622713543185,-0.0,-0.17115652933870992,-0.1485257815734196,0.0
2018-11-08,1.0,-0.022145466216319482,-0.18807598844584372,-0.0,-0.16969020800537973,-0.14840060521771029,0.0
2018-11-09,1.0,-0.02151573538856776,-0.18839648897452368,-0.0,-0.1707801939015812,-0.1484845704498884,0.0
2018-11-12,1.0,-0.021291544477028346,-0.18713343108504402,-0.0,-0.17091275659824048,-0.1480327468230694,0.0
2018-11-13,1.0,-0.014189230116905932,-0.1842934157126416,-0.0,-0.17022533163728876,-0.1456175419468169,0.0
2018-11-14,1.0,-0.014781607802750348,-0.18392197249651665,-0.0,-0.1703822620706367,-0.14542315381353366,0.0
2018-11-15,1.0,-0.014577568086618576,-0.18398887023847327,-0.0,-0.1712108152247879,-0.1424186060578566,0.0
2018-11-16,1.0,-0.01484249704965655,-0.1843586407238176,-0.0,-0.17136199957636095,-0.14243350379762157,0.0
2018-11-19,1.0,-0.017401181281235804,-0.1841435711040436,-0.0,-0.17048311373618052,-0.1424352567014993,0.0
2018-11-20,1.0,-0.019342623447440168,-0.18482278097546198,-0.0,-0.17017570433202062,-0.1403514086640412,0.0
2018-11-21,1.0,-0.0183946994221402,-0.18452182857834387,-0.0,-0.16987867969624543,-0.13992678425558952,0.0
2018-11-23,1.0,-0.018985141406049247,-0.1793461009416993,-0.0,-0.17248363740798406,-0.1407409646749399,0.0
2018-11-26,1.0,-0.018953477827151538,-0.1794232338804752,-0.0,-0.17241014479610653,-0.14065475650675616,0.0
2018-11-27,1.0,-0.018578095971725044,-0.1792861781986799,-0.0,-0.17218723095745161,-0.1403476973733895,0.0
2018-11-28,1.0,-0.01807383676121681,-0.18199265561482778,-0.0,-0.17124809212216463,-0.13987578015202576,0.0
2018-11-29,1.0,-0.00924647253077154,-0.17865505854097868,-0.0,-0.17098468928249774,-0.1421495046532573,0.0
2018-11-30,1.0,-0.009169355443835823,-0.17859983492158776,-0.0,-0.17097621370150823,-0.14196743453140243,0.0
2018-12-03,1.0,-0.008881820773258518,-0.17864162153241414,-0.0,-0.17090003450707394,-0.14186908316204824,0.0
2018-12-04,1.0,-0.007926281090800121,-0.17878333832783938,-0.0,-0.17024273299370693,-0.14141444411147738,0.0
