Date,IWF,IWM,MEDP,MTUM,SPY,VLUE,VXX
2018-09-24,-1.1441054613935968,-2.093483992467043,1.0,-0.4141619585687382,-1.4966478342749527,-1.3846327683615818,0.0
2018-09-25,-1.1462349397590361,-2.09058734939759,1.0,-0.4180722891566265,-1.494352409638554,-1.3809487951807229,0.0
2018-09-26,-1.1473977555170596,-2.092114182420728,1.0,-0.4202003464638096,-1.4940875197710326,-1.3780974617760036,0.0
2018-09-27,-1.1480478447303093,-2.0844805536748665,1.0,-0.42157526517716093,-1.492364402317009,-1.37621304445949,0.0
2018-09-28,-1.1512162060396116,-2.085021462459523,1.0,-0.42209503727690345,-1.494389637773929,-1.377965208223511,0.0
2018-10-01,-1.1512275945172465,-2.085103178189486,1.0,-0.4225787016116885,-1.494276246422654,-1.3780689862931164,0.0
2018-10-02,-1.159888116117327,-2.06297248261264,1.0,-0.4350619897187783,-1.5089204717266405,-1.3928031448442695,0.0
2018-10-03,-1.1591870655787246,-2.0585524327591416,1.0,-0.43525234209731034,-1.5086884255061952,-1.3934723481414324,0.0
2018-10-04,-1.159531898829747,-2.054964137410343,1.0,-0.43548508871272174,-1.5087957719894298,-1.391241978104945,0.0
2018-10-05,-1.1529305409070365,-2.0588368238662045,1.0,-0.42006930842248,-1.5104715986138317,-1.3912912460448998,0.0
2018-10-08,-1.1502559470039142,-2.0548780487804876,1.0,-0.41177356218006617,-1.5187443541102077,-1.3922011442336644,0.0
2018-10-09,-1.1528782399035564,-2.0570373719107895,1.0,-0.4153104279686558,-1.518685955394816,-1.3908227848101267,0.0
2018-10-10,-1.1543502824858756,-2.0554425612052727,1.0,-0.4167231638418079,-1.51924670433145,-1.3871186440677965,0.0
2018-10-11,-1.0498594999639743,-2.0334318034440524,1.0,-0.27415519850133296,-1.4703508898335615,-1.3772606095540023,0.0
2018-10-12,-1.0612419090973755,-2.0261754036560213,1.0,-0.2567750195604239,-1.4354506010384807,-1.33323849491429,0.0
2018-10-15,-1.0378186968838528,-2.058073654390935,1.0,-0.22053824362606234,-1.4318696883852693,-1.3337818696883854,0.0
2018-10-16,-1.0381046816346766,-2.057369502089383,1.0,-0.22133295559175578,-1.4319002762235284,-1.3338763368510516,0.0
2018-10-17,-1.0001383508577752,-1.9853348090758163,1.0,-0.18324571112340898,-1.4147066961815165,-1.3341173215273936,0.0
2018-10-18,-1.0030487804878048,-1.9914772727272727,1.0,-0.18181818181818182,-1.4157427937915743,-1.336959534368071,0.0
2018-10-19,-0.9812551496841528,-1.9757621532546006,1.0,-0.15346058775061797,-1.4202142268607525,-1.3356220818456468,0.0
2018-10-22,-0.9816746739876459,-1.9717913520933426,1.0,-0.1538091969800961,-1.4202470830473577,-1.3358956760466714,0.0
2018-10-23,-0.9874888293118856,-1.974015260878532,1.0,-0.1631951605141954,-1.4156183405513165,-1.3338832749020417,0.0
2018-10-24,-0.9868746564046178,-1.9762231995601978,1.0,-0.1574354040681693,-1.4168499175371083,-1.3344557449147882,0.0
2018-10-25,-0.9181770422905174,-1.8770028894142368,1.0,-0.128053585500394,-1.3879695298135013,-1.2555818229577096,0.0
2018-10-26,-0.8932246165793051,-1.850967449686145,1.0,-0.09926875040445221,-1.3901507797838608,-1.2376237623762376,0.0
2018-10-29,-0.8770259840493955,-1.857602263956779,1.0,-0.08033187548237715,-1.3803061487007975,-1.2364934396706972,0.0
2018-10-30,-0.8715773235634401,-1.8573724129065434,1.0,-0.07668080730170973,-1.3805116338861037,-1.241483481167245,0.0
2018-10-31,-0.8744900560938298,-1.820882202957675,1.0,-0.07547169811320754,-1.3740438551759306,-1.2294110147883734,0.0
2018-11-01,-0.8987880350696233,-1.821621970087674,1.0,-0.09063950489943269,-1.3913744198040225,-1.2441335740072201,0.0
2018-11-02,-0.9018353904201573,-1.7850610730958623,1.0,-0.08262454434993924,-1.3932339962908484,-1.232397518705634,0.0
2018-11-05,-0.8972966063782195,-1.7963826931680194,1.0,-0.08212436888860485,-1.3927909503419187,-1.2224068511535757,0.0
2018-11-06,-0.897424426407618,-1.7961909631239217,1.0,-0.08244391896210136,-1.3925992202978208,-1.2222790311241771,0.0
2018-11-07,-0.8936143039591317,-1.7954661558109835,1.0,-0.0876117496807152,-1.3888250319284803,-1.2201149425287356,0.0
2018-11-08,-0.864815399179552,-1.795266645629536,1.0,-0.05490691069738087,-1.3753234458819816,-1.2207636478384347,0.0
2018-11-09,-0.8632834690399547,-1.7951145616360538,1.0,-0.05636558732563278,-1.3765700940478447,-1.2205390393233604,0.0
2018-11-12,-0.8638937830354895,-1.7674301535363706,1.0,-0.05235338535112005,-1.3907626478731436,-1.2180971558016611,0.0
2018-11-13,-0.8369321018472292,-1.7717174238642037,1.0,-0.011233150274588119,-1.403020469296056,-1.2176734897653518,0.0
2018-11-14,-0.8369219247331959,-1.7718904075391624,1.0,-0.011233851338700617,-1.403108032203707,-1.217874305685577,0.0
2018-11-15,-0.835961358678716,-1.7718292302898098,1.0,-0.00847616079775631,-1.4032408850109066,-1.2129635400436272,0.0
2018-11-16,-0.8319003115264797,-1.7592523364485981,1.0,-0.0,-1.4089096573208721,-1.230404984423676,0.0
