Date,DHR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.278129173701585,-0.3901922737696243,-0.09732127107325556,-0.41340120454602725,-0.34092684524859507,0.0
2018-09-25,1.0,-0.2785336356764928,-0.3897203325774755,-0.09805996472663141,-0.41295036533131774,-0.34026203073822125,0.0
2018-09-26,1.0,-0.2788289536670782,-0.3900632385175481,-0.09878813836889976,-0.4127132095437253,-0.33906931042301786,0.0
2018-09-27,1.0,-0.28270456893727475,-0.3826768478616971,-0.1011063229253295,-0.4138252564199491,-0.33975958267180767,0.0
2018-09-28,1.0,-0.2804478289374149,-0.3853446971607242,-0.10159362549800798,-0.4140148267688739,-0.3401835695193908,0.0
2018-10-01,1.0,-0.28011501210653755,-0.38604721549636806,-0.10182102502017758,-0.4138418079096045,-0.3403954802259887,0.0
2018-10-02,1.0,-0.2811199394627317,-0.3772480766805398,-0.10500693656198763,-0.416042376087779,-0.3429436246689368,0.0
2018-10-03,1.0,-0.28098048116205177,-0.3753971856559237,-0.10485701316386745,-0.41655318505068845,-0.3440006052352852,0.0
2018-10-04,1.0,-0.2838267184426849,-0.3709213777800192,-0.10527510212315297,-0.42034394069292447,-0.3412174088456301,0.0
2018-10-05,1.0,-0.2818705796481337,-0.3693337696005638,-0.10198585487402784,-0.4219375298885002,-0.3418237648184037,0.0
2018-10-08,1.0,-0.28077319458059974,-0.3671920166905462,-0.09941432270065104,-0.4246034738456124,-0.3416283337103788,0.0
2018-10-09,1.0,-0.28388721047331317,-0.3681520644511581,-0.10521148036253777,-0.4225327291037261,-0.33783987915407854,0.0
2018-10-10,1.0,-0.2867296786389414,-0.3671077504725898,-0.10785129174543163,-0.4248015122873346,-0.33396345305608066,0.0
2018-10-11,1.0,-0.26945380650277556,-0.3629312053925456,-0.08378766851704997,-0.4223830293417923,-0.33961141950832674,0.0
2018-10-12,1.0,-0.2700308451573103,-0.3604935225169648,-0.0809376927822332,-0.42072794571252314,-0.3354225786551511,0.0
2018-10-15,1.0,-0.2722828502296183,-0.35729099797540864,-0.08271196484124241,-0.4216581897190262,-0.33504518295392816,0.0
