Date,CDNA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.0138254693049213,-3.677194317605277,-0.6948249619482497,-2.7663622526636225,-2.5318366311517,0.0
2018-09-25,1.0,-2.0252858958068614,-3.6785260482846245,-0.7074968233799237,-2.7672172808132145,-2.5280813214739517,0.0
2018-09-26,1.0,-2.048064598820815,-3.717764675724173,-0.7221225326839271,-2.791591899512945,-2.537554473211997,0.0
2018-09-27,1.0,-2.0614654176825353,-3.699345566534069,-0.7303990760939304,-2.7982805081483386,-2.542409854998075,0.0
2018-09-28,1.0,-2.0762733887733886,-3.7585758835758836,-0.7415540540540541,-2.837058212058212,-2.5805613305613306,0.0
2018-10-01,1.0,-2.0824527071102414,-3.77795172863666,-0.7444227005870842,-2.8484018264840185,-2.593085453359426,0.0
2018-10-02,1.0,-2.08547902235002,-3.7947980656123383,-0.7443471441641616,-2.850477061821984,-2.595216311593256,0.0
2018-10-03,1.0,-2.107138144873994,-3.8443066367594674,-0.7555086423010952,-2.8739939305977047,-2.613405462462066,0.0
2018-10-04,1.0,-2.107284243863816,-3.845341778833465,-0.7549485352335709,-2.874505146476643,-2.6140142517814726,0.0
2018-10-05,1.0,-2.0491931285788647,-3.794377928162415,-0.7018479958355023,-2.862051015096304,-2.6065851119208743,0.0
2018-10-08,1.0,-2.0589465429355642,-3.8111357992419297,-0.7067050058815841,-2.8738726963795584,-2.6193961573650504,0.0
2018-10-09,1.0,-2.055998953290593,-3.817349208426011,-0.6934449823367788,-2.884338610493262,-2.6327358367133327,0.0
2018-10-10,1.0,-2.0550254868644626,-3.8129656254084434,-0.6935041171088747,-2.8821069141288724,-2.6265847601620704,0.0
2018-10-11,1.0,-1.7859127703274136,-3.6491482421167087,-0.4154887036365833,-2.694575329225565,-2.5364262413918084,0.0
2018-10-12,1.0,-1.7856384860275911,-3.5961561136658413,-0.3829737059309044,-2.5996934323782575,-2.4264827260936213,0.0
2018-10-15,1.0,-1.7323279924599435,-3.698986804901037,-0.29700754005655045,-2.605914231856739,-2.4471017907634307,0.0
