Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XEC
2018-09-24,-0.402126523712074,-1.2122519797134976,-0.0,-0.936159800694012,-0.8982560726043243,0.0,1.0
2018-09-25,-0.4206893460624804,-1.2198467123840258,-0.0,-0.9427636591815696,-0.8988391376451078,0.0,1.0
2018-09-26,-0.421451302048317,-1.2206086683698625,-0.0,-0.9427188382412263,-0.8973152256734346,0.0,1.0
2018-09-27,-0.4224998880379775,-1.2170271843790585,-0.0,-0.9421828115903087,-0.89677101527162,0.0,1.0
2018-09-28,-0.4244107894972668,-1.2164172416883234,-0.0,-0.9426919974908146,-0.8972130119186308,0.0,1.0
2018-10-01,-0.4269824183710083,-1.2154198062432724,-0.0,-0.9447434517402225,-0.8979637603157518,0.0,1.0
2018-10-02,-0.4434145679793824,-1.1866889722837637,-0.0,-0.9693448478545914,-0.9219152687977573,0.0,1.0
2018-10-03,-0.4429812652728754,-1.1724137931034482,-0.0,-0.9764684586840437,-0.9334328898542854,0.0,1.0
2018-10-04,-0.4429076727734446,-1.1784418646834753,-0.0,-0.975693814619989,-0.9376927262833303,0.0,1.0
2018-10-05,-0.4166328050927807,-1.1661474558670821,-0.0,-0.9833852544132918,-0.948756151519256,0.0,1.0
2018-10-08,-0.41248530874242834,-1.1635475996745321,-0.0,-0.9936262544073773,-0.9506825784287135,0.0,1.0
2018-10-09,-0.40984495773629254,-1.1634046015459023,-0.0,-0.994530579035393,-0.9523572752339193,0.0,1.0
2018-10-10,-0.4162967660114141,-1.1641453030165776,-0.0,-1.0003623516622882,-0.9485460639550684,0.0,1.0
2018-10-11,-0.31762447091678664,-1.1364489243792817,-0.0,-0.9615569228083954,-0.9479862111096565,0.0,1.0
2018-10-12,-0.31639752619824774,-1.1227881807249613,-0.0,-0.9363940903624807,-0.9192578594743172,0.0,1.0
2018-10-15,-0.27155394940629834,-1.172947857511616,-0.0,-0.9323696437790397,-0.9253140595422474,0.0,1.0
2018-10-16,-0.26874274162329564,-1.1771258978880812,-0.0,-0.9311798356918577,-0.9241687814529657,0.0,1.0
2018-10-17,-0.23556513652886973,-1.1209738777580522,-0.0,-0.9282695071434609,-0.942091470115817,0.0,1.0
2018-10-18,-0.2356248943006934,-1.1220192795535262,-0.0,-0.9279976323355318,-0.9423304583121934,0.0,1.0
2018-10-19,-0.2108062827225131,-1.1059685863874347,-0.0,-0.9301780104712042,-0.9415287958115183,0.0,1.0
2018-10-22,-0.21129417683310275,-1.092986207185679,-0.0,-0.9387498427870709,-0.9493564750765103,0.0,1.0
2018-10-23,-0.20887564027206315,-1.0947602653455368,-0.0,-0.9427323872701318,-0.9521790242673608,0.0,1.0
2018-10-24,-0.20841421216980338,-1.1071820406785382,-0.0,-0.9484344670436323,-0.9557346611528399,0.0,1.0
2018-10-25,-0.16298432296320364,-1.0436195272520512,-0.0,-0.943262123304362,-0.911542522946958,0.0,1.0
2018-10-26,-0.13683321943964305,-1.0271334968042771,-0.0,-0.955099087510552,-0.9007516983559111,0.0,1.0
2018-10-29,-0.11027178257394085,-1.0358912869704238,-0.0,-0.944324540367706,-0.9062749800159873,0.0,1.0
2018-10-30,-0.13765982333723228,-1.0465857298431007,-0.0,-0.9535756060178275,-0.8956156979792683,0.0,1.0
2018-10-31,-0.1437602528708038,-1.018085063817869,-0.0,-0.9507061977353658,-0.8885687992637938,0.0,1.0
2018-11-01,-0.1300770797555813,-1.0271576340908182,-0.0,-0.9488398098965614,-0.8876951954950277,0.0,1.0
2018-11-02,-0.13477398889770026,-0.9970658207771611,-0.0,-0.9532117367168914,-0.8800555114988106,0.0,1.0
2018-11-05,-0.13095521204914784,-1.0074118113357113,-0.0,-0.9537851763773284,-0.8713832738803011,0.0,1.0
