Date,IT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3104807828676784,-0.601843710112041,-0.1236987661324635,-0.4410721883420792,-0.3594100127641469,0.0
2018-09-25,1.0,-0.30984756011014275,-0.6032304766230447,-0.1222357850512391,-0.4423027791182899,-0.3611150537939648,0.0
2018-09-26,1.0,-0.3138428221348379,-0.6095628882430045,-0.12760015957143672,-0.44355160426283696,-0.3549039721889782,0.0
2018-09-27,1.0,-0.31420025637373594,-0.6082324455205811,-0.12798746617290985,-0.44341261928500214,-0.3547642785927931,0.0
2018-09-28,1.0,-0.31365008830399366,-0.6085284566740728,-0.1282686720218766,-0.44328604796900817,-0.3548111433942916,0.0
2018-10-01,1.0,-0.3150079799361605,-0.6075581395348837,-0.12802097583219335,-0.44431144550843593,-0.355078659370725,0.0
2018-10-02,1.0,-0.3152945199623835,-0.6044854806075632,-0.12926391382405744,-0.4448149098059332,-0.3558462283776467,0.0
2018-10-03,1.0,-0.31498732302082444,-0.5982964418995528,-0.1283650970002564,-0.447141269976925,-0.3599407458052018,0.0
2018-10-04,1.0,-0.316837039779037,-0.5946353825564509,-0.128790683106011,-0.4494433212790797,-0.35775506136279506,0.0
2018-10-05,1.0,-0.3130699088145897,-0.5935573672698349,-0.12410874073232395,-0.45126835781041386,-0.3586626139817629,0.0
2018-10-08,1.0,-0.31233506427172897,-0.5923498198121506,-0.12286825004965807,-0.45194517749212565,-0.35810561561817206,0.0
2018-10-09,1.0,-0.31419484907857004,-0.5928670812391743,-0.1265298009484056,-0.45046426441775284,-0.3554533321975183,0.0
2018-10-10,1.0,-0.31415916640640523,-0.5929417109111041,-0.12637347037278895,-0.4504982822747792,-0.3552710030947446,0.0
2018-10-11,1.0,-0.2965663677255329,-0.5916519989942167,-0.10328835247115357,-0.4455061045455815,-0.3568574861006342,0.0
2018-10-12,1.0,-0.3024227003705957,-0.5875324962663864,-0.10191382266718292,-0.4330438630455224,-0.3406991537142541,0.0
2018-10-15,1.0,-0.30703163960769103,-0.5826730204466116,-0.10611181913891506,-0.4345597606250346,-0.3401673408322713,0.0
2018-10-16,1.0,-0.3086200682063937,-0.5783403110876979,-0.1098233842570771,-0.434995979704439,-0.34086561122355613,0.0
2018-10-17,1.0,-0.3022252747252747,-0.5629395604395605,-0.10464285714285715,-0.43351648351648353,-0.3439285714285714,0.0
