Date,CRWD,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-10,1.0,-1.7077967040576099,-1.858883811106495,-4.995983935742973,-3.6165351059410056,-0.669297881179892,0.0
2020-02-11,1.0,-1.6657008830022075,-1.8589955849889623,-4.961782560706402,-3.6081677704194255,-0.7022626931567328,0.0
2020-02-12,1.0,-1.660314830157415,-1.8641259320629662,-4.966445733222867,-3.6088097210715278,-0.7086440209886772,0.0
2020-02-13,1.0,-1.6299006073992268,-1.866234124792932,-5.002070679182772,-3.607813362782993,-0.6983710657095528,0.0
2020-02-14,1.0,-1.6400662708822313,-1.8564130884992407,-4.984674858484055,-3.61604307607345,-0.7090984398729809,0.0
2020-02-18,1.0,-1.6355721393034828,-1.865395245992261,-4.968076285240464,-3.6120784964068546,-0.73852957435047,0.0
2020-02-19,1.0,-1.6523242944106253,-1.878666297731046,-4.9789706696181515,-3.6140011068068625,-0.7109850581073602,0.0
2020-02-20,1.0,-1.63397427030018,-1.877299764836077,-4.995988380135565,-3.6130861806612256,-0.7128233503942455,0.0
2020-02-21,1.0,-1.614119922630561,-1.8850511190936723,-5.000828958275767,-3.612047526941144,-0.7037855761260017,0.0
2020-02-24,1.0,-1.4682507169192953,-1.882698347671719,-5.016796394920115,-3.5970230779735077,-0.6909736446811415,0.0
2020-02-25,1.0,-1.3115571465098441,-1.9364612631040654,-4.835719764766044,-3.089491178726669,-0.611224750703145,0.0
2020-02-26,1.0,-1.3289245982694684,-1.7744128553770089,-4.790482076637825,-3.0524103831891223,-0.4147095179233622,0.0
2020-02-27,1.0,-1.411990111248455,-1.7296662546353523,-4.756118665018541,-3.0866501854140913,-0.3766378244746601,0.0
2020-02-28,1.0,-1.248002778742619,-2.030450387866157,-4.355447493342596,-2.614102118791247,-0.3302072478869978,0.0
2020-03-02,1.0,-1.3997433803802635,-1.8869707220342937,-4.327773241572379,-2.6989385279365448,-0.3509856526303511,0.0
2020-03-03,1.0,-1.2578751270181776,-2.2901659704188777,-3.902224229423055,-2.5385570735011855,-0.3016822851981484,0.0
2020-03-04,1.0,-1.0727868852459017,-2.402295081967213,-3.9773770491803275,-2.3659016393442625,-0.11060109289617487,0.0
2020-03-05,1.0,-0.9860703812316716,-2.740364474235442,-3.6006493506493507,-2.1463133640553,-0.0,0.0
2020-03-06,1.0,-0.9204660587639312,-2.6516717325227965,-3.5887537993920975,-1.9708206686930092,-0.0,0.0
2020-03-09,1.0,-0.9031742862846875,-2.589239369135556,-3.568277101217808,-1.921341585146736,-0.0,0.0
2020-03-10,1.0,-1.444980694980695,-1.3638191763191763,-2.7303732303732304,-1.504584942084942,-0.0,0.0
