Date,CODX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,0.515627759138266,-3.309729825181,-3.4280416740243687,-3.214903761257284,-3.354758961681088,-3.350874095002649,0.4843722408617341
2018-09-25,0.5157299399080947,-3.313184870979144,-3.431071049840933,-3.2182750088370446,-3.357723577235772,-3.3536585365853657,0.4842700600919052
2018-09-26,0.515451174289246,-3.3100829948790396,-3.4278650891753486,-3.215433515804344,-3.354582376832068,-3.350520925304609,0.484548825710754
2018-09-27,0.5152638080112935,-3.3080995235574377,-3.4243868007764253,-3.2133403917416627,-3.3522145756131994,-3.3481559908240692,0.4847361919887066
2018-09-28,0.5152584230022932,-3.306579643676133,-3.423355089080966,-3.2122067384018345,-3.351031928029635,-3.3469747750926087,0.4847415769977068
2018-10-01,0.515076706048316,-3.3052371715746784,-3.421971433609593,-3.210897548933169,-3.349673778874978,-3.3456180567801095,0.48492329395168404
2018-10-02,0.5160262086063396,-3.319992916592881,-3.438462900655215,-3.2248981760226667,-3.3646183814414736,-3.3605454223481495,0.48397379139366037
2018-10-03,0.5162774239207361,-3.31687898089172,-3.4345364472753004,-3.2216914366595897,-3.3618188251946215,-3.3579263977353144,0.48372257607926394
2018-10-04,0.5160948001414928,-3.3162362928899896,-3.4324372125928546,-3.220728687654758,-3.3611602405376724,-3.3562079943402905,0.4839051998585072
2018-10-05,0.523895077254761,-3.369385555156306,-3.4885016169601153,-3.2725476104922744,-3.419870643190801,-3.415738411785843,0.4761049227452389
2018-10-08,0.5256640344580044,-3.3655778894472363,-3.484206748025844,-3.2681263460157934,-3.416905958363245,-3.412060301507538,0.4743359655419957
2018-10-09,0.5260986547085202,-3.3634080717488795,-3.482331838565023,-3.265650224215247,-3.4152466367713012,-3.4107623318385656,0.47390134529147987
2018-10-10,0.5263535317318035,-3.3615991394765152,-3.4802796701326644,-3.2640731444962356,-3.413230548583722,-3.408569379705988,0.4736464682681965
2018-10-11,0.588235294117647,-3.686470588235294,-3.8331372549019607,-3.5727450980392157,-3.755882352941176,-3.7598039215686274,0.4117647058823529
2018-10-12,0.6097261953412342,-3.853902738046588,-4.003473641193298,-3.7323252962811604,-3.920310584389048,-3.922966898242746,0.3902738046587658
2018-10-15,0.625466611364579,-3.9097884695147243,-4.075902115304853,-3.783907092492742,-3.981957693902945,-3.9867274989630856,0.37453338863542096
2018-10-16,0.6256728778467909,-3.902277432712216,-4.070807453416149,-3.7759834368530023,-3.9749482401656318,-3.9797101449275365,0.3743271221532091
2018-10-17,0.6538056082648113,-3.9757537423571576,-4.1454775458570525,-3.8437697659709045,-4.0554501370440645,-4.063251106894371,0.34619439173518873
2018-10-18,0.6544955677501055,-3.980160405234276,-4.149852258336851,-3.8480371464753063,-4.0599409033347404,-4.067961165048544,0.34550443224989447
2018-10-19,0.6729012614180078,-4.105480643758155,-4.28099173553719,-3.968899521531101,-4.192909960852544,-4.2005219660722055,0.3270987385819922
