Date,ARKF,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-03,1.0,-0.5149482280880852,-0.17573282776724516,-0.32463176316173253,-0.3092460259588742,-0.10604734820864324,0.0
2019-10-04,1.0,-0.5185825621042377,-0.17291768144179248,-0.32795908426692644,-0.31013151485630785,-0.10589381393083291,0.0
2019-10-07,1.0,-0.5177453027139876,-0.1755109967470991,-0.3211147254454533,-0.306937903578191,-0.1062047871049182,0.0
2019-10-08,1.0,-0.5181491726112486,-0.1764206337652254,-0.3198185082738875,-0.3061095744164604,-0.10588634929878196,0.0
2019-10-09,1.0,-0.5237162276564351,-0.17630554144595215,-0.31267687395689714,-0.3047674334228285,-0.10132307766731972,0.0
2019-10-10,1.0,-0.5226586102719033,-0.17800604229607248,-0.3114682779456194,-0.30438670694864045,-0.1003987915407855,0.0
2019-10-11,1.0,-0.5225921809307496,-0.17894940317981925,-0.31198956168752723,-0.3038467114483159,-0.09892234088822306,0.0
2019-10-14,1.0,-0.5237738765062424,-0.17806862910820798,-0.31158387867957793,-0.3040496486440801,-0.09731713795851345,0.0
2019-10-15,1.0,-0.5239912100649586,-0.1775615174712033,-0.3113423969476709,-0.30402550047088944,-0.0978966941150902,0.0
2019-10-16,1.0,-0.5251172460474786,-0.17731953778465404,-0.30977130977130973,-0.3049605956582701,-0.10025141420490256,0.0
2019-10-17,1.0,-0.5252393069186961,-0.17213134617714768,-0.3179934569247546,-0.3023627771719375,-0.10563431479462013,0.0
2019-10-18,1.0,-0.5248539783330506,-0.17263275247812707,-0.3181939361624779,-0.3024163253435448,-0.10547490366205377,0.0
2019-10-21,1.0,-0.5303000874040983,-0.17369136641740313,-0.3197047683791395,-0.30343789453238806,-0.10078178110129163,0.0
2019-10-22,1.0,-0.5276113951789627,-0.176381787192598,-0.321499878256635,-0.30664718772826877,-0.10275140004869734,0.0
2019-10-23,1.0,-0.5353315921794527,-0.17527886938905027,-0.3316654055505382,-0.30586541043227805,-0.09272864849032196,0.0
2019-10-24,1.0,-0.5346271207128036,-0.17532039545953862,-0.33294275601122914,-0.3047235444891981,-0.09347003539606981,0.0
2019-10-25,1.0,-0.5424048616726702,-0.17258447891396506,-0.3506579431007866,-0.29638070033571023,-0.08843637432919207,0.0
2019-10-28,1.0,-0.5406466172791051,-0.16994554285433938,-0.3515674827061767,-0.2936025118971692,-0.09728695481528725,0.0
2019-10-29,1.0,-0.5413138972735527,-0.170065523080321,-0.35144420721980907,-0.2928170016442121,-0.09838278239956809,0.0
2019-10-30,1.0,-0.549237306870379,-0.16499226253346758,-0.3487018250595662,-0.29331139004200335,-0.10012036059050378,0.0
2019-10-31,1.0,-0.5473857413001302,-0.16640880178786316,-0.3472089196689506,-0.2928608266411258,-0.10201625776664457,0.0
