Date,ACES,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-27,1.0,-0.0,-0.2612414205991148,-0.0,-0.5148068164810023,-0.3621202078299729,0.0
2019-02-28,1.0,-0.0,-0.2661105764089402,-0.0,-0.5183830606352262,-0.35431504651908885,0.0
2019-03-01,1.0,-0.0,-0.26639151447756726,-0.0,-0.5194388606133186,-0.35265814122578165,0.0
2019-03-04,1.0,-0.0,-0.25547585911572634,-0.0,-0.5187667273311208,-0.3668557970238732,0.0
2019-03-05,1.0,-0.0,-0.2520756654968758,-0.0,-0.5236026705469485,-0.364183000941539,0.0
2019-03-06,1.0,-0.0,-0.25234344904335915,-0.0,-0.5230278645721868,-0.36476479904121906,0.0
2019-03-07,1.0,-0.0,-0.24692097160451593,-0.0,-0.5287375983578515,-0.3625342114266165,0.0
2019-03-08,1.0,-0.0,-0.24634615384615383,-0.0,-0.5288675213675214,-0.36155982905982903,0.0
2019-03-11,1.0,-0.0,-0.24655456079998292,-0.0,-0.5284716138544048,-0.3616589389115617,0.0
2019-03-12,1.0,-0.0,-0.24724123182207014,-0.0,-0.5295765611633875,-0.3617621899059025,0.0
2019-03-13,1.0,-0.0,-0.24652376673940016,-0.0,-0.5306336371026398,-0.3620416720147179,0.0
2019-03-14,1.0,-0.0,-0.24646456002225026,-0.0,-0.5307759782631951,-0.362208767463255,0.0
2019-03-15,1.0,-0.0,-0.24662487430197477,-0.0,-0.5305847365155437,-0.36235263912364407,0.0
2019-03-18,1.0,-0.0,-0.249636379192334,-0.0,-0.5308436002737851,-0.35846594798083503,0.0
2019-03-19,1.0,-0.0,-0.2488826158550929,-0.0,-0.5315540728384764,-0.35811894527490856,0.0
2019-03-20,1.0,-0.0,-0.24759399461054793,-0.0,-0.5319517515719235,-0.3591257111082596,0.0
2019-03-21,1.0,-0.0,-0.24719005085687423,-0.0,-0.544638659771785,-0.34503611265438694,0.0
2019-03-22,1.0,-0.0,-0.246518076143756,-0.0,-0.5471899328143329,-0.33917031033379547,0.0
2019-03-25,1.0,-0.0,-0.2409328080076669,-0.0,-0.5490150143754658,-0.339750825258226,0.0
2019-03-26,1.0,-0.0,-0.2414600902972996,-0.0,-0.5489607291932873,-0.3392324729534032,0.0
2019-03-27,1.0,-0.0,-0.2387872340425532,-0.0,-0.5513829787234042,-0.3374893617021277,0.0
2019-03-28,1.0,-0.0,-0.24008421768996832,-0.0,-0.549711830884073,-0.3369132940601008,0.0
2019-03-29,1.0,-0.0,-0.23793220771488113,-0.0,-0.5499723557181134,-0.3385786586143835,0.0
2019-04-01,1.0,-0.0,-0.2421435097635085,-0.0,-0.5508998576376347,-0.33176805558506683,0.0
2019-04-02,1.0,-0.0,-0.24420775693796146,-0.0,-0.5525757447169651,-0.3249172536705423,0.0
