Date,GSBC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.15637545942889453,-0.8893412496465931,-0.007266044670624822,-0.3901328809725756,-0.38416737348035057,0.0
2018-09-25,1.0,-0.15541136628816984,-0.8981188992287772,-0.0009960442812829051,-0.3979054611685023,-0.39343749110674753,0.0
2018-09-26,1.0,-0.155133642651789,-0.8980387691782186,-0.0,-0.3983376505080983,-0.3949218638809029,0.0
2018-09-27,1.0,-0.15346023737171033,-0.9123616765093744,-0.0,-0.4021845077690499,-0.398801674215928,0.0
2018-09-28,1.0,-0.15663134924053176,-0.9113905877623683,-0.0,-0.4034800585752433,-0.39983346254342894,0.0
2018-10-01,1.0,-0.15642329684222625,-0.9127948740051145,-0.0,-0.4036146309226216,-0.40048271700715454,0.0
2018-10-02,1.0,-0.15549860339217322,-0.9242376249028134,-0.0,-0.40158954127911994,-0.3982492009099548,0.0
2018-10-03,1.0,-0.15511038194744264,-0.9194082261174912,-0.0,-0.4029013038597703,-0.40082894395993435,0.0
2018-10-04,1.0,-0.15450928381962864,-0.9230480913389459,-0.0,-0.40191442740168376,-0.40370199515626803,0.0
2018-10-05,1.0,-0.14267665891406092,-0.9211244149654003,-0.0,-0.4021592442645074,-0.40537513997760355,0.0
2018-10-08,1.0,-0.13946476770229138,-0.918710159076552,-0.0,-0.40762648595876644,-0.405616493424453,0.0
2018-10-09,1.0,-0.13739340167111722,-0.9187986332443219,-0.0,-0.4082177620811439,-0.406896947770408,0.0
2018-10-10,1.0,-0.1389447091921686,-0.9181259688809784,-0.0,-0.40919791008784523,-0.40448986622265604,0.0
2018-10-11,1.0,-0.08477513486318027,-0.9168460183917042,-0.0,-0.38776308801744136,-0.4057075774939207,0.0
2018-10-12,1.0,-0.0795826627448804,-0.9191409068205783,-0.0,-0.37937732393584556,-0.3967478772406904,0.0
2018-10-15,1.0,-0.04355094875867258,-0.9629970185850817,-0.0,-0.3770236005461284,-0.40279751455877844,0.0
2018-10-16,1.0,-0.038923741809563636,-0.9714206050467028,-0.0,-0.3760769552488498,-0.40181235187508707,0.0
2018-10-17,1.0,-0.01991363423824848,-0.940699177599912,-0.0,-0.37571856863877656,-0.41417058613196905,0.0
2018-10-18,1.0,-0.0201414302616735,-0.9419970833447983,-0.0,-0.3751203808161132,-0.4143026167349972,0.0
2018-10-19,1.0,-0.0006036162098389443,-0.937498285181222,-0.0,-0.38480533377232695,-0.4208028095590858,0.0
2018-10-22,1.0,-0.0011843772379221066,-0.9250261664738612,-0.0,-0.39660111276373056,-0.4315540131107806,0.0
2018-10-23,1.0,-0.0,-0.9257053032183339,-0.0,-0.39896858884200653,-0.43310995284189624,0.0
2018-10-24,1.0,-0.0,-0.9227979848308697,-0.0,-0.404058019155179,-0.44123346066544866,0.0
2018-10-25,1.0,-0.0,-0.8971663867367393,-0.0,-0.3939155875819472,-0.4179173213414964,0.0
2018-10-26,1.0,-0.0,-0.8965470511708585,-0.0,-0.39492085862966175,-0.41888009540329574,0.0
2018-10-29,1.0,-0.0,-0.8991090712742981,-0.0,-0.38423326133909286,-0.4164686825053996,0.0
2018-10-30,1.0,-0.0,-0.8970484891075194,-0.0,-0.38050705443537486,-0.4252932590950862,0.0
2018-10-31,1.0,-0.0,-0.8821380607037335,-0.0,-0.3810367982809562,-0.42283105022831047,0.0
2018-11-01,1.0,-0.0,-0.8835655044689588,-0.0,-0.3789623426470194,-0.421531524277317,0.0
2018-11-02,1.0,-0.0,-0.8542174810367472,-0.0,-0.402235385563805,-0.4238655552279611,0.0
2018-11-05,1.0,-0.0,-0.8692933251026599,-0.0,-0.4029898816393355,-0.41165892804423093,0.0
2018-11-06,1.0,-0.0,-0.8821138211382114,-0.0,-0.40346201475259785,-0.4065040650406504,0.0
2018-11-07,1.0,-0.0,-0.882311752666164,-0.0,-0.4039911666487127,-0.40679198534956373,0.0
2018-11-08,1.0,-0.0,-0.8791605400347546,-0.0,-0.3898676647507017,-0.4044111749766074,0.0
2018-11-09,1.0,-0.0,-0.8788162326899428,-0.0,-0.3904186494145324,-0.40415976046623536,0.0
2018-11-12,1.0,-0.0,-0.8724941352100661,-0.0,-0.3913414374066965,-0.401978033695884,0.0
2018-11-13,1.0,-0.0,-0.8686890058448599,-0.0,-0.3832747084181852,-0.3927428526090291,0.0
2018-11-14,1.0,-0.0,-0.8683291902469985,-0.0,-0.38358808906754116,-0.3926059131538584,0.0
