Date,IWF,IWM,MTUM,SPY,TEO,VLUE,VXX
2018-09-24,-0.8222178113007808,-1.7400423448458384,-0.0,-1.5717215826386133,1.0,-1.4824004234484585,0.0
2018-09-25,-0.8219686919607323,-1.746219156274874,-0.0,-1.5765455027858848,1.0,-1.4883258158662775,0.0
2018-09-26,-0.8245520902455209,-1.749037823490378,-0.0,-1.5771068347710684,1.0,-1.4849369608493697,0.0
2018-09-27,-0.8266657835474898,-1.7387733474632399,-0.0,-1.5751092859981455,1.0,-1.482779176049808,0.0
2018-09-28,-0.8239081375282094,-1.7486393203239083,-0.0,-1.5785211735032525,1.0,-1.4864595778574274,0.0
2018-10-01,-0.8466563404943093,-1.7719038319078726,-0.0,-1.6072462792107212,1.0,-1.5087211260017508,0.0
2018-10-02,-0.8621599675192855,-1.745094058735959,-0.0,-1.629246176749222,1.0,-1.530383001759372,0.0
2018-10-03,-0.8745202850877194,-1.7363623903508771,-0.0,-1.6661869517543861,1.0,-1.576000548245614,0.0
2018-10-04,-0.8777800588517073,-1.72675015397249,-0.0,-1.6688564976390885,1.0,-1.5698350783548893,0.0
2018-10-05,-0.8389726865063188,-1.7020654980296237,-0.0,-1.6740046201929608,1.0,-1.5792906644924583,0.0
2018-10-08,-0.8331294181620446,-1.697389885807504,-0.0,-1.6858346927678085,1.0,-1.5808183795541055,0.0
2018-10-09,-0.8257932446264074,-1.7043329921528487,-0.0,-1.6973046741726372,1.0,-1.5961787785738653,0.0
2018-10-10,-0.8285694795006481,-1.7022989289856063,-0.0,-1.6992973599836279,1.0,-1.5916501807763148,0.0
2018-10-11,-0.6475956248786485,-1.6294738204646948,-0.0,-1.6173710439453757,1.0,-1.577632515694777,0.0
2018-10-12,-0.6497970573313039,-1.5993784880771185,-0.0,-1.5698883815322173,1.0,-1.5228310502283107,0.0
2018-10-15,-0.6029430339775167,-1.6333838575217887,-0.0,-1.5586080586080586,1.0,-1.5205886067955035,0.0
2018-10-16,-0.5935422602089269,-1.6576131687242797,-0.0,-1.5590376701487811,1.0,-1.5209243431465653,0.0
2018-10-17,-0.5391239700142494,-1.564091444148442,-0.0,-1.5492844309522336,1.0,-1.5429031658509387,0.0
2018-10-18,-0.5385949696444059,-1.5638706479990088,-0.0,-1.5495601536364763,1.0,-1.5429314830875975,0.0
2018-10-19,-0.4984412250137539,-1.5291888257228434,-0.0,-1.5481997677119628,1.0,-1.5370132648694907,0.0
2018-10-22,-0.49908268101761255,-1.5135763209393347,-0.0,-1.55736301369863,1.0,-1.5454990215264188,0.0
2018-10-23,-0.49981658107116655,-1.513145023233064,-0.0,-1.5562484715089262,1.0,-1.5446930789924185,0.0
2018-10-24,-0.49432442328817283,-1.504821188819724,-0.0,-1.556633711705114,1.0,-1.546930306359087,0.0
2018-10-25,-0.40568940493468797,-1.3810740203193035,-0.0,-1.553613933236575,1.0,-1.4651378809869375,0.0
2018-10-26,-0.3714643446588128,-1.3410733595128335,-0.0,-1.5441352228103125,1.0,-1.4345227932388596,0.0
2018-10-29,-0.3177791929601112,-1.4181091877496672,-0.0,-1.5583280263995833,1.0,-1.4951079719793898,0.0
2018-10-30,-0.30568089783639935,-1.41733194492653,-0.0,-1.5579659840333215,1.0,-1.5039916695591806,0.0
2018-10-31,-0.30988810230646263,-1.3697762046129254,-0.0,-1.5439027175154143,1.0,-1.4855560630280884,0.0
2018-11-01,-0.298217641364387,-1.3742953134787315,-0.0,-1.539547861739081,1.0,-1.4823757189226128,0.0
2018-11-02,-0.3008909439494756,-1.3373181459343635,-0.0,-1.533720536821924,1.0,-1.466956129468817,0.0
