Date,GLPG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6591868142779129,-1.2268281785235566,-0.16531797646825203,-1.0196097900014893,-0.8935113935362161,0.0
2018-09-25,1.0,-0.6596694953104064,-1.2255967445784328,-0.16654260334474716,-1.0185598729591583,-0.8921145352587961,0.0
2018-09-26,1.0,-0.6596694953104064,-1.2257456205647363,-0.16654260334474716,-1.0186094982879261,-0.8919656592724927,0.0
2018-09-27,1.0,-0.6644511680968206,-1.2144238877039828,-0.16998164773572738,-1.0191954764148603,-0.8920688457913794,0.0
2018-09-28,1.0,-0.6608021470105859,-1.2220565578251579,-0.1712638536852045,-1.0212713085830725,-0.8945380448287858,0.0
2018-10-01,1.0,-0.6603970741901777,-1.2255062944718118,-0.17216499975120664,-1.0217445389859183,-0.8961038961038961,0.0
2018-10-02,1.0,-0.6604572396274343,-1.2344473775962543,-0.17049359964138067,-1.020520994172436,-0.8949046172236887,0.0
2018-10-03,1.0,-0.6604412570347129,-1.2335275661138503,-0.17087504357786742,-1.0203695403157529,-0.8950644952437871,0.0
2018-10-04,1.0,-0.6675970692319194,-1.2245426905248467,-0.17220754622937745,-1.0299057967402683,-0.8899965109903802,0.0
2018-10-05,1.0,-0.6531573986804902,-1.216528597648693,-0.1554144550820973,-1.0376010714817203,-0.8978619971228732,0.0
2018-10-08,1.0,-0.6501385589865399,-1.211450910530483,-0.15063341250989706,-1.040231591448931,-0.8960807600950118,0.0
2018-10-09,1.0,-0.6626614149673431,-1.2223163982649448,-0.16622625517275766,-1.0420302138904123,-0.8926060726928254,0.0
2018-10-10,1.0,-0.6635434836780464,-1.2208821330675306,-0.16725641664590082,-1.042461998504859,-0.8896586095190631,0.0
2018-10-11,1.0,-0.5945828714636849,-1.2148537278905007,-0.0724854209841438,-1.0278567641814063,-0.9097305894259965,0.0
2018-10-12,1.0,-0.621909143185739,-1.2192831129001342,-0.06545907609737397,-1.0065171554533257,-0.8788096607245544,0.0
2018-10-15,1.0,-0.6069397313960713,-1.2416479472351003,-0.04311045261195813,-1.006547818190508,-0.8811833867036276,0.0
2018-10-16,1.0,-0.6109089167704242,-1.2348912939373622,-0.05037831625323245,-1.0088114165309836,-0.8838233885643137,0.0
2018-10-17,1.0,-0.5957095709570956,-1.1991513437057992,-0.042715700141442714,-0.9972182932578972,-0.8799622819424799,0.0
2018-10-18,1.0,-0.5942186173724419,-1.1967839290766764,-0.04404413845138168,-1.0001414693954542,-0.8805055173064227,0.0
2018-10-19,1.0,-0.578850509626274,-1.1923839184597962,-0.018025670064175162,-1.0290203850509627,-0.9004813137032842,0.0
2018-10-22,1.0,-0.5879253880108216,-1.1807394750581424,-0.0,-1.0542977834733496,-0.9233470976315914,0.0
2018-10-23,1.0,-0.5917331055429005,-1.1808561123766135,-0.0,-1.0513477600607442,-0.9216970387243736,0.0
2018-10-24,1.0,-0.5904988123515439,-1.1848456057007126,-0.0,-1.053206650831354,-0.9220902612826604,0.0
2018-10-25,1.0,-0.5405677195227865,-1.1116697901906112,-0.0,-1.0491840745988938,-0.8695890661425241,0.0
2018-10-26,1.0,-0.5046306962171129,-1.1191540340045154,-0.0,-1.1021056996728564,-0.8817214210017048,0.0
2018-10-29,1.0,-0.46986678915939367,-1.13913642627469,-0.0,-1.0901240238860817,-0.8943959577400091,0.0
2018-10-30,1.0,-0.4386289093176884,-1.1495819282117614,-0.0,-1.1007529911766065,-0.9305677461080057,0.0
2018-10-31,1.0,-0.44758101533094646,-1.1163591297163316,-0.0,-1.101211787386395,-0.9249518039107684,0.0
2018-11-01,1.0,-0.4481017307074324,-1.1161456181425884,-0.0,-1.101409355919754,-0.9250791901941882,0.0
2018-11-02,1.0,-0.45028065531876055,-1.0942819330990736,-0.0,-1.1012184547985215,-0.917765709852599,0.0
2018-11-05,1.0,-0.44510859645920786,-1.1091440043803613,-0.0,-1.1023909472531486,-0.9062328892133602,0.0
