Date,AVNT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.17823853909073617,-0.6659420092937308,-0.011848148047501292,-0.400853284056632,-0.4606103426723553,0.0
2018-09-25,1.0,-0.1770938308593218,-0.6694539016750648,-0.008606836442870762,-0.4039493395070135,-0.46460574696990337,0.0
2018-09-26,1.0,-0.17714347968188257,-0.6695718487852708,-0.008797254602897918,-0.40385662926244686,-0.46418455169408435,0.0
2018-09-27,1.0,-0.17720277815606703,-0.6695900857959962,-0.008879204684733761,-0.4038676290344546,-0.4641699577829225,0.0
2018-09-28,1.0,-0.17396407708685918,-0.6751651471310804,-0.00958126330731015,-0.40527924878528143,-0.46568761260031666,0.0
2018-10-01,1.0,-0.17356748784617904,-0.6764079313923635,-0.00996886436882067,-0.40520019664609164,-0.46605123723166,0.0
2018-10-02,1.0,-0.17359934408308278,-0.6810603990161246,-0.008882208253621208,-0.40440010931948617,-0.4650177644165072,0.0
2018-10-03,1.0,-0.17345098896295488,-0.67774013768987,-0.008605616872472955,-0.40533821440279755,-0.4668069063490329,0.0
2018-10-04,1.0,-0.17590670745029494,-0.6734214551015949,-0.00912169543369019,-0.4084280096132838,-0.46416866943412716,0.0
2018-10-05,1.0,-0.1725341550544027,-0.6750838537263778,-0.004690354776253716,-0.4091516457145974,-0.4655177115431813,0.0
2018-10-08,1.0,-0.17234796836651214,-0.6755113171529861,-0.004308699209162803,-0.4091628033815108,-0.4656667575674938,0.0
2018-10-09,1.0,-0.17228403141361257,-0.6756926265270506,-0.00430846422338569,-0.409058682373473,-0.46553228621291454,0.0
2018-10-10,1.0,-0.1734076655052265,-0.7004599303135889,-0.0,-0.4219372822299651,-0.49165156794425086,0.0
2018-10-11,1.0,-0.15485992153395592,-0.7013869702160579,-0.0,-0.4150135381554954,-0.49162844670387357,0.0
2018-10-12,1.0,-0.14819833522303033,-0.7065346644174664,-0.0,-0.41638782113326517,-0.4943170819391057,0.0
2018-10-15,1.0,-0.12605970231684754,-0.727860160715765,-0.0,-0.41214480987490676,-0.4953745892359097,0.0
2018-10-16,1.0,-0.11871021311929143,-0.7430390257403818,-0.0,-0.41154165513423746,-0.49449211181843344,0.0
2018-10-17,1.0,-0.11136444798505617,-0.730709007499382,-0.0,-0.4088399307749361,-0.4961129577232646,0.0
2018-10-18,1.0,-0.11065022113562069,-0.7294453753811498,-0.0,-0.4105156168447655,-0.49644260088454245,0.0
2018-10-19,1.0,-0.10297620677381375,-0.7290474495523369,-0.0,-0.4097144265257509,-0.49626262902828355,0.0
