Date,APLT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-10,1.0,-4.332765474162408,-4.275695627484383,-7.75099375354912,-6.880465644520158,-4.153038046564452,0.0
2020-01-13,1.0,-4.325938566552902,-4.275881683731513,-7.780716723549488,-6.906712172923777,-4.152445961319682,0.0
2020-01-14,1.0,-4.268698842788597,-4.236240474174428,-7.703640982218459,-6.859441151566468,-4.156929156082415,0.0
2020-01-15,1.0,-4.2864133563615425,-4.335636154289004,-7.892343120322394,-7.014392630972942,-4.256476683937824,0.0
2020-01-16,1.0,-4.328488372093023,-4.345058139534883,-7.92703488372093,-7.101453488372093,-4.368023255813954,0.0
2020-01-17,1.0,-4.226156482010279,-4.212450028555112,-7.818389491719016,-7.00399771559109,-4.294403198172472,0.0
2020-01-21,1.0,-4.222380816443049,-4.22751926919783,-7.803882386525835,-6.998287182415074,-4.295175563802456,0.0
2020-01-22,1.0,-4.219560878243513,-4.209580838323354,-7.811234673510124,-6.987168520102653,-4.287140005702881,0.0
2020-01-23,1.0,-4.228025114155251,-4.220034246575342,-7.8130707762557075,-6.997716894977168,-4.279965753424657,0.0
2020-01-24,1.0,-4.2283105022831045,-4.219463470319635,-7.813356164383562,-6.997716894977168,-4.279965753424657,0.0
2020-01-27,1.0,-4.1670441676104195,-4.126557191392979,-7.813986409966026,-6.917893544733863,-4.287372593431484,0.0
2020-01-28,1.0,-4.069945976684674,-4.313050895649702,-8.04378731873756,-6.888541370486211,-4.117998294000568,0.0
2020-01-29,1.0,-4.035989717223651,-4.363896029705798,-8.116538131962297,-6.910025706940874,-4.1371036846615254,0.0
2020-01-30,1.0,-4.070330296127563,-4.345102505694761,-8.076594533029613,-6.910876993166288,-4.0711845102505695,0.0
2020-01-31,1.0,-4.054115636570777,-4.340358872116206,-8.097123326687553,-6.927086300199373,-4.063229849045856,0.0
2020-02-03,1.0,-3.953417861080485,-4.14470782800441,-7.843991179713341,-6.688809261300992,-3.9321940463065053,0.0
2020-02-04,1.0,-3.873050615595075,-4.066757865937072,-7.78577291381669,-6.668399452804378,-3.9655266757865943,0.0
2020-02-05,1.0,-3.701977783798429,-4.060688160390138,-7.825521538878353,-6.633703603359524,-3.8710376591709568,0.0
2020-02-06,1.0,-3.7815284904131783,-4.000540102619498,-7.934917634350526,-6.57412908452606,-3.714015662975966,0.0
2020-02-07,1.0,-3.809301045679692,-4.114474408365438,-8.094111172261972,-6.711062190423776,-3.788937809576225,0.0
2020-02-10,1.0,-3.886503067484662,-4.079754601226994,-8.250976017847183,-6.836029001673173,-3.832961517010596,0.0
2020-02-11,1.0,-3.851913942442023,-4.101424979044426,-8.23945236099469,-6.85526683431126,-3.892986867840179,0.0
2020-02-12,1.0,-3.884248878923766,-4.096412556053812,-8.273262331838565,-6.889293721973093,-3.8836883408071743,0.0
2020-02-13,1.0,-3.865768042684639,-4.103903397921932,-8.3338949733221,-6.903397921932041,-3.8750351024992975,0.0
2020-02-14,1.0,-3.9235143588285473,-4.123969292010236,-8.41171452942849,-7.022177992607336,-3.951947682684106,0.0
2020-02-18,1.0,-3.941362460477148,-4.1796493245185395,-8.486634090255821,-7.1020408163265305,-4.0339177924691,0.0
2020-02-19,1.0,-3.938091143594153,-4.173402120951562,-8.464603038119805,-7.078819145887074,-4.006018916595013,0.0
2020-02-20,1.0,-3.994115916446013,-4.268902618417182,-8.76081200353045,-7.289791115033833,-4.106501912327156,0.0
2020-02-21,1.0,-3.972419928825623,-4.362396204033215,-8.839857651245552,-7.340450771055753,-4.140865954922894,0.0
