Date,IWF,IWM,MELI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.944836022601503,-1.4989223510223102,1.0,-0.29813013339546807,-1.1297256363954098,-0.9535154657191123,0.0
2018-09-25,-0.9624324958910542,-1.5061047194177035,1.0,-0.31427565156139936,-1.134832120216013,-0.9522775299366049,0.0
2018-09-26,-0.9649102079395085,-1.5146502835538753,1.0,-0.30564744801512284,-1.1475070888468808,-0.974657372400756,0.0
2018-09-27,-0.9852906145783706,-1.5038113387327299,1.0,-0.3144949976179133,-1.163530252501191,-0.9880895664602192,0.0
2018-09-28,-0.9919398173025256,-1.5044480267478655,1.0,-0.3147650606006329,-1.1675920950504508,-0.9916412920174338,0.0
2018-10-01,-0.9922388059701491,-1.503582089552239,1.0,-0.31510447761194027,-1.1675820895522386,-0.9915820895522387,0.0
2018-10-02,-0.9922248803827751,-1.520215311004785,1.0,-0.3117224880382775,-1.1663875598086124,-0.9903110047846891,0.0
2018-10-03,-1.0151515151515151,-1.51889338731444,1.0,-0.3054226475279107,-1.229665071770335,-1.0651453809348546,0.0
2018-10-04,-1.0194323545638448,-1.5094709740697603,1.0,-0.3066879176117207,-1.235027278857353,-1.0595843805553853,0.0
2018-10-05,-1.0101990961280078,-1.5045804323928178,1.0,-0.2906437034322707,-1.2393428606327104,-1.0625381702699401,0.0
2018-10-08,-1.0067015961983672,-1.4981113683440965,1.0,-0.28426952601437794,-1.2430242475935176,-1.0603143657853051,0.0
2018-10-09,-1.0035389590579047,-1.5022881200805418,1.0,-0.27243883092318016,-1.2518152419305633,-1.0715723961193482,0.0
2018-10-10,-1.0056121515280914,-1.5001525041176111,1.0,-0.27456841334716037,-1.2528518269993292,-1.0669798084548283,0.0
2018-10-11,-0.930361133984237,-1.4801199858840135,1.0,-0.1716268674273615,-1.2233266674508882,-1.0762263263145513,0.0
2018-10-12,-0.9376773819866783,-1.4629018245004346,1.0,-0.16078772082247322,-1.192586156964958,-1.0381117868520127,0.0
2018-10-15,-0.9067811357967399,-1.530541214687627,1.0,-0.10853297755090204,-1.2006496896571728,-1.0542954927780035,0.0
2018-10-16,-0.9102578996282527,-1.5239893122676578,1.0,-0.11524163568773234,-1.2025441449814125,-1.0565171933085502,0.0
