Date,IWF,IWM,MTUM,SPY,ULTA,VLUE,VXX
2018-09-24,-0.4935925411624678,-0.9270382860543543,-0.09700456258678833,-0.7464391985717119,1.0,-0.7033921840904582,0.0
2018-09-25,-0.4953604568165596,-0.924934570544849,-0.10016654770402093,-0.7445078911888333,1.0,-0.7004520580537711,0.0
2018-09-26,-0.4951140065146579,-0.925836180185906,-0.09672678160006355,-0.7474378326845157,1.0,-0.7072773496464606,0.0
2018-09-27,-0.4986503651953002,-0.9167592886630677,-0.09935693871070182,-0.7476579866624325,1.0,-0.7070895522388061,0.0
2018-09-28,-0.4976781107362572,-0.9171661043857908,-0.09994046437785276,-0.7472911291923,1.0,-0.7069259773764636,0.0
2018-10-01,-0.4972597299444002,-0.9188244638602064,-0.10051628276409848,-0.747299444003177,1.0,-0.7075059571088165,0.0
2018-10-02,-0.498213293099341,-0.9090367664575558,-0.10422456920511396,-0.7491860557452553,1.0,-0.7097990947351704,0.0
2018-10-03,-0.4981539560919449,-0.9083330025010917,-0.1044900551828179,-0.7491365278494582,1.0,-0.709913057286911,0.0
2018-10-04,-0.5029975781156947,-0.9009409616071784,-0.10541152181681027,-0.7554690911978402,1.0,-0.7054432842339303,0.0
2018-10-05,-0.4925685824966401,-0.894655704008222,-0.09324847814056447,-0.7607716024982212,1.0,-0.7116372835797297,0.0
2018-10-08,-0.4917463075586447,-0.8934523339388674,-0.09205434009951821,-0.7609193586604533,1.0,-0.7110022904983809,0.0
2018-10-09,-0.4890770935570682,-0.8971426309957258,-0.08188222257400664,-0.768640177299351,1.0,-0.7207930979895519,0.0
2018-10-10,-0.49172539393459497,-0.8957953915591098,-0.08440890015044737,-0.7706073323303507,1.0,-0.7166046401140231,0.0
2018-10-11,-0.4409282700421941,-0.8881856540084389,-0.01607211354046797,-0.7577291906405831,1.0,-0.7329113924050633,0.0
2018-10-12,-0.4549657080065174,-0.8816263120003032,-0.010988594596642795,-0.735591678981471,1.0,-0.7060361486870524,0.0
2018-10-15,-0.4550725736157957,-0.8827073937923977,-0.00829954144086103,-0.7369917004585592,1.0,-0.7066737408572403,0.0
2018-10-16,-0.4482508955110129,-0.9114015700022864,-0.0,-0.7411401570002286,1.0,-0.7098925386784545,0.0
2018-10-17,-0.42221889504416826,-0.8639392124569546,-0.0,-0.7358511753256475,1.0,-0.7210660278484803,0.0
2018-10-18,-0.423202308239967,-0.8670139018998014,-0.0,-0.7351144752126504,1.0,-0.7218121182598268,0.0
2018-10-19,-0.41254236025769936,-0.858935686887871,-0.0,-0.7336238036718431,1.0,-0.7189140878114177,0.0
2018-10-22,-0.413011097043271,-0.8581961718924555,-0.0,-0.7336337230952558,1.0,-0.7189990318015939,0.0
2018-10-23,-0.42094072885971134,-0.8609422208959677,-0.0,-0.7302025439218173,1.0,-0.7180051475250848,0.0
2018-10-24,-0.41921299746609036,-0.8587717990758683,-0.0,-0.7300268296318378,1.0,-0.7183261290803399,0.0
2018-10-25,-0.37923705918374695,-0.8035013147941357,-0.0,-0.7378696732826626,1.0,-0.6816036886279312,0.0
2018-10-26,-0.3619854721549637,-0.7880643782936904,-0.0,-0.7399943028058682,1.0,-0.6707021791767555,0.0
2018-10-29,-0.3323854548039668,-0.8073792343511179,-0.0,-0.730387800803327,1.0,-0.6843919951658194,0.0
2018-10-30,-0.31219060507852847,-0.8108194736279782,-0.0,-0.734285409024538,1.0,-0.7040849033085224,0.0
2018-10-31,-0.3341551849166063,-0.7967367657722988,-0.0,-0.7688179840464104,1.0,-0.7261421319796955,0.0
2018-11-01,-0.3377009908896229,-0.7951798482813691,-0.0,-0.769845014700011,1.0,-0.7268701680519764,0.0
2018-11-02,-0.3476359167148641,-0.7555668016194332,-0.0,-0.7881362058993638,1.0,-0.7235034702139965,0.0
2018-11-05,-0.3376561700884051,-0.8047051947103091,-0.0,-0.8043033535471616,1.0,-0.7064367648133265,0.0
2018-11-06,-0.3376566438931716,-0.8043915092616273,-0.0,-0.8045011143180739,1.0,-0.7069160790617807,0.0
2018-11-07,-0.3383461397731431,-0.8056714233443103,-0.0,-0.8066227588730334,1.0,-0.7083058909623126,0.0
2018-11-08,-0.2986323294049178,-0.8149643532664048,-0.0,-0.7998690528153645,1.0,-0.7239560599447112,0.0
2018-11-09,-0.297452630798324,-0.8388149356668768,-0.0,-0.8287663613778783,1.0,-0.7429270644072825,0.0
2018-11-12,-0.29784870589106527,-0.8158625541526272,-0.0,-0.8459288332654498,1.0,-0.7430666123597587,0.0
2018-11-13,-0.26426602976299834,-0.8130075326106927,-0.0,-0.8550064302774205,1.0,-0.7421642476575417,0.0
2018-11-14,-0.2672239201679125,-0.813712854880878,-0.0,-0.8580108259380639,1.0,-0.7433810803844313,0.0
2018-11-15,-0.26618149740875513,-0.8137979196530305,-0.0,-0.8602933068695556,1.0,-0.7352519572168927,0.0
2018-11-16,-0.2604690424633905,-0.8021066539435534,-0.0,-0.8612691305464821,1.0,-0.7462839945682094,0.0
2018-11-19,-0.26091743119266053,-0.8018348623853211,-0.0,-0.860880733944954,1.0,-0.746091743119266,0.0
2018-11-20,-0.2095203355827102,-0.7923764362575233,-0.0,-0.8701440817070947,1.0,-0.7755973007477659,0.0
2018-11-21,-0.2093292771258873,-0.7855280312907432,-0.0,-0.8659278574532813,1.0,-0.760828625235405,0.0
2018-11-23,-0.2106462228329657,-0.7736231150327271,-0.0,-0.8702853216649189,1.0,-0.7616895092756664,0.0
2018-11-26,-0.20996132576715942,-0.7765569089529042,-0.0,-0.8682545993421765,1.0,-0.7596053059601692,0.0
2018-11-27,-0.19578074287774974,-0.7873061666065633,-0.0,-0.8666786873422286,1.0,-0.7564370717634331,0.0
2018-11-28,-0.19381413499060557,-0.8001878884231824,-0.0,-0.8638170255817315,1.0,-0.7554198583610349,0.0
2018-11-29,-0.1480299716774818,-0.7917757143369304,-0.0,-0.8712938730147348,1.0,-0.7740293263542825,0.0
