Date,EBAY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3772164107129609,-0.8583351880703317,-0.16592477186734922,-0.6723421618814452,-0.6356183693152312,0.0
2018-09-25,1.0,-0.3773136985793242,-0.8581920694387775,-0.16614117734337328,-0.6722059423569123,-0.6354835119997032,0.0
2018-09-26,1.0,-0.3784641816687832,-0.8635990139687758,-0.15843728990811984,-0.6814446851423023,-0.652984238440278,0.0
2018-09-27,1.0,-0.39246078025657427,-0.8534291411158347,-0.1641021782476205,-0.6912456265753734,-0.6608479741168505,0.0
2018-09-28,1.0,-0.389942788316772,-0.8564814814814814,-0.16478470340258955,-0.6914333032219211,-0.6613218909966877,0.0
2018-10-01,1.0,-0.39202169736693415,-0.85542622518552,-0.16450069687723662,-0.6931103326176216,-0.6618450295701963,0.0
2018-10-02,1.0,-0.3920999019090017,-0.866898060816419,-0.16166151060137327,-0.691805628914208,-0.6602656002414548,0.0
2018-10-03,1.0,-0.39178485214242603,-0.8573476161738081,-0.16026704888352442,-0.695647254073627,-0.6668301146650573,0.0
2018-10-04,1.0,-0.39297293221744706,-0.8542939003242103,-0.16082334313503732,-0.696825755862173,-0.664932519037925,0.0
2018-10-05,1.0,-0.3783438533213105,-0.8472347460174331,-0.14652840396753833,-0.7074316200781485,-0.677599939885783,0.0
2018-10-08,1.0,-0.3765235327207951,-0.8443277704856554,-0.14397149821863867,-0.7087942996437278,-0.6765797862366397,0.0
2018-10-09,1.0,-0.373821242063343,-0.8474283352744486,-0.13450050719465,-0.7157080061614757,-0.6855017470037945,0.0
2018-10-10,1.0,-0.3816842900302115,-0.849773413897281,-0.13976586102719035,-0.7239048338368581,-0.6813066465256797,0.0
2018-10-11,1.0,-0.34418861668815615,-0.8421440412599005,-0.09640817830171301,-0.7132068520906243,-0.6880456806041627,0.0
2018-10-12,1.0,-0.3541128063212322,-0.8361067618250009,-0.09317991479445073,-0.6936241488548228,-0.664239158140043,0.0
2018-10-15,1.0,-0.34234528870961883,-0.8537010792543334,-0.07692866746611433,-0.6939569025037248,-0.6668846978451252,0.0
2018-10-16,1.0,-0.34013382791475744,-0.8651538293694087,-0.0688777365626591,-0.695068732271438,-0.6674303585715324,0.0
2018-10-17,1.0,-0.3236747851002866,-0.8273280802292263,-0.05189828080229226,-0.6964899713467049,-0.6822707736389685,0.0
