Date,BLW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.10067973598660229,-0.19856828555478934,-0.0,-0.185548221850064,-0.15707812038222835,0.0
2018-09-25,1.0,-0.1004122255251359,-0.19880438174382892,-0.0,-0.1857149895711869,-0.15738474929790272,0.0
2018-09-26,1.0,-0.10013960745668063,-0.19860392543319372,-0.0,-0.18577646382524432,-0.15792067011579206,0.0
2018-09-27,1.0,-0.10179090267404259,-0.1955219225528981,-0.0,-0.18611599008519508,-0.15809517556099084,0.0
2018-09-28,1.0,-0.10141691431198384,-0.19606941730835536,-0.0,-0.1861690774459422,-0.15819199763573974,0.0
2018-10-01,1.0,-0.10109626415528492,-0.19750834114031193,-0.0,-0.186249856187236,-0.15871998422168532,0.0
2018-10-02,1.0,-0.10185596159852707,-0.19493350429879502,-0.0,-0.18728937548289523,-0.1598198287057586,0.0
2018-10-03,1.0,-0.10147595411064726,-0.19095361756681242,-0.0,-0.188734755596463,-0.16243713224417344,0.0
2018-10-04,1.0,-0.10265553620140007,-0.18910835770861406,-0.0,-0.1902093535346896,-0.16128767213330267,0.0
2018-10-05,1.0,-0.10235471599107962,-0.1887052341597796,-0.0,-0.18909878000787092,-0.15961563688836414,0.0
2018-10-08,1.0,-0.10754817452657504,-0.1990548141245382,-0.0,-0.19204912304056976,-0.1654075282058109,0.0
2018-10-09,1.0,-0.10558985538599791,-0.19886505466708823,-0.0,-0.1928075751776472,-0.16688023164866617,0.0
2018-10-10,1.0,-0.10827293176705824,-0.19851703740731486,-0.0,-0.19493459968341248,-0.16452553528284597,0.0
2018-10-11,1.0,-0.0874010500479511,-0.18967507030119796,-0.0,-0.1848149412395767,-0.16358641764600704,0.0
2018-10-12,1.0,-0.08978268545565435,-0.1843000674092383,-0.0,-0.17662825410072866,-0.15427085673931887,0.0
2018-10-15,1.0,-0.0797669728881918,-0.1925994686469703,-0.0,-0.1741621587017061,-0.1539323325117634,0.0
2018-10-16,1.0,-0.0749542668249944,-0.20242947463012295,-0.0,-0.1738342052055586,-0.15345486055393306,0.0
2018-10-17,1.0,-0.06855945787243498,-0.19004618241259463,-0.0,-0.17228737839424865,-0.15613146910856834,0.0
2018-10-18,1.0,-0.06850532396020122,-0.1899804814573845,-0.0,-0.17228684323277846,-0.1561007347223765,0.0
2018-10-19,1.0,-0.0648263467389762,-0.18587126168592644,-0.0,-0.1713515473506645,-0.15448282385584333,0.0
2018-10-22,1.0,-0.06482839079916126,-0.18406407163915559,-0.0,-0.17230288984533887,-0.15537057182046066,0.0
2018-10-23,1.0,-0.06426329816593336,-0.184179401050291,-0.0,-0.17287221459999055,-0.15571430824304933,0.0
2018-10-24,1.0,-0.06372456372456373,-0.18333018333018333,-0.0,-0.17254142254142252,-0.15540540540540537,0.0
2018-10-25,1.0,-0.051720955984128444,-0.16595921380455847,-0.0,-0.17620190089508167,-0.14407431330934145,0.0
2018-10-26,1.0,-0.049207711404664845,-0.16380605020381891,-0.0,-0.17684739632819443,-0.14261194716032735,0.0
2018-10-29,1.0,-0.048032664046610496,-0.1630908507026746,-0.0,-0.1762268132674751,-0.141865337268515,0.0
2018-10-30,1.0,-0.046879300327207114,-0.16306840769395428,-0.0,-0.17624843276964006,-0.14279379835479036,0.0
2018-10-31,1.0,-0.04916411871187575,-0.15497649796924198,-0.0,-0.1758773330899466,-0.14114908958152694,0.0
2018-11-01,1.0,-0.04326747720364741,-0.15954407294832826,-0.0,-0.17568389057750758,-0.14127659574468085,0.0
2018-11-02,1.0,-0.04392020025790791,-0.15627702343927785,-0.0,-0.17636349844496702,-0.14054464082530532,0.0
2018-11-05,1.0,-0.04505831612197789,-0.15368727979589358,-0.0,-0.1764973879237031,-0.14339083950917267,0.0
2018-11-06,1.0,-0.04409082619004195,-0.15310961152653657,-0.0,-0.17765517660648064,-0.14499361663323,0.0
2018-11-07,1.0,-0.044108035809280625,-0.15313179213594152,-0.0,-0.17766327724833947,-0.1450154271731035,0.0
2018-11-08,1.0,-0.03998244525492214,-0.15245388096066828,-0.0,-0.17565338458511784,-0.14525038211837346,0.0
