Date,IWF,IWM,MTUM,SPY,STM,VLUE,VXX
2018-09-24,-0.5109533223060475,-0.7749223383225078,-0.30810505506918945,-0.6912494452737321,1.0,-0.7491426957679428,0.0
2018-09-25,-0.5164963857367848,-0.7729677341194524,-0.3153091305576869,-0.6891733634858459,1.0,-0.7443363082017527,0.0
2018-09-26,-0.5173054400064618,-0.7739590485036953,-0.3171115867695166,-0.6887040103388392,1.0,-0.741488631315375,0.0
2018-09-27,-0.517345826097492,-0.773918662412665,-0.3172327450426073,-0.6886636242478091,1.0,-0.7414482452243447,0.0
2018-09-28,-0.5130125065770834,-0.7819241510503095,-0.31804751689804506,-0.6907354191119925,1.0,-0.7436758813291778,0.0
2018-10-01,-0.5150042522172276,-0.780747580285911,-0.3177013728587049,-0.6923014619527801,1.0,-0.744016522901227,0.0
2018-10-02,-0.5152460012148208,-0.778943105891881,-0.3186070054666937,-0.6924478639400689,1.0,-0.7441587365863535,0.0
2018-10-03,-0.5166741134895813,-0.7628660790446403,-0.31495999025143184,-0.7051464316178562,1.0,-0.7622974125675291,0.0
2018-10-04,-0.5153623896146177,-0.769258942742034,-0.3149391608676189,-0.7035364017417491,1.0,-0.7664102877141578,0.0
2018-10-05,-0.5165009778357236,-0.7733865710560626,-0.3122555410691004,-0.7046121251629727,1.0,-0.7675195567144719,0.0
2018-10-08,-0.519175729822553,-0.7794586638318751,-0.3138850273938998,-0.7054133616812495,1.0,-0.7706680840624744,0.0
2018-10-09,-0.5231348783883385,-0.7810171157153386,-0.32094013594300225,-0.7031774629432479,1.0,-0.7663991483089019,0.0
2018-10-10,-0.5235171312783986,-0.780179295100086,-0.32150313152400833,-0.7033034508166522,1.0,-0.7649514920790863,0.0
2018-10-11,-0.4818978277393287,-0.7738528623434813,-0.26947233668040166,-0.6922430691683003,1.0,-0.782973956874825,0.0
2018-10-12,-0.5133061615919444,-0.7815072324782227,-0.2680412371134021,-0.6736593942300008,1.0,-0.7593302964916487,0.0
2018-10-15,-0.4951301293309915,-0.8138272393421683,-0.24141785087019,-0.6751955931662142,1.0,-0.7661264569695033,0.0
2018-10-16,-0.492912191031426,-0.8238629557161683,-0.23411731821267423,-0.6759573533522343,1.0,-0.7662819949686539,0.0
2018-10-17,-0.47952709359605916,-0.791960591133005,-0.22313300492610838,-0.6727093596059114,1.0,-0.7735566502463055,0.0
