Date,ALXN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6841451398706251,-0.8521612474831856,-0.2032300903911237,-0.8548601293749732,-0.6895000642590927,0.0
2018-09-25,1.0,-0.7105860773866713,-0.8711241156432877,-0.22333828281946022,-0.8680670800943314,-0.6940780854223076,0.0
2018-09-26,1.0,-0.7111848713805302,-0.8718609424815478,-0.2247455998602437,-0.867668253482989,-0.6918810324496659,0.0
2018-09-27,1.0,-0.7386818464822557,-0.8678733434136796,-0.2344569954638442,-0.892688784132349,-0.71351062883572,0.0
2018-09-28,1.0,-0.7423291026497439,-0.8673346693386773,-0.23451347138721887,-0.8942774437764417,-0.7148964595858384,0.0
2018-10-01,1.0,-0.7420834632343116,-0.8676791520064133,-0.234890660490803,-0.8940453391528972,-0.7150492139135082,0.0
2018-10-02,1.0,-0.7416261540520049,-0.8810044155033229,-0.2317470228803354,-0.8923776816377504,-0.7133490923687614,0.0
2018-10-03,1.0,-0.7412278746265996,-0.8778367292344733,-0.23166436310134203,-0.8929065049712427,-0.7148334745195952,0.0
2018-10-04,1.0,-0.7426814596979013,-0.8737691039522346,-0.23232188210132335,-0.8946219311143786,-0.712337922737602,0.0
2018-10-05,1.0,-0.7354887418394991,-0.867522316471999,-0.22067771017453477,-0.9004751965181862,-0.7169249900075498,0.0
2018-10-08,1.0,-0.7345843314701446,-0.8656286043829295,-0.21888031230591784,-0.9010735515925826,-0.7159968059622038,0.0
2018-10-09,1.0,-0.7355903625149754,-0.8659093934418955,-0.22039313129520344,-0.900519146292763,-0.7146913963704131,0.0
2018-10-10,1.0,-0.7384820239680426,-0.8641810918774967,-0.22325787838437638,-0.90248557478917,-0.7101198402130492,0.0
2018-10-11,1.0,-0.6969212142177637,-0.8542333304505751,-0.1586525988065381,-0.8927613941018767,-0.7215255556516476,0.0
2018-10-12,1.0,-0.7036339511192912,-0.8443693018876001,-0.15190686127637718,-0.8789110987458802,-0.7014510122843812,0.0
2018-10-15,1.0,-0.6927973342447027,-0.8622693096377306,-0.1338004101161996,-0.8796565276828435,-0.7035628844839371,0.0
2018-10-16,1.0,-0.6910325970863417,-0.869098987482377,-0.1287221771265006,-0.8798649976502755,-0.7034647754945101,0.0
2018-10-17,1.0,-0.6796657381615598,-0.8406347598548155,-0.11927070144340339,-0.875158267915928,-0.7057060859289271,0.0
2018-10-18,1.0,-0.6779696803344454,-0.8380135973987585,-0.12098306659347155,-0.8791436172458933,-0.7066846839238208,0.0
2018-10-19,1.0,-0.6685963587549291,-0.8254467656682607,-0.10730766003859384,-0.8862740162765332,-0.7074418994882121,0.0
2018-10-22,1.0,-0.6697559339092509,-0.8208923928541475,-0.10366518493667701,-0.8890799295479326,-0.7101820011742012,0.0
2018-10-23,1.0,-0.6688358033502666,-0.8228724967462949,-0.09979428187581342,-0.8935303749107855,-0.7132961081489566,0.0
2018-10-24,1.0,-0.6702743518751573,-0.8199093883715077,-0.09354811645272254,-0.895838577061834,-0.7153704169812903,0.0
2018-10-25,1.0,-0.6623031209741096,-0.8045962681294934,-0.09171757469974649,-0.8931970244774134,-0.7039438141545111,0.0
2018-10-26,1.0,-0.6574265618535375,-0.7984278030616467,-0.0891601158460902,-0.8925113777410012,-0.6997931319817957,0.0
2018-10-29,1.0,-0.6403762065836152,-0.8152380166652916,-0.06975497071198747,-0.8874267799686494,-0.712234964111872,0.0
2018-10-30,1.0,-0.6518359245782336,-0.816738339397949,-0.07616606020509427,-0.8877770426728415,-0.7024892490903077,0.0
2018-10-31,1.0,-0.6558340180772391,-0.7938783894823337,-0.07801972062448644,-0.884634346754314,-0.6960969597370583,0.0
2018-11-01,1.0,-0.6310094168181067,-0.8423509003799768,-0.04278869981827193,-0.9016190318850157,-0.7124153312407071,0.0
2018-11-02,1.0,-0.6285547737019612,-0.8666361327393096,-0.04438522713078236,-0.9027355623100304,-0.7214473081567224,0.0
2018-11-05,1.0,-0.6198284877640661,-0.9065467475423552,-0.041246601129470824,-0.9129470822003763,-0.7026563480443422,0.0
2018-11-06,1.0,-0.6228356336260978,-0.9085319949811794,-0.04019238812212463,-0.9109577582601421,-0.6997908824759514,0.0
2018-11-07,1.0,-0.6194516425645742,-0.9081334113516677,-0.04589149878792945,-0.9076736604530636,-0.6983616149795201,0.0
2018-11-08,1.0,-0.6035527517224205,-0.9109736863949531,-0.02764173653191666,-0.9035444509006393,-0.7047397692371545,0.0
