Date,IWF,IWM,MAXR,MTUM,SPY,VLUE,VXX
2018-09-24,-1.0807364310193672,-2.35992667569937,1.0,-0.07539650912568742,-1.8496851837092534,-1.6043675779070694,0.0
2018-09-25,-1.0867748674272857,-2.3826932347742247,1.0,-0.0711875301301623,-1.8687128394664954,-1.6253414751727462,0.0
2018-09-26,-1.0874979913225131,-2.383657399967861,1.0,-0.0728748192190262,-1.8681504097702073,-1.622609673790776,0.0
2018-09-27,-1.0888602704443013,-2.3897295556986475,1.0,-0.07421120412105603,-1.870653573728268,-1.625563425627817,0.0
2018-09-28,-1.0865244789142026,-2.40523509452254,1.0,-0.07666828243658103,-1.877524640491194,-1.632897075456455,0.0
2018-10-01,-1.0881257087315728,-2.4136562449376315,1.0,-0.07905394459744046,-1.8810140936335655,-1.6379394135752472,0.0
2018-10-02,-1.088487694300518,-2.4060071243523318,1.0,-0.08265867875647669,-1.880586139896373,-1.638196243523316,0.0
2018-10-03,-1.087209772672114,-2.3871855027910365,1.0,-0.08057600517757463,-1.8861742577461371,-1.648814820807378,0.0
2018-10-04,-1.0877292188383552,-2.3790290007270376,1.0,-0.08247839082316827,-1.8850472574521366,-1.6438322966313919,0.0
2018-10-05,-1.0530369894888871,-2.3607478135280426,1.0,-0.04348872663082725,-1.9027521463532053,-1.6637246248896733,0.0
2018-10-08,-1.049306502044416,-2.3554878537641306,1.0,-0.03158823057804858,-1.9156578208931294,-1.6652769983163636,0.0
2018-10-09,-1.0470068300522297,-2.3627159501807955,1.0,-0.018642024909602248,-1.9274407392527118,-1.6796303736440337,0.0
2018-10-10,-1.048920051579626,-2.372179239200516,1.0,-0.015957446808510637,-1.9331882656350743,-1.6890715667311411,0.0
2018-10-11,-0.8571856287425149,-2.2342814371257487,1.0,-0.0,-1.788323353293413,-1.6051646706586826,0.0
2018-10-12,-0.8795966785290629,-2.23405990510083,1.0,-0.0,-1.748962040332147,-1.5513790035587187,0.0
2018-10-15,-0.8278887987611532,-2.269154192168719,1.0,-0.0,-1.7331317749428505,-1.5439126908045129,0.0
2018-10-16,-0.8224367951647379,-2.2763322768482346,1.0,-0.0,-1.7305225915825162,-1.541608314292032,0.0
2018-10-17,-0.7553342816500711,-2.1489331436699857,1.0,-0.0,-1.6842105263157896,-1.5238975817923186,0.0
2018-10-18,-0.7539829302987197,-2.14651493598862,1.0,-0.0,-1.687411095305832,-1.5244665718349928,0.0
2018-10-19,-0.7087440157702055,-2.1172205012672487,1.0,-0.0,-1.6929738101943115,-1.5214024218529991,0.0
2018-10-22,-0.7193357565390921,-2.109471883686124,1.0,-0.0,-1.7358705723041836,-1.5624688190435465,0.0
2018-10-23,-0.7234967227130236,-2.1090766600170987,1.0,-0.0,-1.731903676261043,-1.5600598461100026,0.0
2018-10-24,-0.7188211845102506,-2.1083428246013667,1.0,-0.0,-1.731990318906606,-1.5592966970387243,0.0
2018-10-25,-0.6132825549542327,-1.9448787332130688,1.0,-0.0,-1.6867775773368079,-1.4364268056390725,0.0
2018-10-26,-0.5667774086378737,-1.9279069767441863,1.0,-0.0,-1.7209302325581397,-1.4289036544850497,0.0
2018-10-29,-0.5178347728621349,-1.9431660842618843,1.0,-0.0,-1.697830816905123,-1.4344300125271972,0.0
2018-10-30,-0.5141350906095552,-1.9422075782537067,1.0,-0.0,-1.6970016474464582,-1.4364415156507415,0.0
2018-10-31,-0.5202526699661371,-1.8881219067465485,1.0,-0.0,-1.6855300859598854,-1.4181427455066422,0.0
2018-11-01,-1.8879254561925716,-3.283292351494758,1.0,-0.9651870066002328,-2.9338682541736767,-2.871230749320564,0.0
2018-11-02,-1.9116960580912865,-3.245072614107884,1.0,-0.9505964730290457,-2.9747147302904566,-2.88472510373444,0.0
2018-11-05,-2.0061291201307547,-3.4632252792154725,1.0,-1.005039498774176,-3.1367474802506132,-3.009261781530918,0.0
2018-11-06,-2.009282009282009,-3.4686049686049683,1.0,-1.0092820092820092,-3.1446901446901445,-3.018154518154518,0.0
2018-11-07,-2.0412500000000002,-3.535416666666667,1.0,-1.0344444444444445,-3.201805555555556,-3.0756944444444447,0.0
2018-11-08,-1.9201541118639562,-3.403613657499667,1.0,-0.9447322970639033,-3.063637571409592,-2.9532350205925333,0.0
2018-11-09,-1.9343955014058105,-3.4300441826215016,1.0,-0.9556834917659659,-3.0910429776409156,-2.9775070290534207,0.0
2018-11-12,-1.905585633170474,-3.365509045292486,1.0,-0.9334477749900963,-3.063118975307012,-2.9371451208239794,0.0
2018-11-13,-1.8714191419141915,-3.3943234323432345,1.0,-0.8704950495049505,-3.1015181518151818,-2.9635643564356435,0.0
2018-11-14,-1.8772534464475081,-3.4125132555673385,1.0,-0.869167550371156,-3.1174443266171794,-2.9790562036055146,0.0
2018-11-15,-1.9158802911836075,-3.4800485306012403,1.0,-0.8801563763817741,-3.185899164195201,-3.0188730115934215,0.0
2018-11-16,-1.8872170439414113,-3.4322237017310253,1.0,-0.8619174434087882,-3.147669773635153,-2.9865512649800263,0.0
