Date,IWF,IWM,KMX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.38799958331886525,-0.7639501371575401,1.0,-0.0,-0.6493281016701968,-0.6710649675335948,0.0
2018-09-25,-0.38458311484006286,-0.773710889704597,1.0,-0.0,-0.6568432092291557,-0.6807201538192623,0.0
2018-09-26,-0.3850241208138153,-0.7741382926658744,1.0,-0.0,-0.6567852897993428,-0.6798224148779977,0.0
2018-09-27,-0.3844243081551972,-0.7767903998880454,1.0,-0.0,-0.6571388587622013,-0.6802295070496449,0.0
2018-09-28,-0.38146967095349893,-0.7824228194974945,1.0,-0.0,-0.6585485510039598,-0.6817815467638505,0.0
2018-10-01,-0.3811344582032483,-0.7851404918090293,1.0,-0.0,-0.6588206405444277,-0.6828147472550602,0.0
2018-10-02,-0.38018967334035825,-0.7949069195644538,1.0,-0.0,-0.6567966280295047,-0.6805760449596066,0.0
2018-10-03,-0.3800477561626519,-0.7927523000210689,1.0,-0.0,-0.6571739588454246,-0.6815085329025915,0.0
2018-10-04,-0.3818130768960797,-0.7893868669497771,1.0,-0.0,-0.6590390622258098,-0.679394939107851,0.0
2018-10-05,-0.3714445649511948,-0.7848021551271736,1.0,-0.0,-0.6602176118671939,-0.6821187419095267,0.0
2018-10-08,-0.3710947066438093,-0.7850120701116049,1.0,-0.0,-0.660287583528671,-0.6821887135710037,0.0
2018-10-09,-0.36878564181506496,-0.7848371409579121,1.0,-0.0,-0.6610922576356576,-0.6838680334464543,0.0
2018-10-10,-0.3693690542809177,-0.7841703973139339,1.0,-0.0,-0.6614787353105763,-0.6824636261891438,0.0
2018-10-11,-0.3112982408291286,-0.7711714168825855,1.0,-0.0,-0.6396768034910677,-0.6870994136097095,0.0
2018-10-12,-0.3172211548184852,-0.7647217446994977,1.0,-0.0,-0.6215323423332322,-0.667273401422456,0.0
2018-10-15,-0.2926591306688198,-0.7870744179787377,1.0,-0.0,-0.6165724666935809,-0.6679787377203606,0.0
2018-10-16,-0.2868686868686869,-0.7979124579124579,1.0,-0.0,-0.6154545454545455,-0.6667676767676768,0.0
2018-10-17,-0.2746396831208601,-0.7753553240355492,1.0,-0.0,-0.6101587724261892,-0.6684086143194754,0.0
2018-10-18,-0.27540142581117993,-0.7777999866746619,1.0,-0.0,-0.6092344593244053,-0.6688986608035179,0.0
2018-10-19,-0.263469881114018,-0.7706063516243334,1.0,-0.0,-0.6091333576183064,-0.668377653409279,0.0
2018-10-22,-0.26341931852048084,-0.7620782145104144,1.0,-0.0,-0.6135633630252658,-0.6723070300341071,0.0
2018-10-23,-0.26460071513706795,-0.7620182757250696,1.0,-0.0,-0.6125016554098796,-0.6716991127003047,0.0
2018-10-24,-0.2631230336148369,-0.7570458685212783,1.0,-0.0,-0.6149693657890379,-0.6766352045040569,0.0
2018-10-25,-0.22814485182677113,-0.715746025603818,1.0,-0.0,-0.6294540646867242,-0.6513172745154945,0.0
2018-10-26,-0.22463791387006646,-0.7105237804682232,1.0,-0.0,-0.6287292462827965,-0.6474838626802402,0.0
2018-10-29,-0.20728354009464126,-0.7171313467195294,1.0,-0.0,-0.6208914183399412,-0.6520335081212432,0.0
2018-10-30,-0.19186586029247063,-0.7188569965761095,1.0,-0.0,-0.6229880643819398,-0.6661866820261751,0.0
2018-10-31,-0.20941815712021733,-0.6999579546557133,1.0,-0.0,-0.6459458585335878,-0.6789676250848993,0.0
2018-11-01,-0.1902837933932381,-0.715883379662551,1.0,-0.0,-0.6460340034908527,-0.6801021397633978,0.0
2018-11-02,-0.19182187278468776,-0.7060320938325707,1.0,-0.0,-0.6470645098923761,-0.6773860926725527,0.0
2018-11-05,-0.18851878100637848,-0.715192320082469,1.0,-0.0,-0.6477675407512403,-0.6699310611429676,0.0
2018-11-06,-0.18793503480278423,-0.714488270172725,1.0,-0.0,-0.648749677751998,-0.6713392626965713,0.0
2018-11-07,-0.18716181396547282,-0.7150541097655244,1.0,-0.0,-0.6474813192476166,-0.6711543416645195,0.0
2018-11-08,-0.14006430032799663,-0.7448446075406749,1.0,-0.0,-0.6556360211736434,-0.7069788588315526,0.0
2018-11-09,-0.1399811669967854,-0.7446179822710004,1.0,-0.0,-0.6558106309056076,-0.706692210280222,0.0
2018-11-12,-0.13933387489845653,-0.7465800162469536,1.0,-0.0,-0.655987002437043,-0.7075223395613321,0.0
2018-11-13,-0.11491103661681279,-0.7433599793708097,1.0,-0.0,-0.658683599793708,-0.7063886023723569,0.0
2018-11-14,-0.11673063897042223,-0.7428313389026869,1.0,-0.0,-0.6596780956681613,-0.706286488404348,0.0
2018-11-15,-0.11659294913490309,-0.7493170287498374,1.0,-0.0,-0.6638480551580591,-0.7224534929101081,0.0
