Date,CALM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3114331602734097,-1.1291226235386396,-0.0,-0.6290292458820453,-0.6655212340791095,0.0
2018-09-25,1.0,-0.31164562635392545,-1.1289310525136327,-0.0,-0.6289684021812206,-0.665459027414656,0.0
2018-09-26,1.0,-0.3114331602734097,-1.128935868225451,-0.0,-0.6290292458820453,-0.6657079893922981,0.0
2018-09-27,1.0,-0.31111859082239424,-1.1322786940424099,-0.0,-0.6298664871535958,-0.6665918695538352,0.0
2018-09-28,1.0,-0.30853653968610706,-1.1375060868262352,-0.0,-0.6314567179832941,-0.66827733453197,0.0
2018-10-01,1.0,-0.30858451259337116,-1.1418865658196014,-0.0,-0.6327089823955557,-0.6704327915618783,0.0
2018-10-02,1.0,-0.32215291671570356,-1.2582480091012513,-0.0,-0.6552508728570868,-0.687301400494292,0.0
2018-10-03,1.0,-0.3268790914109945,-1.273996371953624,-0.0,-0.6570313116176354,-0.6856218944711727,0.0
2018-10-04,1.0,-0.32761611860263384,-1.2726914281208106,-0.0,-0.6573614068291144,-0.6852377572746629,0.0
2018-10-05,1.0,-0.30336814006437934,-1.2645834968987986,-0.0,-0.6627934364450027,-0.6948653529088482,0.0
2018-10-08,1.0,-0.2989141087459328,-1.2603002861735075,-0.0,-0.6671370888705948,-0.6938335489435102,0.0
2018-10-09,1.0,-0.29381989405532666,-1.2611340003923877,-0.0,-0.6701196782421031,-0.6988032175789679,0.0
2018-10-10,1.0,-0.2969344899320956,-1.2604702280488285,-0.0,-0.6724496604780783,-0.6952152922243592,0.0
2018-10-11,1.0,-0.19312471448149837,-1.2606593573930256,-0.0,-0.640284757118928,-0.7128825947921426,0.0
2018-10-12,1.0,-0.19850763058232407,-1.256402564775582,-0.0,-0.6121714349994375,-0.6825902733510818,0.0
2018-10-15,1.0,-0.18811733014067641,-1.2635812630948815,-0.0,-0.6086501047590541,-0.6810460939838371,0.0
2018-10-16,1.0,-0.1803961287418411,-1.2812288993923027,-0.0,-0.6087103308575287,-0.6808462750393878,0.0
2018-10-17,1.0,-0.1541032988024392,-1.2337447652633897,-0.0,-0.5989640731761076,-0.6867239732569245,0.0
2018-10-18,1.0,-0.15345061887097364,-1.2327836338928269,-0.0,-0.599882469607375,-0.6867447754067654,0.0
2018-10-19,1.0,-0.12963502586144093,-1.2221534202666278,-0.0,-0.602935819916952,-0.6877686311648575,0.0
2018-10-22,1.0,-0.13091534604545624,-1.2084324561724555,-0.0,-0.6185631153240859,-0.702009296197343,0.0
2018-10-23,1.0,-0.13487299612034256,-1.2088060903301368,-0.0,-0.6157675133591977,-0.700607568992021,0.0
2018-10-24,1.0,-0.13170589095161528,-1.2062198508989912,-0.0,-0.615114749305657,-0.7014325391024704,0.0
2018-10-25,1.0,-0.08300618921308577,-1.1540229885057471,-0.0,-0.6338107869142352,-0.6658885941644562,0.0
2018-10-26,1.0,-0.06917624052798826,-1.136746167545483,-0.0,-0.6321542060970073,-0.653909278206516,0.0
2018-10-29,1.0,-0.06445305680667575,-1.1404280576795502,-0.0,-0.6326943891623896,-0.6538877832477916,0.0
2018-10-30,1.0,-0.055286028410875716,-1.1404837527485951,-0.0,-0.6331018114550976,-0.6614079787791003,0.0
2018-10-31,1.0,-0.05664699757028809,-1.1290524123568204,-0.0,-0.6288094411662616,-0.6564734467198888,0.0
2018-11-01,1.0,-0.03758016987346161,-1.1440110937770844,-0.0,-0.628219795458485,-0.656994279771191,0.0
2018-11-02,1.0,-0.04873746108612936,-1.104047042545832,-0.0,-0.6505707367692839,-0.6556554825319958,0.0
2018-11-05,1.0,-0.04502230367578409,-1.1143884643314084,-0.0,-0.6513364915799301,-0.6471523911615201,0.0
2018-11-06,1.0,-0.04257751602286506,-1.1129395461631733,-0.0,-0.6559154685605404,-0.6530053698250475,0.0
