Date,IWF,IWM,KFRC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4808652950639234,-1.3114469562272457,1.0,-0.0735754804842943,-0.6951570569807806,-0.672254677842689,0.0
2018-09-25,-0.4805810850874593,-1.3123544110795817,1.0,-0.0727626953538605,-0.6961162170174919,-0.6735419931387913,0.0
2018-09-26,-0.48094189395222764,-1.312807047264103,1.0,-0.07360664069117398,-0.6957902761307809,-0.6720311705912247,0.0
2018-09-27,-0.4816758358019467,-1.308929327126534,1.0,-0.07469318662716884,-0.6952179432924249,-0.6713922979263648,0.0
2018-09-28,-0.47985611510791365,-1.310114261531951,1.0,-0.0754126110876005,-0.6950486669487939,-0.6714769360981803,0.0
2018-10-01,-0.4808058577051678,-1.3089685529267363,1.0,-0.07550683540017777,-0.6956448131375121,-0.6715198713336437,0.0
2018-10-02,-0.48132586367880487,-1.3261183261183263,1.0,-0.07164077752313046,-0.6948476360241066,-0.6701892878363467,0.0
2018-10-03,-0.4846573474258439,-1.3400954653937949,1.0,-0.07385782475281283,-0.6954483464030004,-0.6677889532901466,0.0
2018-10-04,-0.4839839412317417,-1.3456906124540875,1.0,-0.07435722217476723,-0.6947125651319723,-0.6722046638763134,0.0
2018-10-05,-0.4673247106875425,-1.3413036078965281,1.0,-0.05616065350578625,-0.7048587474472431,-0.6849472430224642,0.0
2018-10-08,-0.4674838270343888,-1.3424412665985699,1.0,-0.055839291794347976,-0.7049710589036432,-0.6852655771195096,0.0
2018-10-09,-0.4695685506197027,-1.3436688104263383,1.0,-0.059499978704374124,-0.7036926615273223,-0.6827377656629329,0.0
2018-10-10,-0.47201158728806336,-1.3424214024026584,1.0,-0.061898270426855244,-0.7052909602112977,-0.6784527562409475,0.0
2018-10-11,-0.4073554877545972,-1.344190648965119,1.0,-0.0,-0.6818669085511668,-0.6896182073060113,0.0
2018-10-12,-0.4124339699309224,-1.3390491670052824,1.0,-0.0,-0.6535554652580252,-0.6583502641202763,0.0
2018-10-15,-0.37548732943469787,-1.3783706952566601,1.0,-0.0,-0.6470110461338532,-0.6602095516569201,0.0
2018-10-16,-0.3685708477332791,-1.3919495832486277,1.0,-0.0,-0.6460662736328523,-0.6592396828623704,0.0
2018-10-17,-0.3461323541151114,-1.3502833878821745,1.0,-0.0,-0.6347090284984434,-0.6602937654665921,0.0
2018-10-18,-0.34518962075848303,-1.348622754491018,1.0,-0.0,-0.6373253493013972,-0.6608782435129741,0.0
2018-10-19,-0.3256568534346312,-1.3392291864514085,1.0,-0.0,-0.6352880658436214,-0.6567742956631845,0.0
2018-10-22,-0.32667036098796715,-1.3394949335022166,1.0,-0.0,-0.6352517416086131,-0.6567843571880938,0.0
2018-10-23,-0.33645490258323085,-1.343359390500377,1.0,-0.0,-0.6319193682790365,-0.6563628427443355,0.0
2018-10-24,-0.3347358393204462,-1.3468820704163855,1.0,-0.0,-0.6318024848172112,-0.6559361727463979,0.0
2018-10-25,-0.29387410871731967,-1.2947558077129495,1.0,-0.0,-0.630108103963812,-0.6147358736487005,0.0
2018-10-26,-0.2783380089468496,-1.2782242778072637,1.0,-0.0,-0.6306391690044734,-0.603798620062173,0.0
2018-10-29,-0.2548176641399857,-1.2904174680393707,1.0,-0.0,-0.6181317645284157,-0.6077610589433193,0.0
2018-10-30,-0.2451933951594662,-1.2905074266757144,1.0,-0.0,-0.6185629193998341,-0.6156224082032723,0.0
2018-10-31,-0.24748212213111687,-1.273540754052941,1.0,-0.0,-0.6138005915608971,-0.6092328428619567,0.0
2018-11-01,-0.17292411183519024,-1.5132646626024806,1.0,-0.0,-0.7651040571788943,-0.7529955854530166,0.0
2018-11-02,-0.1790484140233723,-1.476669449081803,1.0,-0.0,-0.7729131886477462,-0.7450333889816361,0.0
2018-11-05,-0.16997262581596126,-1.52512107812171,1.0,-0.0,-0.788713413350179,-0.7276058117498421,0.0
2018-11-06,-0.17383067402012378,-1.5272176146171013,1.0,-0.0,-0.7857112785753378,-0.7232770597398224,0.0
