Date,IWF,IWM,MTUM,SPY,TKC,VLUE,VXX
2018-09-24,-0.8062603595562923,-1.6874920311105444,-0.0,-1.4525054188448296,1.0,-1.428917506056356,0.0
2018-09-25,-0.8217118730808599,-1.6915941658137157,-0.0,-1.4563075742067555,1.0,-1.4275204708290685,0.0
2018-09-26,-0.8227354145342887,-1.692553735926305,-0.0,-1.4563075742067555,1.0,-1.4256013306038895,0.0
2018-09-27,-0.8328213005632362,-1.6787634408602152,-0.0,-1.4604454685099848,1.0,-1.4283794162826422,0.0
2018-09-28,-0.8354681695913924,-1.678429614448572,-0.0,-1.4613808120917124,1.0,-1.429166132957602,0.0
2018-10-01,-0.8360550752481588,-1.6776817162984308,-0.0,-1.461351264809478,1.0,-1.429010566762728,0.0
2018-10-02,-0.8487340958745663,-1.6507518313841407,-0.0,-1.479501349440946,1.0,-1.446857730368847,0.0
2018-10-03,-0.8473444223235502,-1.6356046496692571,-0.0,-1.4839124012587503,1.0,-1.4553336330357718,0.0
2018-10-04,-0.851039260969977,-1.626764177572492,-0.0,-1.487554529124968,1.0,-1.449769053117783,0.0
2018-10-05,-0.8873738035925003,-1.682378392552773,-0.0,-1.51586469122853,1.0,-1.4701062016520257,0.0
2018-10-08,-0.8840436727177058,-1.6828466193107074,-0.0,-1.5339384372533544,1.0,-1.4762562483556958,0.0
2018-10-09,-0.8789394039081518,-1.6831370484900323,-0.0,-1.536548457135338,1.0,-1.4807553128495299,0.0
2018-10-10,-0.8782414110833224,-1.6842832697117285,-0.0,-1.5370541003027511,1.0,-1.4819665657496381,0.0
2018-10-11,-0.7099266631744369,-1.7277370350969092,-0.0,-1.5373886851754845,1.0,-1.5728784704033527,0.0
2018-10-12,-0.7622956245449128,-1.7697756007149001,-0.0,-1.5321374197391937,1.0,-1.5551730985635797,0.0
2018-10-15,-0.6996813595326606,-1.8443308550185875,-0.0,-1.5282793414763676,1.0,-1.5661178969729155,0.0
2018-10-16,-0.6958720612356478,-1.961591033351558,-0.0,-1.570803717878622,1.0,-1.6060688901038818,0.0
2018-10-17,-0.6378617363344051,-1.8646168274383708,-0.0,-1.5631028938906752,1.0,-1.6332395498392283,0.0
2018-10-18,-0.6450474898236092,-1.882089552238806,-0.0,-1.5988466757123472,1.0,-1.6581411126187244,0.0
2018-10-19,-0.602807486631016,-1.8445855614973259,-0.0,-1.5903743315508019,1.0,-1.6467245989304813,0.0
2018-10-22,-0.6068812579799745,-1.828506148780324,-0.0,-1.6150124319602177,1.0,-1.6695786573482965,0.0
2018-10-23,-0.6043073183904942,-1.8379692141506885,-0.0,-1.6285444234404536,1.0,-1.6805293005671078,0.0
2018-10-24,-0.5982347392534698,-1.8301441854197547,-0.0,-1.6276108341193911,1.0,-1.6815793019808651,0.0
2018-10-25,-0.5176985195154777,-1.7874831763122476,-0.0,-1.7487213997308206,1.0,-1.6755047106325707,0.0
2018-10-26,-0.5281162136832239,-1.770384254920337,-0.0,-1.7336323470344086,1.0,-1.662136832239925,0.0
