Date,EME,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.646267133677156,-0.0,-0.4673874072644033,-0.0,-0.1791279406492181,-0.04076229349954494,-0.08869522049698006,-0.15557516754460962,-0.0,-0.0,-0.0,-0.0,-0.11889461926694062,-0.0,-0.06103312281088833,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.6436173161132975,-0.0,-0.47968516157640934,-0.0,-0.20281580843633945,-0.024721467767862097,-0.08838201873510339,-0.1524028601518763,-0.0,-0.0,-0.0,-0.0,-0.11493265340058756,-0.0,-0.06490771021561999,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.6507717370295718,-0.0,-0.48651185907170663,-0.0,-0.18933097716541958,-0.02103984316757324,-0.07413645525581909,-0.15578319573680868,-0.0,-0.0,-0.0,-0.0,-0.118038490211779,-0.0,-0.0655217163210647,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.6309188427781992,-0.0,-0.5251381514790335,-0.0,-0.21938996641022865,-0.015900964351500707,-0.045427456929244776,-0.13796185935637664,-0.0,-0.0,-0.0,-0.0,-0.10152779282695851,-0.0,-0.03261458446202189,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.641073556494421,-0.0,-0.5256201928285126,-0.0,-0.2169049940418156,-0.019147437980717146,-0.03975733939984834,-0.13514245477196402,-0.0,-0.0,-0.0,-0.0,-0.09966417506229011,-0.0,-0.03090131080056332,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.6330260391395762,-0.0,-0.5213488597768074,-0.0,-0.22413607202544614,-0.03275109170305677,-0.037953528492102005,-0.12698797778856002,-0.0,-0.0,-0.0,-0.0,-0.09890021025392205,-0.0,-0.020432368321742413,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.638251454427925,-0.0,-0.524644473173885,-0.0,-0.2238472312001724,-0.03956582633053221,-0.03250915750915751,-0.12082525317819434,-0.005198233139409611,-0.0,-0.0,-0.0,-0.08753501400560225,-0.0,-0.020981469510881277,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.6377950636556939,-0.0,-0.5246682636664602,-0.0,-0.22299679702850372,-0.040373590288805744,-0.0315990633327053,-0.12109385513955805,-0.00541006109869997,-0.0,-0.0,-0.0,-0.08806825828331494,-0.0,-0.019594649153500388,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.6386695059166015,-0.0,-0.5164829240680342,-0.0,-0.2276341680368743,-0.07129572225666461,-0.02277689425590986,-0.10790048249278958,-0.0,-0.0,-0.0,-0.0,-0.0971724305237338,-0.0,-0.013585271840211327,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.6271263873585768,-0.0,-0.5304076751498212,-0.0,-0.22404665287146275,-0.07234419929590713,-0.018731020397194376,-0.11147241407110801,-0.001693047754696192,-0.0,-0.0,-0.0,-0.10155599150788745,-0.0,-0.0,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.6157739689341188,-0.0,-0.5321103374397429,-0.0,-0.20479378682378147,-0.0949384038564542,-0.052838778789501877,-0.08572576325656132,-0.0023567220139260846,-0.0,-0.0,-0.0,-0.0895554365291912,-0.0,-0.0,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.6058468553037415,-0.0,-0.5228376022529168,-0.0,-0.20826069464932276,-0.09185999731795629,-0.052863081668231185,-0.09472978409548075,-0.0048276786911626655,-0.0,-0.0,-0.0,-0.10079120289660722,-0.0,-0.0,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.6058032365234166,-0.0,-0.524729396634873,-0.0,-0.2063551602186261,-0.09267495445289894,-0.04793162576358375,-0.09682777837316471,-0.004527917693709142,-0.0,-0.0,-0.0,-0.10036437680848784,-0.0,-0.0,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.613638182642798,-0.0,-0.5182882906917803,-0.0,-0.20577328388869623,-0.08566550169410132,-0.0443934583677934,-0.10148600698983538,-0.0005335752207667477,-0.0,-0.0,-0.0,-0.09807112557692821,-0.0,-0.0,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.6158332001917239,-0.0,-0.5174948074772329,-0.0,-0.21832561111998722,-0.0813495233530383,-0.04391010278532247,-0.09461042765084944,-0.0,-0.0,-0.0,-0.0,-0.09133514405922138,-0.0,-0.0,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.6120465289212301,-0.0,-0.527035640303819,-0.0,-0.20664471238115475,-0.0794603494980613,-0.052132575556381795,-0.09879428480373931,-0.002549529930419079,-0.0,-0.0,-0.0,-0.07704360758485154,-0.0,-0.0,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.6154009277667329,-0.0,-0.5208747514910538,-0.0,-0.201245858184228,-0.10194831013916501,-0.04188204108681247,-0.0957190192180252,-0.0052750165672630885,-0.0,-0.0,-0.0,-0.056169648774022536,-0.010337972166998012,-0.0018820410868124588,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.6148720399277902,-0.0,-0.5322289476478709,-0.0,-0.200939789741956,-0.10340341934798768,-0.03214930444940002,-0.097908038653499,-0.002654773282361686,-0.0,-0.0,-0.0,-0.0599978761813741,-0.0,-0.01064564086227036,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.6145982688120653,-0.0,-0.5327120174180872,-0.0,-0.20067973023206412,-0.10360575646540279,-0.031756146779246985,-0.09856088364930168,-0.0030269236896606658,-0.0,-0.0,-0.0,-0.05849397270458287,-0.0,-0.011735967287982582,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.6100731329738963,-0.0,-0.5368333956120216,-0.0,-0.20877595686755993,-0.10329365291197352,-0.05095286392996316,-0.07991245395825548,-0.006032135803128169,-0.0,-0.0,-0.0,-0.05711845406501895,-0.005231409811562483,-0.01086318261890781,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.6064718718399063,-0.0,-0.5605939645537282,-0.0,-0.19971792005960937,-0.10876044494118899,-0.04502634520197989,-0.07690670072915003,-0.00196923731970834,-0.0,-0.0,-0.0,-0.05372824524988025,-0.003086912555218479,-0.004896481984139656,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.6145316603443245,-0.0,-0.5314746531554234,-0.0,-0.22882457489985938,-0.12518237525532536,-0.08576279279518263,-0.02382152425922487,-0.0027323129161471735,-0.0,-0.0,-0.0,-0.025386635541289757,-0.0150144573838767,-0.0,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.6154561394187344,-0.0,-0.5293820732160884,-0.0,-0.22076404016789755,-0.11840497316826949,-0.08761489825195262,-0.030843207055948146,-0.0,-0.0,-0.0,-0.0,-0.03251686945433292,-0.02162478082992402,-0.0,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.6040168740548141,-0.0,-0.526916239951182,-0.0,-0.21639118091852164,-0.12804117693879175,-0.09402775198323206,-0.03045819957018917,-0.0,-0.0,-0.0,-0.0,-0.02952959592475657,-0.02377225332307447,-0.0,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.5918459735832978,-0.0,-0.5360832978270131,-0.0,-0.21900298253089048,-0.11450788240306774,-0.1042554324669791,-0.04337984661269705,-0.0,-0.0,-0.0,-0.0,-0.0219961653174265,-0.03192905837239029,-0.0,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.6021058243369319,-0.0,-0.5283220045315207,-0.0,-0.22585632413701187,-0.13855791016926564,-0.09612155137944824,-0.020871651339464215,-0.0,-0.0,-0.0,-0.0,-0.02929494868719179,-0.024443555910968945,-0.0,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.597457400779873,-0.0,-0.5063564980503179,-0.0,-0.22568238876128416,-0.1613695849580685,-0.10485550985524279,-0.018027883125901395,-0.0,-0.0,-0.0,-0.0,-0.039474387051973724,-0.017573847550878693,-0.0,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.5954288155505714,-0.0,-0.5086510733739186,-0.0,-0.22140339634732456,-0.16824201644771972,-0.10445370073694328,-0.015806899498024135,-0.0,-0.0,-0.0,-0.0,-0.03647335255794083,-0.01962512015379686,-0.0,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.5995833444619534,-0.0,-0.508880638871825,-0.0,-0.21999946582623325,-0.16810448438877165,-0.104110467134959,-0.012846879089767902,-0.0,-0.0,-0.0,-0.0,-0.037685959242541596,-0.01965759461552843,-0.0,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.6010406937958639,-0.0,-0.5088192128085389,-0.0,-0.2201467645096731,-0.1678719146097398,-0.10116077384923282,-0.01267511674449633,-0.0,-0.0,-0.0,-0.0,-0.034716477651767844,-0.022014676450967312,-0.0,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.5997489919624022,-0.0,-0.5103741087879516,-0.0,-0.21851050762370158,-0.1722609415471708,-0.09949531362653209,-0.011081737830115625,-0.0014419610670511898,-0.0,-0.0,-0.0,-0.033058292611284686,-0.024326417260808034,-0.0,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.6054371002132196,-0.0,-0.49912046908315566,-0.0,-0.21596481876332624,-0.16783049040511727,-0.09730810234541579,-0.01329957356076759,-0.00746268656716418,-0.0,-0.0,-0.0,-0.01799040511727079,-0.03742004264392324,-0.0,-0.0034115138592750536,-0.0
2019-02-19,1.0,-0.0,-0.5932419509085113,-0.0,-0.5011954096270322,-0.0,-0.21427053448092656,-0.1696950377218149,-0.09621719264690257,-0.024837955583891194,-0.003984698756773988,-0.0,-0.0,-0.0,-0.012405695462756348,-0.04059079800233769,-0.0,-0.0,-0.0
2019-02-20,1.0,-0.0,-0.5927450407626735,-0.0,-0.5009958307884324,-0.0,-0.21539156066601162,-0.16865390232891625,-0.09485620203415036,-0.025519823671561727,-0.004142656079878907,-0.0,-0.0,-0.0,-0.009613086544334386,-0.04182489311416204,-0.0,-0.001805773163024139,-0.0
2019-02-21,1.0,-0.0,-0.5842007434944239,-0.0,-0.4943441317047265,-0.0,-0.2087360594795539,-0.17365905469994689,-0.11545406266595858,-0.0258364312267658,-0.0038236856080722257,-0.0,-0.0,-0.0,-0.009957514604354753,-0.03929899097185343,-0.0,-0.0,-0.0
2019-02-22,1.0,-0.0,-0.6013930835578047,-0.0,-0.49813620656817126,-0.0,-0.25535330449215027,-0.15136179359508067,-0.11925557097379805,-0.007999346992082278,-0.0,-0.0,-0.0,-0.0,-0.030337659510788234,-0.03433733300682937,-0.022664816477566456,-0.0,-0.0
2019-02-25,1.0,-0.0,-0.6040009838484873,-0.0,-0.5056707933644885,-0.0,-0.2640266732256566,-0.15003689431827497,-0.11828045147713918,-0.010958978983903144,-0.0,-0.0,-0.0,-0.0,-0.008116750020496843,-0.03675767265174496,-0.0350359377989123,-0.0,-0.0
2019-02-26,1.0,-0.0,-0.5917898822050343,-0.0,-0.5120937986826642,-0.0,-0.2638771215392604,-0.14911585449178716,-0.1272240290797781,-0.014075268523326682,-0.0,-0.0,-0.0,-0.0,-0.004700866380606193,-0.039410751865314717,-0.03074694580338353,-0.0,-0.0
2019-02-27,1.0,-0.0,-0.6042978373939227,-0.0,-0.5162332329592115,-0.0,-0.2645223104297837,-0.14303312346016972,-0.12794963044073362,-0.006405693950177936,-0.0,-0.0,-0.0,-0.0,-0.002244730358609362,-0.04237612920886942,-0.03041335888310977,-0.0,-0.0
2019-02-28,1.0,-0.0,-0.6170287410605857,-0.0,-0.5166374308460396,-0.0,-0.26484954796923493,-0.1527459182296586,-0.10341384428552153,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04398866549723384,-0.0,-0.0
2019-03-01,1.0,-0.0,-0.622555410691004,-0.0,-0.5159441547153412,-0.0,-0.2838983050847458,-0.14178617992177314,-0.09368209474141678,-0.0,-0.0,-0.0,-0.0,-0.0,-0.007958496305953933,-0.0,-0.05038570186875272,-0.0,-0.0
2019-03-04,1.0,-0.0,-0.6196835219716094,-0.0,-0.5202616507884809,-0.0,-0.2752218874684472,-0.14588931411665718,-0.09383057840023885,-0.0,-0.0,-0.0,-0.0,-0.0,-0.010096897646771437,-0.0,-0.049235947126998345,-0.0,-0.0
2019-03-05,1.0,-0.0,-0.6270888540370991,-0.0,-0.5223081499107675,-0.0,-0.2816234925098697,-0.14469201233032286,-0.07952517440917203,-0.0,-0.0,-0.0,-0.0,-0.0,-0.015277702666161916,-0.0,-0.033502785138716136,-0.0,-0.0
