Date,IWF,IWM,MTUM,SPY,TREE,VLUE,VXX
2018-09-24,-0.9339727550736725,-2.1648596052265776,-0.2408256880733945,-1.368154017236586,1.0,-1.2424242424242424,0.0
2018-09-25,-0.9363105986942633,-2.1609945825809143,-0.24552021114043618,-1.3649117933046258,1.0,-1.2376718988748436,0.0
2018-09-26,-0.938698915763136,-2.164164581595774,-0.24951348345843757,-1.3649569085348903,1.0,-1.232832916319155,0.0
2018-09-27,-0.9396126882765321,-2.1561046713403207,-0.2511973346289998,-1.3630873880752412,1.0,-1.2309294093149163,0.0
2018-09-28,-0.9427579020493227,-2.155262243834665,-0.2520319555401181,-1.3645710316081974,1.0,-1.2323028829454672,0.0
2018-10-01,-0.9426406173955364,-2.157894736842105,-0.2532156017520684,-1.3650837794618644,1.0,-1.2338177014531042,0.0
2018-10-02,-0.9472247497725206,-2.2012318891299785,-0.2458178763911248,-1.3687268145866873,1.0,-1.2364387205151537,0.0
2018-10-03,-0.9460102105042311,-2.187076019302049,-0.24428281698020843,-1.3724036645919295,1.0,-1.2437233372963143,0.0
2018-10-04,-0.9469675796534378,-2.181246506428172,-0.24552822806036892,-1.372833985466741,1.0,-1.2406372275013975,0.0
2018-10-05,-0.9274899291568273,-2.175024308931796,-0.22280872343381025,-1.375954993749132,1.0,-1.2441311293235173,0.0
2018-10-08,-0.9389780405405405,-2.197494369369369,-0.2084037162162162,-1.421875,1.0,-1.271537162162162,0.0
2018-10-09,-0.9370073198198198,-2.1986204954954953,-0.20319538288288286,-1.4244087837837838,1.0,-1.2749859234234233,0.0
2018-10-10,-0.9392020265991134,-2.1966786292308775,-0.20554500035184015,-1.4255858138062065,1.0,-1.2697206389416649,0.0
2018-10-11,-0.8247695227765726,-2.205395878524946,-0.046163232104121474,-1.3988611713665942,1.0,-1.3036198481561823,0.0
2018-10-12,-0.8395490026019081,-2.1962772699979984,-0.0321569150710521,-1.3543932216959103,1.0,-1.2492494495963706,0.0
2018-10-15,-0.7854452515469464,-2.299569545332257,-0.0,-1.3656174334140434,1.0,-1.2752219531880549,0.0
2018-10-16,-0.7741584495069704,-2.3592655559333564,-0.0,-1.3789187351241077,1.0,-1.28813328799728,0.0
2018-10-17,-0.7249058349302849,-2.2656446177228573,-0.0,-1.3433555805193949,1.0,-1.27423511531091,0.0
2018-10-18,-0.7237528906508093,-2.2638916418896597,-0.0,-1.3451602246448628,1.0,-1.274331020812686,0.0
2018-10-19,-0.6850810669456066,-2.241762552301255,-0.0,-1.34375,1.0,-1.2670632845188283,0.0
2018-10-22,-0.6872056514913658,-2.243197278911565,-0.0,-1.34347200418629,1.0,-1.2671376242804815,0.0
2018-10-23,-0.6879863972271272,-2.2429533712641425,-0.0,-1.342423647897456,1.0,-1.2664312340592505,0.0
2018-10-24,-0.6885181292695743,-2.2415265370467683,-0.0,-1.3550315291644772,1.0,-1.2834340514976355,0.0
