Date,IR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4089731130547457,-0.9384515711046323,-0.0022270813087139616,-0.8258827340459993,-0.8737447359896339,0.0
2018-09-25,1.0,-0.41317995868605456,-0.9361659038438171,-0.008141277492000486,-0.8236056543399894,-0.8693345214467981,0.0
2018-09-26,1.0,-0.41265915173140866,-0.9364204038601898,-0.00510907468980618,-0.8257237855810559,-0.8749087665233962,0.0
2018-09-27,1.0,-0.4121635337582721,-0.9408874994925095,-0.004465916933945029,-0.8266006252283707,-0.8758069099914741,0.0
2018-09-28,1.0,-0.4083143507972665,-0.9478929384965831,-0.005654083957045233,-0.8281809306866255,-0.8776033192320208,0.0
2018-10-01,1.0,-0.4078084924479909,-0.9504132231404959,-0.006391727394862191,-0.8281968814884176,-0.8783943329397875,0.0
2018-10-02,1.0,-0.407885625840088,-0.9553582338804937,-0.0057024153802289115,-0.8270946193637733,-0.8771129485560669,0.0
2018-10-03,1.0,-0.40755823424010423,-0.9449828962371722,-0.004316663951783678,-0.8312428734321551,-0.8842238149535755,0.0
2018-10-04,1.0,-0.4117000488519785,-0.9379172773163981,-0.005333007653476632,-0.8363865819899039,-0.8797020029311188,0.0
2018-10-05,1.0,-0.3933814583502312,-0.9286641252331901,-0.0,-0.8433774028712792,-0.8900154108200178,0.0
2018-10-08,1.0,-0.39012345679012345,-0.9247115968427444,-0.0,-0.8444444444444444,-0.8884841125278284,0.0
2018-10-09,1.0,-0.39486161202739395,-0.926976536856182,-0.0,-0.844186894679256,-0.8863314017100945,0.0
2018-10-10,1.0,-0.3992619028307243,-0.9262308378619516,-0.0,-0.8476762105604673,-0.8823100008110958,0.0
2018-10-11,1.0,-0.3269291462837305,-0.9079217295250119,-0.0,-0.8217216348429857,-0.8885513649992111,0.0
2018-10-12,1.0,-0.32976069841764755,-0.8985111855951361,-0.0,-0.801855171876218,-0.8672928521318888,0.0
2018-10-15,1.0,-0.306104199066874,-0.9176905132192846,-0.0,-0.7967340590979782,-0.8674572317262831,0.0
2018-10-16,1.0,-0.29800989212135376,-0.9343770689722319,-0.0,-0.7958094793005414,-0.8663395256455194,0.0
2018-10-17,1.0,-0.28336218503558375,-0.9070205808809385,-0.0,-0.7889594152721676,-0.8675514522023465,0.0
2018-10-18,1.0,-0.28349365140438626,-0.907887649095806,-0.0,-0.7885340515582916,-0.867718353212774,0.0
2018-10-19,1.0,-0.2696900114810563,-0.9005740528128588,-0.0,-0.7888633754305397,-0.8678530424799082,0.0
2018-10-22,1.0,-0.27148714411618197,-0.9065026631413573,-0.0,-0.7874085143886271,-0.8664597463309959,0.0
2018-10-23,1.0,-0.27056343426600227,-0.9067842085090072,-0.0,-0.7884246837868915,-0.8671138367190493,0.0
2018-10-24,1.0,-0.2679686004212139,-0.9041547003637757,-0.0,-0.7886272257323378,-0.8684663986214819,0.0
2018-10-25,1.0,-0.2424582678344188,-0.8692267385283331,-0.0,-0.7859869750729845,-0.8450857100082342,0.0
2018-10-26,1.0,-0.24187644729961905,-0.8658026443564653,-0.0,-0.7849406140285352,-0.8423844027788153,0.0
2018-10-29,1.0,-0.19062500000000002,-0.9527006172839506,-0.0,-0.804050925925926,-0.9106481481481482,0.0
2018-10-30,1.0,-0.19791425260718423,-0.9538045577443027,-0.0,-0.8048667439165701,-0.905909617612978,0.0
2018-10-31,1.0,-0.1987833519424017,-0.946059369345089,-0.0,-0.8024486967235205,-0.9028991645169984,0.0
2018-11-01,1.0,-0.19475972452002618,-0.9484821669039283,-0.0,-0.8017390635219885,-0.9025047131699435,0.0
2018-11-02,1.0,-0.2212707722385142,-0.9020527859237537,-0.0,-0.8658064516129033,-0.9209384164222875,0.0
2018-11-05,1.0,-0.21641382546137006,-0.9162496090084454,-0.0,-0.8672192680638099,-0.9100719424460432,0.0
