Date,IWF,IWM,MFC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.17562127236580516,-0.3825049701789265,1.0,-0.06958250497017893,-0.41893638170974157,-0.4384691848906561,0.0
2018-09-25,-0.17479280221010976,-0.3847532292988875,1.0,-0.0673983921949277,-0.4208915104905548,-0.4410264068294383,0.0
2018-09-26,-0.17432152914496474,-0.3848032496822588,1.0,-0.06486904079547437,-0.42253345627632266,-0.4455603459017619,0.0
2018-09-27,-0.17677094749427122,-0.3790475241606058,1.0,-0.06657865896184119,-0.4228106007771247,-0.44557636744047024,0.0
2018-09-28,-0.17427303107386902,-0.38281211032969226,1.0,-0.06708564018155519,-0.42341263903436577,-0.4463065489550601,0.0
2018-10-01,-0.17576740703768406,-0.3820314449713002,1.0,-0.06680808584976292,-0.4245071125530322,-0.4465185924631894,0.0
2018-10-02,-0.17744875284012884,-0.3701530548550598,1.0,-0.07113430376270256,-0.42790442186212585,-0.45017602556740155,0.0
2018-10-03,-0.17794937151710521,-0.37319139365769544,1.0,-0.07161956168628333,-0.4273433790638978,-0.4488592348251993,0.0
2018-10-04,-0.1770361282892266,-0.37750682256328083,1.0,-0.07153050749856038,-0.4260283918780201,-0.4515910968678801,0.0
2018-10-05,-0.18681207459325425,-0.3912350395992004,1.0,-0.07418840616381164,-0.42759545558057743,-0.45046937071430376,0.0
2018-10-08,-0.1920272241127856,-0.4028349921960955,1.0,-0.07673412992861346,-0.4303405572755418,-0.45674589975181024,0.0
2018-10-09,-0.19244645735779536,-0.4028556075842481,1.0,-0.07778716000102352,-0.4297996468872342,-0.45592487397968323,0.0
2018-10-10,-0.19582158420917714,-0.40217892847987696,1.0,-0.08067162266085619,-0.43278646500897205,-0.4519866700845937,0.0
2018-10-11,-0.19725054062403458,-0.4054680259499537,1.0,-0.07942024508289568,-0.43824014004736894,-0.4540212130573576,0.0
2018-10-12,-0.19642263108063152,-0.40180147905524705,1.0,-0.07694669771488523,-0.4342485734025947,-0.4494997313134932,0.0
2018-10-15,-0.19035331987839463,-0.40988171576016147,1.0,-0.06910558720588611,-0.43438162634442934,-0.4509874051554556,0.0
