Date,IWF,IWM,MTUM,SPY,VLUE,VXX,YEXT
2018-09-24,-0.9329194792671167,-1.5945636451301832,-0.32594021215043395,-1.180026518804243,-0.9934908389585341,0.0,1.0
2018-09-25,-0.9340440910733647,-1.5920973376701602,-0.3284544030839658,-1.177990603541742,-0.9907240091555234,0.0,1.0
2018-09-26,-0.9355830069297982,-1.5942151250376622,-0.33136486893642664,-1.1777643868635133,-0.9868635131063574,0.0,1.0
2018-09-27,-0.9355363926913104,-1.5968763191219923,-0.3314237472109992,-1.1785563528915153,-0.987879153349816,0.0,1.0
2018-09-28,-0.9318291797725623,-1.60833534962497,-0.3332325187515122,-1.182796999758045,-0.9927413501088798,0.0,1.0
2018-10-01,-0.9368861404146962,-1.6088880805141264,-0.33321207711895234,-1.1880077603977204,-0.9958772887110463,0.0,1.0
2018-10-02,-0.939011758971547,-1.641016267592762,-0.3272406019618595,-1.1889965271431182,-0.9964662158045452,0.0,1.0
2018-10-03,-0.9380288549339503,-1.6337736653071164,-0.3267790832166555,-1.1898094600353077,-0.999086869178791,0.0,1.0
2018-10-04,-0.9491670226398976,-1.6243973881735523,-0.3288582412888265,-1.2051016049307377,-0.9948739854762924,0.0,1.0
2018-10-05,-0.9449893390191899,-1.6269875114224794,-0.31775814803533353,-1.2077368260737131,-0.9945172098690224,0.0,1.0
2018-10-08,-0.9412014821114013,-1.620482293628136,-0.31276195104172994,-1.2085889570552149,-0.9911923707708193,0.0,1.0
2018-10-09,-0.9506986393312588,-1.6282872658490448,-0.32509610104338277,-1.2094697663066691,-0.9880407590457013,0.0,1.0
2018-10-10,-0.9506315982180998,-1.6292182827851347,-0.32422041862451945,-1.209861475559895,-0.9884664673216575,0.0,1.0
2018-10-11,-0.8688024408848208,-1.6137417121398814,-0.21527900017602536,-1.1770228246200787,-0.9926069353986974,0.0,1.0
2018-10-12,-0.8739471558786202,-1.5972654897888543,-0.20508826583592937,-1.1428406599746164,-0.9499250028845044,0.0,1.0
2018-10-15,-0.8591395375589556,-1.6194639365006327,-0.18181295295064995,-1.1413781203266997,-0.9499597377200046,0.0,1.0
