Date,IWF,IWM,MTUM,NRZ,SPY,VLUE,VXX
2018-09-24,-0.2524692508386135,-0.4002981736861722,-0.04113865076407007,1.0,-0.3466967946328736,-0.2888790532985464,0.0
2018-09-25,-0.25422741882890015,-0.39896119625471654,-0.043858014627102065,1.0,-0.3454138910886477,-0.2866725671961615,0.0
2018-09-26,-0.2537835505911433,-0.39894596926521003,-0.04153160926241168,1.0,-0.3468740526548982,-0.29076790336496977,0.0
2018-09-27,-0.25379538723443945,-0.3989645763858119,-0.041580187029220395,1.0,-0.34689023110468503,-0.2908047853361629,0.0
2018-09-28,-0.2566522602499708,-0.3983646770237122,-0.041373671300081766,1.0,-0.34804345286765564,-0.29174161896974654,0.0
2018-10-01,-0.2560918572564426,-0.40023852953556893,-0.04171928347598335,1.0,-0.3480660399420046,-0.2924091483092466,0.0
2018-10-02,-0.25612779492936666,-0.40029469548133595,-0.0419824118252409,1.0,-0.34799794180933674,-0.2924501824305361,0.0
2018-10-03,-0.25586289134653606,-0.3954032126072623,-0.041314971123944916,1.0,-0.34985620426009495,-0.2957048329397461,0.0
2018-10-04,-0.25843405886891263,-0.39127486966076735,-0.04173193369649078,1.0,-0.3533303719636219,-0.2931756014308092,0.0
2018-10-05,-0.25348208878744116,-0.3874784553034891,-0.03596217450039596,1.0,-0.35615130199841616,-0.29608235896958124,0.0
2018-10-08,-0.2527505757018911,-0.38605754692842686,-0.03461189551301435,1.0,-0.3570514758903026,-0.2955967528087274,0.0
2018-10-09,-0.2502566974703631,-0.3893633902734995,-0.02520302436292355,1.0,-0.3641837020442453,-0.30458321665266497,0.0
2018-10-10,-0.25326071712402415,-0.3886915057734561,-0.02776868776588285,1.0,-0.3667430227665841,-0.3009676966948717,0.0
2018-10-11,-0.23757628596338273,-0.38482540265222775,-0.004772174551461478,1.0,-0.36268526591107236,-0.3044555591244895,0.0
2018-10-12,-0.23930222495502268,-0.38145339436587644,-0.0018446402951424472,1.0,-0.35751861720297873,-0.2972148208877046,0.0
2018-10-15,-0.22654758658303792,-0.39366875738569224,-0.0,1.0,-0.35503590582674305,-0.2972684301427143,0.0
2018-10-16,-0.22086140957931158,-0.4047759970861409,-0.0,1.0,-0.3543298124203242,-0.2964851575305045,0.0
2018-10-17,-0.21106409794742528,-0.3863656823910695,-0.0,1.0,-0.35240367302844794,-0.3007967230824631,0.0
2018-10-18,-0.21015556207807454,-0.38522498927547355,-0.0,1.0,-0.35889909913978,-0.30351538687317964,0.0
