Date,IWF,IWM,MTUM,SFBS,SPY,VLUE,VXX
2018-09-24,-0.1800005761862234,-0.8174930137420415,-0.055313877445190285,1.0,-0.3948604188873844,-0.4332632306761546,0.0
2018-09-25,-0.1788601455133387,-0.8209954960157062,-0.05199792123801825,1.0,-0.39799630442314354,-0.4373484236054972,0.0
2018-09-26,-0.17828650711064864,-0.8210197710718002,-0.0492542490461325,1.0,-0.3997282922881258,-0.4421898485374032,0.0
2018-09-27,-0.17791854680087932,-0.8231227583015156,-0.04885456438736549,1.0,-0.40006363531181294,-0.44255466851787567,0.0
2018-09-28,-0.17736383883377202,-0.8233592687935674,-0.04920024296416279,1.0,-0.3999942151389813,-0.4425129436265294,0.0
2018-10-01,-0.1770730860482611,-0.824084254383427,-0.04956310398703779,1.0,-0.39986111914819744,-0.44276951565302936,0.0
2018-10-02,-0.17755487716237825,-0.8479720889664195,-0.04311673208315162,1.0,-0.398430004361099,-0.4403547027184184,0.0
2018-10-03,-0.17746904609661107,-0.8453176771493345,-0.04292855897227228,1.0,-0.3991164331802593,-0.44163808638028257,0.0
2018-10-04,-0.1758733688337527,-0.8587687986424016,-0.042512727485517,1.0,-0.3975656855287027,-0.4511381590496811,0.0
2018-10-05,-0.1668853701921675,-0.8578135479543929,-0.03446767561893098,1.0,-0.400723179657656,-0.45612807278453327,0.0
2018-10-08,-0.16626836092329214,-0.8576882723245512,-0.0336616927022616,1.0,-0.40090930286780135,-0.4559046397761717,0.0
2018-10-09,-0.16399754966307867,-0.8592806510895248,-0.02707038884513287,1.0,-0.40512237099267817,-0.4615676322160964,0.0
2018-10-10,-0.1643288326383016,-0.8588550931731358,-0.02758741360706891,1.0,-0.40526668805225863,-0.46017905572890844,0.0
2018-10-11,-0.11325383693729674,-0.8670051919895019,-0.0,1.0,-0.3941632909225765,-0.47831916471729335,0.0
2018-10-12,-0.10618662413125214,-0.8727355588469865,-0.0,1.0,-0.39199042953173063,-0.47744103907941204,0.0
2018-10-15,-0.06704278595566757,-0.9217022738988488,-0.0,1.0,-0.39011398132768205,-0.48502205166389833,0.0
2018-10-16,-0.06401076870202771,-0.9266811776835834,-0.0,1.0,-0.38921984190628933,-0.48407606827815325,0.0
2018-10-17,-0.04611032531824611,-0.8979349363507779,-0.0,1.0,-0.3888826025459689,-0.49592644978783595,0.0
2018-10-18,-0.04570911353736494,-0.8974656333088193,-0.0,1.0,-0.38940431068620235,-0.4959551960174237,0.0
2018-10-19,-0.02490121947752921,-0.8962164927939964,-0.0,1.0,-0.4093066886494784,-0.5121805622672617,0.0
2018-10-22,-0.025206740742845776,-0.8906476455710592,-0.0,1.0,-0.41171957145698945,-0.5142231947483589,0.0
2018-10-23,-0.01816825005022818,-0.8991418156769323,-0.0,1.0,-0.42725524525702474,-0.5256163715163169,0.0
2018-10-24,-0.015862088747382614,-0.8960789375555748,-0.0,1.0,-0.42804692654103205,-0.5283825258870436,0.0
