Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XNCR
2018-09-24,-0.9372876304023845,-1.585037257824143,-0.2513859910581222,-1.1219076005961253,-1.065692995529061,0.0,1.0
2018-09-25,-0.9406471604791133,-1.5816697455455575,-0.25701686431082776,-1.1189440438591265,-1.0608426196293428,0.0,1.0
2018-09-26,-0.9507908611599297,-1.6080843585237259,-0.24313677958911584,-1.1504151263559785,-1.1078116477789226,0.0,1.0
2018-09-27,-0.9519341364489375,-1.6013075852049155,-0.2448090078091894,-1.1491615715237,-1.1064834433077062,0.0,1.0
2018-09-28,-0.947754409358143,-1.607915631250379,-0.2462573489302382,-1.1506757985332443,-1.1083702042548034,0.0,1.0
2018-10-01,-0.9559924523708078,-1.6108710207559804,-0.2458457605453771,-1.1599610444944914,-1.114188325521943,0.0,1.0
2018-10-02,-0.9558653436415657,-1.6121629025385038,-0.24642357095026482,-1.1593717659950082,-1.113715224934559,0.0,1.0
2018-10-03,-0.9551621342094057,-1.6071059195716981,-0.24639532761452823,-1.1598223520107076,-1.1153495163350977,0.0,1.0
2018-10-04,-0.959569552529183,-1.5974586575875487,-0.247750486381323,-1.1654304474708173,-1.1096181906614788,0.0,1.0
2018-10-05,-0.9533628479592455,-1.5974892352477408,-0.23354963915337498,-1.1681727212080781,-1.1120747164776517,0.0,1.0
2018-10-08,-0.9540020632319922,-1.5994902603313308,-0.23302384853449845,-1.168820923599733,-1.112931609927787,0.0,1.0
2018-10-09,-0.9512387660918146,-1.6018338596065098,-0.22401020160310905,-1.1746417294146223,-1.1206582462958465,0.0,1.0
2018-10-10,-0.9515343399902582,-1.6095957135898684,-0.2203482708231856,-1.1781539210910863,-1.1289576229907452,0.0,1.0
2018-10-11,-0.8682366794230203,-1.6074771857521342,-0.09720341477774506,-1.1555490138357374,-1.1590815425375331,0.0,1.0
2018-10-12,-0.9183854382128717,-1.6334731989835114,-0.08787896696412742,-1.1386442881626382,-1.1313752142308373,0.0,1.0
2018-10-15,-0.9032885431400283,-1.656706742102782,-0.06335454974068835,-1.136963696369637,-1.133132956152758,0.0,1.0
2018-10-16,-0.9011727267369909,-1.6644469326418765,-0.05757557899699451,-1.1370145559549767,-1.1328893865283751,0.0,1.0
2018-10-17,-0.8717638240212189,-1.5958023410021334,-0.033269907167156776,-1.1248342270656748,-1.1403448077033962,0.0,1.0
2018-10-18,-0.8715405904059039,-1.5955950184501844,-0.033095018450184505,-1.1251153136531364,-1.1403367158671587,0.0,1.0
2018-10-19,-0.8562614259597807,-1.579924588665448,-0.012682815356489945,-1.1263139853747715,-1.1377970749542963,0.0,1.0
2018-10-22,-0.8585541343079033,-1.5712654179990864,-0.006052992233896756,-1.1319095477386936,-1.1425879396984924,0.0,1.0
2018-10-23,-0.858162915571804,-1.572089569290529,-0.004455615217639666,-1.133782703073232,-1.143893522220953,0.0,1.0
2018-10-24,-0.8588665866071938,-1.566535140390004,-0.0,-1.1398181506261795,-1.1532567049808429,0.0,1.0
2018-10-25,-0.7968578334431993,-1.4753900241705118,-0.0,-1.1334871456822675,-1.0875631729290265,0.0,1.0
2018-10-26,-0.7771146438066301,-1.4510335847213933,-0.0,-1.127665346427215,-1.0697737507460259,0.0,1.0
2018-10-29,-0.7398141143412947,-1.4715767859072735,-0.0,-1.110612774235383,-1.081703231384416,0.0,1.0
2018-10-30,-0.7726777147841256,-1.4851722634103797,-0.0,-1.1230375054513737,-1.0704317488006978,0.0,1.0
2018-10-31,-0.7802768166089965,-1.4473399653979238,-0.0,-1.1184580449826989,-1.0604455017301038,0.0,1.0
2018-11-01,-0.7275551921504497,-1.5109839193240664,-0.0,-1.1341509948214772,-1.0783319705641863,0.0,1.0
2018-11-02,-0.7443634903333143,-1.6452297630658022,-0.0,-1.188744191383168,-1.1585680683839137,0.0,1.0
2018-11-05,-0.738544474393531,-1.6611802488960257,-0.0,-1.18959683431783,-1.145609909961576,0.0,1.0
2018-11-06,-0.7468165653321097,-1.6681197659745326,-0.0,-1.1841803372719972,-1.1368016519444764,0.0,1.0
2018-11-07,-0.7531135955511787,-1.6837166193593232,-0.0,-1.203962231361872,-1.1518855355384348,0.0,1.0
2018-11-08,-0.708352428964253,-1.6819431714023834,-0.0,-1.1832607699358388,-1.155132905591201,0.0,1.0
2018-11-09,-0.7155878620053076,-1.6939540786892813,-0.0,-1.1921079958463137,-1.1673012576439368,0.0,1.0
2018-11-12,-0.7135632183908047,-1.6805172413793106,-0.0,-1.1914367816091955,-1.161609195402299,0.0,1.0
2018-11-13,-0.6739662135259655,-1.6742506114555487,-0.0,-1.1885558273135772,-1.1511859393663613,0.0,1.0
2018-11-14,-0.6812514298787463,-1.6803363074811257,-0.0,-1.199782658430565,-1.158144589338824,0.0,1.0
2018-11-15,-0.6796549163000628,-1.680454779180712,-0.0,-1.1996800548477404,-1.1535165400217107,0.0,1.0
2018-11-16,-0.6778994184057474,-1.6736229900786863,-0.0,-1.196658684000456,-1.1536663245524006,0.0,1.0
2018-11-19,-0.6753024423647569,-1.6761013467244918,-0.0,-1.199611960739557,-1.155443962565624,0.0,1.0
2018-11-20,-0.6245540517583102,-1.663854125375163,-0.0,-1.199161900447364,-1.1753213658757575,0.0,1.0
2018-11-21,-0.634355553063856,-1.6531928014800694,-0.0,-1.191568088804171,-1.127263553288109,0.0,1.0
2018-11-23,-0.635600335852225,-1.6379513014273719,-0.0,-1.1962496501539324,-1.1277357962496501,0.0,1.0
2018-11-26,-0.6365827680923819,-1.6365267111385167,-0.0,-1.2006278378832895,-1.1319020124446437,0.0,1.0
2018-11-27,-0.6267566361811288,-1.6356792326567031,-0.0,-1.1913896944010707,-1.1227972339950925,0.0,1.0
2018-11-28,-0.6280392594244925,-1.632221726522418,-0.0,-1.1926723176444345,-1.12368949364265,0.0,1.0
2018-11-29,-0.5883161890092964,-1.6083392925903512,-0.0,-1.1807580174927115,-1.1233841245393037,0.0,1.0
2018-11-30,-0.5889958734525448,-1.60990371389271,-0.0,-1.1836038514442917,-1.1195598349381017,0.0,1.0
2018-12-03,-0.5861689846627454,-1.6099719641581003,-0.0,-1.1827277225001376,-1.118355230608543,0.0,1.0
2018-12-04,-0.5696251166364784,-1.6223722487513037,-0.0,-1.1786047532795434,-1.1181733355288437,0.0,1.0
2018-12-06,-0.5587593764962494,-1.5293397882640847,-0.0,-1.1643879342448265,-1.0675107729956907,0.0,1.0
