Date,IWF,IWM,MTUM,SPY,UMH,VLUE,VXX
2018-09-24,-0.3041000523673105,-0.8298678495517974,-0.0,-0.5279857068046699,1.0,-0.41847641930813545,0.0
2018-09-25,-0.3024942890658764,-0.8326850651355189,-0.0,-0.5302216459838242,1.0,-0.42162128789281966,0.0
2018-09-26,-0.30270103411020216,-0.832937181663837,-0.0,-0.530174409631116,1.0,-0.4210835005402068,0.0
2018-09-27,-0.30566864051320014,-0.8267332839871702,-0.0,-0.5305637799161115,1.0,-0.42116950407105846,0.0
2018-09-28,-0.3058014372513339,-0.8266045708293496,-0.0,-0.5305493014218302,1.0,-0.4213058631218579,0.0
2018-10-01,-0.30555727076258105,-0.8286816918802098,-0.0,-0.5308428527323248,1.0,-0.42229083050324173,0.0
2018-10-02,-0.30613442005495356,-0.8271124695131363,-0.0,-0.5311969374208886,1.0,-0.42283350313358653,0.0
2018-10-03,-0.30587872241937974,-0.8243172349945996,-0.0,-0.5316772103070514,1.0,-0.4240703595124209,0.0
2018-10-04,-0.312202509736045,-0.8178277801817395,-0.0,-0.5402114112629041,1.0,-0.4205662360140941,0.0
2018-10-05,-0.30213237330379394,-0.8138404258592572,-0.0,-0.5405704790916643,1.0,-0.4204744761377273,0.0
2018-10-08,-0.29884350393700787,-0.8108698326771653,-0.0,-0.5457369586614172,1.0,-0.42033710629921256,0.0
2018-10-09,-0.29446171843733643,-0.8113782593972232,-0.0,-0.5482560108364375,1.0,-0.42443739802358155,0.0
2018-10-10,-0.2970992178358071,-0.810679312680914,-0.0,-0.5501940013549301,1.0,-0.4214140543203794,0.0
2018-10-11,-0.2311198498525337,-0.8000119164655762,-0.0,-0.5253075937676884,1.0,-0.42270682515565877,0.0
2018-10-12,-0.22885000589136326,-0.795363497113232,-0.0,-0.5136974195828914,1.0,-0.4077412513255567,0.0
2018-10-15,-0.18183997602637098,-0.8693736889421636,-0.0,-0.5201977824393167,1.0,-0.42532214563979626,0.0
2018-10-16,-0.17309779331966718,-0.8928011576027974,-0.0,-0.5219160737971783,1.0,-0.4267755938743518,0.0
2018-10-17,-0.15551740468861003,-0.8596968979398532,-0.0,-0.5149479043334123,1.0,-0.4298188491593654,0.0
2018-10-18,-0.15643153526970954,-0.8626852400711322,-0.0,-0.5142264374629519,1.0,-0.4305275637225845,0.0
2018-10-19,-0.1422318832065329,-0.8545369092030667,-0.0,-0.5138501307170343,1.0,-0.4268131480774315,0.0
2018-10-22,-0.14225720243164663,-0.8473466271181463,-0.0,-0.5171654283280961,1.0,-0.43000205573991956,0.0
2018-10-23,-0.13817420040127462,-0.8514693733034344,-0.0,-0.5250796648176561,1.0,-0.4358255635548212,0.0
2018-10-24,-0.13611577799392813,-0.8479971703952605,-0.0,-0.525864355822796,1.0,-0.4375571079081557,0.0
2018-10-25,-0.0990583588540027,-0.807865136380549,-0.0,-0.5451501187784424,1.0,-0.4100575288359713,0.0
2018-10-26,-0.09050966608084358,-0.7970689948409774,-0.0,-0.5441351550541413,1.0,-0.4029139973921424,0.0
2018-10-29,-0.08140388524960471,-0.7998644680370454,-0.0,-0.5403207589789926,1.0,-0.4019934492884572,0.0
2018-10-30,-0.06655169489129512,-0.8018715897203923,-0.0,-0.542704475417715,1.0,-0.4160470441887422,0.0
2018-10-31,-0.07171929824561403,-0.7818947368421053,-0.0,-0.5416701754385965,1.0,-0.4117614035087719,0.0
