Date,IWF,IWM,MTUM,SPY,TRIL,VLUE,VXX
2018-09-24,-1.0886764705882352,-2.1553676470588234,-0.2428676470588235,-1.5148529411764706,1.0,-1.3511029411764706,0.0
2018-09-25,-1.1083543178788329,-2.164568212116724,-0.2602577395941342,-1.521848615019997,1.0,-1.3512812916604948,0.0
2018-09-26,-1.108222222222222,-2.1648148148148145,-0.2594074074074074,-1.5223703703703704,1.0,-1.3525925925925926,0.0
2018-09-27,-1.1119082840236687,-2.1498520710059172,-0.26309171597633135,-1.520931952662722,1.0,-1.3506656804733728,0.0
2018-09-28,-1.1084534244540187,-2.167137126727084,-0.26563660674491163,-1.5284504531273215,1.0,-1.3586391323726046,0.0
2018-10-01,-1.1140390055084115,-2.167857674557094,-0.26559475956528217,-1.5342414768497843,1.0,-1.3620663986898915,0.0
2018-10-02,-1.1142729439809296,-2.175432061978546,-0.2649731823599523,-1.5332240762812872,1.0,-1.3613676996424315,0.0
2018-10-03,-1.1185262685897914,-2.1907929153277035,-0.26791719602421343,-1.535311262237501,1.0,-1.3606606382183692,0.0
2018-10-04,-1.1184603886397608,-2.1904334828101644,-0.26920777279521674,-1.5346786248131539,1.0,-1.361136023916293,0.0
2018-10-05,-1.1870436538760294,-2.291673139661333,-0.29485785303712914,-1.5894826782662732,1.0,-1.4045362746621097,0.0
2018-10-08,-1.1905911675364125,-2.3003349170496143,-0.2949606667185918,-1.5935041669911987,1.0,-1.4092997897032478,0.0
2018-10-09,-1.1938099321743199,-2.3033445076791144,-0.298900756217354,-1.593045918765105,1.0,-1.406954081234895,0.0
2018-10-10,-1.214171720395787,-2.3688158314714336,-0.288940312799234,-1.6384455793169488,1.0,-1.4691190552186404,0.0
2018-10-11,-1.0886124548875067,-2.369653689626046,-0.10988251554941257,-1.6050833141365275,1.0,-1.5054902864163402,0.0
2018-10-12,-1.1172319599362623,-2.3664921465968587,-0.0949996206085439,-1.5602853023749907,1.0,-1.4488959708627362,0.0
2018-10-15,-1.1073673052169304,-2.3810100704172035,-0.07662603164988264,-1.5588702960551224,1.0,-1.447868554554403,0.0
2018-10-16,-1.111869548729617,-2.3752749336367085,-0.08373151308304892,-1.5621539628365566,1.0,-1.451346226772848,0.0
2018-10-17,-1.0664650339333135,-2.273753319563293,-0.05119504278548244,-1.5356299793449393,1.0,-1.4498377102390083,0.0
2018-10-18,-1.0663174977869578,-2.2741221599291825,-0.050604898200059006,-1.535925051637651,1.0,-1.4499114783121863,0.0
2018-10-19,-1.0406913148107635,-2.25100269816962,-0.021293662947568,-1.5364252898709252,1.0,-1.4429373587107124,0.0
2018-10-22,-1.0463928805893938,-2.236778758479831,-0.006637975052884966,-1.5498577576774382,1.0,-1.4548836530746225,0.0
2018-10-23,-1.0446886446886448,-2.2476190476190476,-0.0,-1.566007326007326,1.0,-1.4676923076923074,0.0
2018-10-24,-1.0413616398243044,-2.2397510980966326,-0.0,-1.5675695461200585,1.0,-1.4720351390922402,0.0
2018-10-25,-0.9563373426962386,-2.1038726274073554,-0.0,-1.5258986303274698,1.0,-1.3664743099492453,0.0
2018-10-26,-0.9317761490513049,-2.0673333789985615,-0.0,-1.5109254058497157,1.0,-1.3397492978971162,0.0
2018-10-29,-0.9451126780035947,-2.0830222590902805,-0.0,-1.5351168256601684,1.0,-1.3495091939720725,0.0
2018-10-30,-0.9110571923743502,-2.0912998266897747,-0.0,-1.5440554592720972,1.0,-1.3859272097053725,0.0
2018-10-31,-0.9248690377722636,-2.0424593327819136,-0.0,-1.546388199614006,1.0,-1.3789633305762339,0.0
2018-11-01,-0.8676572698236356,-2.113248159977781,-0.0,-1.563255103457853,1.0,-1.399319538952923,0.0
2018-11-02,-0.8953890489913544,-2.2236311239193083,-0.0,-1.6115994236311237,1.0,-1.4739913544668586,0.0
2018-11-05,-0.8864209994952046,-2.2544890747818567,-0.0,-1.6158505805148915,1.0,-1.4545323429725248,0.0
2018-11-06,-0.9279431168450374,-2.316889019205395,-0.0,-1.6316522504031665,1.0,-1.4538190881102477,0.0
2018-11-07,-0.9262162954279015,-2.318288393903869,-0.0,-1.6289566236811255,1.0,-1.4536195779601409,0.0
2018-11-08,-0.8575264915082015,-2.3256641021919,-0.0,-1.6068369865002177,1.0,-1.4679198722601248,0.0
2018-11-09,-0.8593910869245478,-2.356302397411384,-0.0,-1.6442859244006474,1.0,-1.4940432416531844,0.0
2018-11-12,-0.856307129798903,-2.3174405850091406,-0.0,-1.6544058500914076,1.0,-1.4843875685557586,0.0
2018-11-13,-0.8435309579439252,-2.3233790887850465,-0.0,-1.6542786214953271,1.0,-1.4802862149532712,0.0
2018-11-14,-0.8453370953370954,-2.368131868131868,-0.0,-1.6928274428274428,1.0,-1.5187110187110189,0.0
2018-11-15,-0.842507986033727,-2.3718891612807367,-0.0,-1.6943763464824306,1.0,-1.5201693782036996,0.0
2018-11-16,-0.872100980913999,-2.4354041517755305,-0.0,-1.744201961827998,1.0,-1.5522773933541176,0.0
2018-11-19,-0.8682807979290391,-2.440307598599056,-0.0,-1.7495051012638951,1.0,-1.5557332115121059,0.0
2018-11-20,-0.8065781532890766,-2.423581774290887,-0.0,-1.7435123717561856,1.0,-1.5700814725407362,0.0
2018-11-21,-0.8328942416258939,-2.4289800526910046,-0.0,-1.759051561911931,1.0,-1.5064358298833271,0.0
2018-11-23,-0.8358893399488798,-2.4008419786498267,-0.0,-1.7710118779130959,1.0,-1.5099233198015336,0.0
2018-11-26,-0.8345785223756698,-2.4295524866047846,-0.0,-1.7726209342691117,1.0,-1.509772847332277,0.0
2018-11-27,-0.811041932338159,-2.436726427124747,-0.0,-1.7586077563573626,1.0,-1.4949366139074336,0.0
2018-11-28,-0.8084706236365005,-2.4629504250357335,-0.0,-1.7558113292710449,1.0,-1.4955991875423156,0.0
2018-11-29,-0.7338966718553109,-2.4293973760284633,-0.0,-1.7447928248461937,1.0,-1.504262100659699,0.0
