Date,IWF,IWM,MTUM,RF,SPY,VLUE,VXX
2018-09-24,-0.17806012884753042,-0.5337628251014077,-0.1852779766165593,1.0,-0.49973156764495347,-0.5857790503459794,0.0
2018-09-25,-0.17788318119443947,-0.5341268420738619,-0.18486367161863848,1.0,-0.5000298311556589,-0.5862418710100828,0.0
2018-09-26,-0.17779368772746254,-0.5340970109182029,-0.18474434699600262,1.0,-0.500089493466977,-0.5863910267883777,0.0
2018-09-27,-0.17705064993276556,-0.5391901987150755,-0.18362468250410877,1.0,-0.5010309278350515,-0.5873300463170477,0.0
2018-09-28,-0.17320114165540035,-0.55063842571729,-0.18422712933753943,1.0,-0.5050623403935708,-0.5912272795553553,0.0
2018-10-01,-0.1757114493712773,-0.5498164972023344,-0.1837133746465315,1.0,-0.5071295349256965,-0.5918717285361892,0.0
2018-10-02,-0.175766889652263,-0.5616223708792865,-0.18040740071114325,1.0,-0.5056650394744772,-0.5898873018742843,0.0
2018-10-03,-0.1755722891566265,-0.557078313253012,-0.17984939759036142,1.0,-0.507078313253012,-0.5924698795180723,0.0
2018-10-04,-0.17437012869313034,-0.5644674037822488,-0.17959639900912333,1.0,-0.5053168992810102,-0.5972146698084708,0.0
2018-10-05,-0.15857487922705313,-0.5582427536231884,-0.16554951690821254,1.0,-0.5205917874396135,-0.6163345410628019,0.0
2018-10-08,-0.1571045253097772,-0.5561216798818174,-0.16355633272031114,1.0,-0.5220838734963369,-0.615996864542193,0.0
2018-10-09,-0.1548071700162955,-0.5576377572575292,-0.15694972539079002,1.0,-0.5264349085641861,-0.6218238879835838,0.0
2018-10-10,-0.15466312645204117,-0.5574631143831277,-0.1569863923000332,1.0,-0.5265666958332076,-0.6215792173309598,0.0
2018-10-11,-0.11381202430821878,-0.5569650126851141,-0.112012508112573,1.0,-0.5229807068263614,-0.6442562983066847,0.0
2018-10-12,-0.11047635788363509,-0.553260678502373,-0.10953887619382434,1.0,-0.5168746704165935,-0.6395089939649617,0.0
2018-10-15,-0.0852598592798439,-0.617749660024833,-0.06503872760598356,1.0,-0.5291787382486844,-0.6590788151126352,0.0
2018-10-16,-0.08568387440127727,-0.6165809236591567,-0.06602211578262669,1.0,-0.5292117556619952,-0.6591271953166578,0.0
2018-10-17,-0.07270549745866682,-0.5876905999883157,-0.05123561371735702,1.0,-0.533738388736344,-0.675673307238418,0.0
2018-10-18,-0.07133046959469332,-0.5856929955290611,-0.05242395020601385,1.0,-0.5364542240144939,-0.6762806463867216,0.0
2018-10-19,-0.06141192199261778,-0.5799401284622315,-0.04650216525706979,1.0,-0.5391344784491529,-0.6793966344057896,0.0
2018-10-22,-0.06196953842576444,-0.5798744332054412,-0.047029415184280894,1.0,-0.5388036274851762,-0.6789326822462505,0.0
2018-10-23,-0.06074725274725274,-0.5892454212454212,-0.0344029304029304,1.0,-0.5552234432234432,-0.6908131868131868,0.0
2018-10-24,-0.059705425902609,-0.5879183625662499,-0.031331439782144005,1.0,-0.5563526690287254,-0.6928347632572984,0.0
2018-10-25,-0.04613606817853532,-0.5725552506138957,-0.029466994077711976,1.0,-0.5563484038711541,-0.6844142712696808,0.0
2018-10-26,-0.04759978035316898,-0.5724401028871998,-0.030634952747030434,1.0,-0.5557353833704228,-0.6836796624375018,0.0
2018-10-29,-0.03226735811005474,-0.5841544223566695,-0.0184673004897724,1.0,-0.5516565831172573,-0.6944684528954191,0.0
2018-10-30,-0.01419590346785642,-0.5936205348089347,-0.002172842367529044,1.0,-0.5629979430425588,-0.7241359330185126,0.0
2018-10-31,-0.017831422480843465,-0.5767125655355188,-0.0036008526819150777,1.0,-0.5619346661289393,-0.7205738318833899,0.0
2018-11-01,-0.02668787046407402,-0.569379788925835,-0.011218736446436317,1.0,-0.5629608211652452,-0.7211797021830274,0.0
2018-11-02,-0.030840556339447694,-0.5541797448671063,-0.008610015261899962,1.0,-0.5675123103061018,-0.718489935784836,0.0
2018-11-05,-0.0272418360882336,-0.5652537003973968,-0.0082647008005529,1.0,-0.568824511893106,-0.71013073777573,0.0
2018-11-06,-0.029656502836083037,-0.5666695459387867,-0.0074285220696207995,1.0,-0.5675333275747891,-0.7079842215887824,0.0
2018-11-07,-0.0317304641301526,-0.568263766694551,-0.004240343842847665,1.0,-0.5705137450601437,-0.7098393284679956,0.0
2018-11-08,-0.0037889660715310866,-0.5761811814685114,-0.0,1.0,-0.5669958091738906,-0.723462885355072,0.0
2018-11-09,-0.0027863954958060443,-0.5769562219924165,-0.0,1.0,-0.5692577272204987,-0.723572331379984,0.0
2018-11-12,-0.0018087855297157624,-0.5759689922480621,-0.0,1.0,-0.5696238874533448,-0.7237151880562733,0.0
2018-11-13,-0.0,-0.5687466118862163,-0.0,1.0,-0.5640103854603554,-0.720419983451739,0.0
2018-11-14,-0.0,-0.5685715100853043,-0.0,1.0,-0.5640637927591224,-0.7203218167812616,0.0
2018-11-15,-0.0,-0.5707737703039505,-0.0,1.0,-0.5647291374222936,-0.7292520124903314,0.0
2018-11-16,-0.0,-0.564024128762972,-0.0,1.0,-0.562909174075874,-0.7319248692072388,0.0
2018-11-19,-0.0,-0.565867491621552,-0.0,1.0,-0.5644352782790525,-0.7341239150983931,0.0
2018-11-20,-0.0,-0.5512414835086519,-0.0,1.0,-0.5551184469340631,-0.7443484705949429,0.0
2018-11-21,-0.0,-0.5471847739888978,-0.0,1.0,-0.553812167214229,-0.7312507080548317,0.0
2018-11-23,-0.0,-0.537719298245614,-0.0,1.0,-0.5590831918505943,-0.7328522920203735,0.0
2018-11-26,-0.0,-0.5453541389368752,-0.0,1.0,-0.5565687746028151,-0.7300557899804594,0.0
2018-11-27,-0.0,-0.5447011907118817,-0.0,1.0,-0.5545719376643946,-0.7289928444155329,0.0
2018-11-28,-0.0,-0.5474681753889675,-0.0,1.0,-0.5532956152758134,-0.7280905233380481,0.0
2018-11-29,-0.0,-0.5343188129365235,-0.0,1.0,-0.5436032649855544,-0.7270483296401222,0.0
2018-11-30,-0.0,-0.5346134411318848,-0.0,1.0,-0.5432597832799956,-0.7293807197799114,0.0
2018-12-03,-0.0,-0.5350901837388324,-0.0,1.0,-0.5441928414901388,-0.7301792436927573,0.0
2018-12-04,-0.0,-0.5351634793337446,-0.0,1.0,-0.5404351971285963,-0.7285065335651393,0.0
2018-12-06,-0.0,-0.5282549791893628,-0.0,1.0,-0.5370820413978045,-0.7280370960082684,0.0
2018-12-07,-0.0,-0.5281790494285954,-0.0,1.0,-0.5365615133141468,-0.7294140657744,0.0
2018-12-10,-0.0,-0.5253658401132925,-0.0,1.0,-0.5302251964568351,-0.7211840168827923,0.0
2018-12-11,-0.0,-0.5336148554169696,-0.0,1.0,-0.5219810951395492,-0.7409810392080093,0.0
2018-12-12,-0.0,-0.5349521088892624,-0.0,1.0,-0.5215089900856998,-0.74418865176721,0.0
2018-12-13,-0.0,-0.5331952530228392,-0.0,1.0,-0.5227552619793999,-0.7430026869682042,0.0
2018-12-14,-0.0,-0.5551144522341415,-0.0,1.0,-0.5151617535264803,-0.7452487541177464,0.0
2018-12-17,-0.0,-0.5537090152409876,-0.0,1.0,-0.5109948821776052,-0.747286429334683,0.0
2018-12-18,-0.0,-0.5423425439087146,-0.0,1.0,-0.5044468061304397,-0.7499440653316926,0.0
2018-12-19,-0.0,-0.5430882476419715,-0.0,1.0,-0.5055277225782977,-0.7502309048671948,0.0
2018-12-20,-0.0,-0.541496560595045,-0.0,1.0,-0.5058441921592752,-0.7489234382864494,0.0
2018-12-21,-0.0,-0.5448435495565842,-0.0,1.0,-0.5117965307602208,-0.7321657649617938,0.0
2018-12-24,-0.0,-0.5236470555601787,-0.0,1.0,-0.5019833014340794,-0.7482455410390835,0.0
2018-12-26,-0.0,-0.5266175943539272,-0.0,1.0,-0.48826951175805694,-0.7419843961072974,0.0
2018-12-27,-0.0,-0.5161422149570903,-0.0,1.0,-0.47069881487535764,-0.7375834354992509,0.0
2018-12-28,-0.0,-0.5188019060585433,-0.0,1.0,-0.4689720898570456,-0.7351667801225323,0.0
2018-12-31,-0.0,-0.5187746766507828,-0.0,1.0,-0.4690810074880871,-0.7350850918992511,0.0
2019-01-02,-0.0,-0.5179975513535574,-0.0,1.0,-0.4669840837981227,-0.7357366344715005,0.0
2019-01-03,-0.0,-0.5196663668329381,-0.0,1.0,-0.46179845721917845,-0.7442963447542728,0.0
2019-01-04,-0.0,-0.5235562310030396,-0.0,1.0,-0.4412451150673036,-0.7490501519756839,0.0
2019-01-07,-0.0,-0.5099234591110514,-0.0,1.0,-0.43550422989123133,-0.7402443937155901,0.0
