Date,GDS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.9909743115019671,-2.763017819949086,-1.2815320527655636,-2.366118953945846,-2.1697523721360796,0.0
2018-09-25,1.0,-1.9917890597895223,-2.759801087082225,-1.2839134960101768,-2.3633630160749393,-2.1658378628426043,0.0
2018-09-26,1.0,-1.9953698344715824,-2.763977312188911,-1.2892695913878922,-2.3643940270864685,-2.1625188100474593,0.0
2018-09-27,1.0,-1.9964165992370824,-2.751473818055716,-1.290255461796324,-2.3618078834816782,-2.159287943590336,0.0
2018-09-28,1.0,-1.9941060903732812,-2.752224661966948,-1.2907662082514735,-2.3609152894949728,-2.158788859355137,0.0
2018-10-01,1.0,-1.9938756644326323,-2.7513288652646173,-1.291194823203143,-2.360411370464525,-2.1584238502426625,0.0
2018-10-02,1.0,-1.9952557278407776,-2.767183522332793,-1.2884748900717427,-2.3613746817866237,-2.159106688266605,0.0
2018-10-03,1.0,-1.9984931030485686,-2.7788338935898924,-1.2877014025733162,-2.3654804682972066,-2.161006143502956,0.0
2018-10-04,1.0,-2.0214552238805967,-2.781016791044776,-1.2946595149253732,-2.396105410447761,-2.1670942164179103,0.0
2018-10-05,1.0,-1.9957156090782768,-2.765632237146827,-1.2610004631773968,-2.393932376100046,-2.163154238073182,0.0
2018-10-08,1.0,-1.9862745098039216,-2.75363321799308,-1.2489042675893887,-2.390657439446367,-2.1544405997693197,0.0
2018-10-09,1.0,-1.9928331984741647,-2.7628019882094557,-1.2531499248641775,-2.3950988325049125,-2.155473355681424,0.0
2018-10-10,1.0,-1.9927201294199213,-2.7620753408828285,-1.252137739773515,-2.3950774208458516,-2.1533394961867343,0.0
2018-10-11,1.0,-1.8298832856199077,-2.6983043382514866,-1.0495485575864347,-2.3092931072451,-2.1238713939660867,0.0
2018-10-12,1.0,-1.953777676329605,-2.8241269116640035,-1.084113216160694,-2.3753709198813056,-2.175530700753253,0.0
2018-10-15,1.0,-1.9205215419501136,-2.849546485260771,-1.0382086167800453,-2.3626984126984127,-2.166780045351474,0.0
2018-10-16,1.0,-1.9191793244162318,-2.8526411244615733,-1.0342326003173883,-2.3628428927680796,-2.1664021763772388,0.0
2018-10-17,1.0,-1.8564159292035398,-2.736836283185841,-0.9702433628318584,-2.3341814159292036,-2.1643805309734514,0.0
2018-10-18,1.0,-1.8553723580834347,-2.734203828704216,-0.9725572645789531,-2.3378333517760317,-2.1656523182472056,0.0
2018-10-19,1.0,-1.8210698689956333,-2.700873362445415,-0.9315502183406114,-2.322052401746725,-2.1414847161572053,0.0
