Date,IWF,IWM,MTUM,OFG,SPY,VLUE,VXX
2018-09-24,-0.6298981529432073,-1.7431958110363082,-0.07094769549456241,1.0,-1.222970251452903,-1.087116635019276,0.0
2018-09-25,-0.6341179889566986,-1.7650101714617843,-0.06399302528334787,1.0,-1.2414414414414414,-1.1076431269979656,0.0
2018-09-26,-0.6339010637679474,-1.7650991106202407,-0.06318665349067024,1.0,-1.2419345463000642,-1.1088182293785969,0.0
2018-09-27,-0.6388082239516785,-1.751713323266349,-0.06702288302938784,1.0,-1.2420141712161692,-1.1083168776861425,0.0
2018-09-28,-0.6365431525148101,-1.753339528400511,-0.0681263793704263,1.0,-1.241549541177837,-1.1083168776861425,0.0
2018-10-01,-0.6378739471391229,-1.7520185884403137,-0.06837060702875399,1.0,-1.2422306128376417,-1.1083938425791462,0.0
2018-10-02,-0.6395782360480018,-1.7703017592916228,-0.06542001631131306,1.0,-1.2421064895724105,-1.1080624490271467,0.0
2018-10-03,-0.6388565440149045,-1.7564625058220775,-0.06375174662319516,1.0,-1.2466231951560318,-1.1163833255705635,0.0
2018-10-04,-0.6391284082964345,-1.7579235609415056,-0.06513633185737591,1.0,-1.2459799580517363,-1.1179794919599162,0.0
2018-10-05,-0.6142037884492846,-1.7477263511556507,-0.039043040027805134,1.0,-1.2589932224989862,-1.132827434397266,0.0
2018-10-08,-0.6093957407514284,-1.7399434408726266,-0.033820049633519936,1.0,-1.259306284988746,-1.128816298262827,0.0
2018-10-09,-0.6069984986719021,-1.7420025407090889,-0.02667744543249798,1.0,-1.2638872849058782,-1.1347730684836586,0.0
2018-10-10,-0.6086705535992611,-1.7401720256306645,-0.028517000519540495,1.0,-1.2649656526005888,-1.1302892108757143,0.0
2018-10-11,-0.467876247725142,-1.709976286328793,-0.0,1.0,-1.2086251585507086,-1.1283295648817075,0.0
2018-10-12,-0.45680812007342625,-1.6859410430839001,-0.0,1.0,-1.1704999460101502,-1.0857898715041574,0.0
2018-10-15,-0.4047155526714255,-1.7452952628163532,-0.0,1.0,-1.1655310404499242,-1.0921479558728098,0.0
2018-10-16,-0.4019353443615526,-1.7490539517785706,-0.0,1.0,-1.1641799113417668,-1.0908746891555843,0.0
2018-10-17,-0.3600861978345422,-1.6702407232208556,-0.0,1.0,-1.139388205613371,-1.086250394197414,0.0
2018-10-18,-0.3589231254600905,-1.6682616468608686,-0.0,1.0,-1.1434956357135346,-1.087496056367652,0.0
2018-10-19,-0.32862557765200684,-1.6479567994184536,-0.0,1.0,-1.1379614725582843,-1.0778337400695777,0.0
2018-10-22,-0.4096665504821657,-1.7604275589636342,-0.0,1.0,-1.3534913442546765,-1.2856976879284303,0.0
2018-10-23,-0.4201396973224679,-1.7649010477299183,-0.0,1.0,-1.3502910360884748,-1.2854481955762513,0.0
2018-10-24,-0.4158617479343652,-1.758582567205865,-0.0,1.0,-1.3533690212964038,-1.2908762946584427,0.0
2018-10-25,-0.3385579937304075,-1.6391684540504867,-0.0,1.0,-1.3205741626794258,-1.201396909200902,0.0
2018-10-26,-0.310391363022942,-1.602914979757085,-0.0,1.0,-1.3102834008097166,-1.1745209176788125,0.0
2018-10-29,-0.26559388622786717,-1.6292449276142296,-0.0,1.0,-1.2962165653086486,-1.1907862870674346,0.0
2018-10-30,-0.26262843617192966,-1.6286513529506699,-0.0,1.0,-1.2957125181558986,-1.1925870138253807,0.0
2018-10-31,-0.2746346946421881,-1.589626933575978,-0.0,1.0,-1.2997377294866992,-1.1885136220093133,0.0
2018-11-01,-0.2383300284045233,-1.624417171338228,-0.0,1.0,-1.3027493434803579,-1.1937938796291334,0.0
2018-11-02,-0.25161324729347767,-1.567063089968535,-0.0,1.0,-1.3264892539064583,-1.187883312889979,0.0
2018-11-05,-0.24450138799914586,-1.5913944052957505,-0.0,1.0,-1.330076873798847,-1.1724322015801838,0.0
2018-11-06,-0.2568203701722478,-1.6039370921151173,-0.0,1.0,-1.3254520166898471,-1.1629934738418743,0.0
2018-11-07,-0.2551827313528532,-1.6035477666167985,-0.0,1.0,-1.322611669160077,-1.161679846120966,0.0
2018-11-08,-0.19953461314717857,-1.6087577344121848,-0.0,1.0,-1.306362049817547,-1.1738325665027234,0.0
2018-11-09,-0.1987261146496815,-1.6148619957537154,-0.0,1.0,-1.3156050955414011,-1.1786624203821656,0.0
2018-11-12,-0.20185590101861234,-1.588981920964215,-0.0,1.0,-1.353474481360994,-1.1887366007146285,0.0
2018-11-13,-0.1517861840374599,-1.5789972115536381,-0.0,1.0,-1.3533961172199718,-1.1770400378807808,0.0
2018-11-14,-0.15635883905013193,-1.5815303430079157,-0.0,1.0,-1.3589445910290239,-1.180211081794195,0.0
2018-11-15,-0.15441448097524937,-1.5825637236793497,-0.0,1.0,-1.359860678663782,-1.180484458282759,0.0
2018-11-16,-0.15359528693914049,-1.5729314607332598,-0.0,1.0,-1.354268581347641,-1.179264636263216,0.0
2018-11-19,-0.1615011596036264,-1.5742146320893948,-0.0,1.0,-1.3541534893527305,-1.1811090027408813,0.0
2018-11-20,-0.09277435522606245,-1.5585778427482513,-0.0,1.0,-1.3589328599770285,-1.2105565417145243,0.0
2018-11-21,-0.08985402589364008,-1.543250631866715,-0.0,1.0,-1.345592407283231,-1.1793985660494146,0.0
2018-11-23,-0.09075916095449157,-1.5388857393186621,-0.0,1.0,-1.3454105035303818,-1.178735247126733,0.0
2018-11-26,-0.08951841359773371,-1.5439093484419266,-0.0,1.0,-1.3420036054596962,-1.175225341231007,0.0
2018-11-27,-0.06781240294026297,-1.5749559995858786,-0.0,1.0,-1.3522621389377785,-1.1814887669531007,0.0
