Date,GAMR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2955626179837033,-0.31785705751630866,-0.20953905708619086,-0.31123802241391674,-0.25534660326411623,0.0
2018-09-25,1.0,-0.2948126180852845,-0.31927869322937846,-0.2079018487073398,-0.3125104632530553,-0.2570970750723459,0.0
2018-09-26,1.0,-0.29750659314313116,-0.32349556461280266,-0.21203548309757853,-0.3128506353392472,-0.2516183169503716,0.0
2018-09-27,1.0,-0.2986773374227249,-0.3201945655820195,-0.21296784396415394,-0.31281449178128146,-0.25147361863229023,0.0
2018-09-28,1.0,-0.29728240030674846,-0.32151073619631904,-0.21319018404907975,-0.31281154141104295,-0.25165356595092025,0.0
2018-10-01,1.0,-0.2977423065861375,-0.32103825136612024,-0.2130907870769821,-0.3131291343111878,-0.2516776914965008,0.0
2018-10-02,1.0,-0.2987918883934992,-0.31164005944676154,-0.21633347715614362,-0.31571503907186343,-0.25459034469533537,0.0
2018-10-03,1.0,-0.29984863410297685,-0.31928593738737654,-0.21717402272891087,-0.31462482881237835,-0.2516998630499027,0.0
2018-10-04,1.0,-0.3019071867794004,-0.31569465795541884,-0.21742890084550345,-0.31747213681783243,-0.2494955803228286,0.0
2018-10-05,1.0,-0.30796498589307675,-0.32166196435891875,-0.22001977380694013,-0.31609153825749353,-0.24572572282910127,0.0
2018-10-08,1.0,-0.3073661897191309,-0.3203256732668497,-0.21893818952642483,-0.31695331695331697,-0.24526665703136288,0.0
2018-10-09,1.0,-0.30847629144178873,-0.3203546646106399,-0.2212798766383963,-0.3158249807247494,-0.24347050886661525,0.0
2018-10-10,1.0,-0.3082391498180591,-0.32079427428488805,-0.2208111429741909,-0.3158059618767622,-0.2441140323396872,0.0
2018-10-11,1.0,-0.29806823048008757,-0.3166246371984584,-0.2082599800161774,-0.3113669886282533,-0.24473045629728316,0.0
2018-10-12,1.0,-0.30256700641751605,-0.3115090600226501,-0.20930067950169876,-0.3024018497546244,-0.23360230275575689,0.0
2018-10-15,1.0,-0.31264814639233907,-0.29994311178534183,-0.21994405992225277,-0.3048023134540628,-0.23300464587086375,0.0
2018-10-16,1.0,-0.31515468078539377,-0.293478002801586,-0.22559889835941022,-0.3056815214036421,-0.23431230561029465,0.0
2018-10-17,1.0,-0.31368371212121215,-0.2893465909090909,-0.2245028409090909,-0.30513731060606064,-0.23475378787878787,0.0
2018-10-18,1.0,-0.31577449422479426,-0.29331404311837395,-0.22263596043924766,-0.3042478002039703,-0.2357991604012997,0.0
2018-10-19,1.0,-0.3155016924278647,-0.2914999881648401,-0.22188557767415437,-0.3039505763722868,-0.23419414396288493,0.0
2018-10-22,1.0,-0.3164023668639053,-0.2889940828402367,-0.21900591715976334,-0.3062485207100592,-0.23623668639053255,0.0
2018-10-23,1.0,-0.31855306455813076,-0.2888189200066286,-0.2235505788215241,-0.30233659241021754,-0.23413271466111124,0.0
2018-10-24,1.0,-0.31831106056297975,-0.29080181973272673,-0.2250971471898398,-0.3021514548384039,-0.23308217230594255,0.0
2018-10-25,1.0,-0.31314245482281156,-0.28073222248298524,-0.22539310021121803,-0.302088711570054,-0.22551044355785027,0.0
2018-10-26,1.0,-0.3080783325163971,-0.2769413906589175,-0.21809863921760847,-0.30740144247601714,-0.22360712368414912,0.0
2018-10-29,1.0,-0.30689815893731065,-0.27713819622465624,-0.2169657422512235,-0.3062456303891867,-0.22318806804940572,0.0
2018-10-30,1.0,-0.3181169757489301,-0.2783143518626786,-0.2228432450129791,-0.30626037744673884,-0.21302121091648935,0.0
2018-10-31,1.0,-0.3184631554361789,-0.27602475767838375,-0.22319280625948854,-0.30573397173887656,-0.21221534508933784,0.0
2018-11-01,1.0,-0.32736057038322625,-0.2678596557061776,-0.2311318542145504,-0.3063464515221165,-0.2126272339227919,0.0
