Date,CVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.31683201614259293,-0.8651420884479569,-0.0,-0.6049100386749622,-0.5761560450647385,0.0
2018-09-25,1.0,-0.31847519160952,-0.8641253193491999,-0.0,-0.6042086862982385,-0.5747949441979292,0.0
2018-09-26,1.0,-0.31693178754381235,-0.864687247236452,-0.0,-0.6066999191156647,-0.5818953895928822,0.0
2018-09-27,1.0,-0.3163099979747519,-0.8687639235806386,-0.0,-0.6075069195976507,-0.5828326469992573,0.0
2018-09-28,1.0,-0.3193510224776069,-0.868142639851276,-0.0,-0.6087882372824066,-0.5838431637654217,0.0
2018-10-01,1.0,-0.3209429750388961,-0.8671446932287087,-0.0,-0.6099912061151324,-0.5841507136575798,0.0
2018-10-02,1.0,-0.31980420150928,-0.8900333129376572,-0.0,-0.6078931266571487,-0.5815487116731254,0.0
2018-10-03,1.0,-0.31950531716100977,-0.8866238575748311,-0.0,-0.6084666870519485,-0.5829511092990861,0.0
2018-10-04,1.0,-0.31979747179556883,-0.886706537991029,-0.0,-0.608366181867609,-0.5832540437678402,0.0
2018-10-05,1.0,-0.3034228505716025,-0.8793546641412434,-0.0,-0.6112764662111886,-0.588209429750389,0.0
2018-10-08,1.0,-0.2998547836952484,-0.8755192327175711,-0.0,-0.6145689102022898,-0.5871804397014623,0.0
2018-10-09,1.0,-0.2966053031582503,-0.8755277824691775,-0.0,-0.6159432528289142,-0.5897314642796825,0.0
2018-10-10,1.0,-0.29822369309739294,-0.8746116439281373,-0.0,-0.6169796028637039,-0.5871943806564907,0.0
2018-10-11,1.0,-0.2101037467785634,-0.8799643163946343,-0.0,-0.6000462565254742,-0.613923214167713,0.0
2018-10-12,1.0,-0.22008756452983078,-0.8777690648892374,-0.0,-0.5795922368163106,-0.5898843364046266,0.0
2018-10-15,1.0,-0.17515093530401504,-0.940384678829468,-0.0,-0.5813071162284319,-0.6022895978357692,0.0
2018-10-16,1.0,-0.17236260473708515,-0.9448109784258097,-0.0,-0.580358910074553,-0.6013063271095863,0.0
2018-10-17,1.0,-0.15585679076404202,-0.9133480347645608,-0.0,-0.5718640550006485,-0.6018938902581398,0.0
2018-10-18,1.0,-0.15614962852415404,-0.914706550303345,-0.0,-0.5713590500600201,-0.6021153035071213,0.0
2018-10-19,1.0,-0.13617185738671134,-0.9044735740281492,-0.0,-0.5759283712840993,-0.6041096331604883,0.0
