Date,CHY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22599912165129554,-0.3563899868247694,-0.05612648221343873,-0.2961352657004831,-0.26124286341677644,0.0
2018-09-25,1.0,-0.2250093515523577,-0.3590335995775299,-0.053556890443813676,-0.2984575439522961,-0.2642858714546615,0.0
2018-09-26,1.0,-0.22942400495860452,-0.36647186434674817,-0.05881701863904016,-0.30043830521981674,-0.2585115331828043,0.0
2018-09-27,1.0,-0.23067053071698781,-0.36298475764882865,-0.059796916133884916,-0.30040041590159944,-0.2583678074464084,0.0
2018-09-28,1.0,-0.2312952267144659,-0.3626767576180044,-0.05988182964880834,-0.3005598707650092,-0.25851424019119695,0.0
2018-10-01,1.0,-0.2335491308974814,-0.3621186590989713,-0.0593295494856332,-0.3027004256828663,-0.25937832564739266,0.0
2018-10-02,1.0,-0.23449453400447923,-0.35385945850056544,-0.06233230591835377,-0.3048983302658714,-0.2618799476683593,0.0
2018-10-03,1.0,-0.31493003667979896,-0.5932889553049857,-0.06183942399130553,-0.4124983018611602,-0.33446542589322104,0.0
2018-10-04,1.0,-0.318234926500557,-0.5881585740292911,-0.06235904681683559,-0.41694970518707714,-0.33144037170882806,0.0
2018-10-05,1.0,-0.3119976183387913,-0.5846707624022301,-0.05515710844677799,-0.420119624347073,-0.3344880781617906,0.0
2018-10-08,1.0,-0.31285067628005314,-0.5866966633236658,-0.05553899113652997,-0.4201881115658797,-0.3352668527905023,0.0
2018-10-09,1.0,-0.32178096045043325,-0.5934348265777463,-0.06794763167245196,-0.41954792685926695,-0.3304725722251073,0.0
2018-10-10,1.0,-0.3252286293193144,-0.5929029078363727,-0.07086139860905756,-0.4225124582443459,-0.3265702864027162,0.0
2018-10-11,1.0,-0.30956095986226195,-0.5905789303777037,-0.04839664263424082,-0.41595824814376414,-0.32570214139675024,0.0
2018-10-12,1.0,-0.3148640740543704,-0.5859445656221738,-0.046257381497047396,-0.4033622386551045,-0.3095706761717295,0.0
2018-10-15,1.0,-0.3168680470538138,-0.5844466918613934,-0.047080427955501145,-0.40408261031564374,-0.30896364507372115,0.0
2018-10-16,1.0,-0.31568580478586067,-0.5893422768772125,-0.04344007027070191,-0.40432271287497673,-0.30897814687641406,0.0
2018-10-17,1.0,-0.30835833464919205,-0.5713984946576136,-0.037528290962682245,-0.4022580135796621,-0.31214800778988366,0.0
