Date,IPHI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8987620824147872,-1.3442993612571363,-0.3146232547623085,-1.0768752473008874,-1.0180317675654287,0.0
2018-09-25,1.0,-0.899061828868543,-1.3436758223126484,-0.31530462303605744,-1.0763535661806263,-1.017293997965412,0.0
2018-09-26,1.0,-0.898772138290047,-1.344536864143043,-0.31171844055904485,-1.0792168845130992,-1.0241611497764953,0.0
2018-09-27,1.0,-0.9044358945343441,-1.3324091886386782,-0.3157180038474595,-1.0806269095847005,-1.0247821658934027,0.0
2018-09-28,1.0,-0.9131644706951386,-1.3339391185824627,-0.3163334847796456,-1.086267605633803,-1.0295320308950477,0.0
2018-10-01,1.0,-0.9126677279963611,-1.3376165567432339,-0.3174323402319763,-1.0867637025244485,-1.0311576074596316,0.0
2018-10-02,1.0,-0.9132766588691732,-1.3650368003651507,-0.31163347977406286,-1.085924573515148,-1.0296685114394932,0.0
2018-10-03,1.0,-0.9140116478245975,-1.3694187507137148,-0.31254996003197444,-1.0854744775608085,-1.0282631038026722,0.0
2018-10-04,1.0,-0.9131032114030568,-1.378499055469689,-0.31335508615261315,-1.0847215066689564,-1.0346900223252617,0.0
2018-10-05,1.0,-0.8982210058159426,-1.3702816740791424,-0.2937621165469267,-1.0936822898848215,-1.045957349754818,0.0
2018-10-08,1.0,-0.9043358568479009,-1.3830006882312458,-0.2962261986694196,-1.0983597155310854,-1.053337921541638,0.0
2018-10-09,1.0,-0.9047837558793163,-1.383560858093381,-0.29631754043822417,-1.0983136400137663,-1.0529425260984284,0.0
2018-10-10,1.0,-0.9056192660550458,-1.3823394495412844,-0.2970756880733945,-1.098566513761468,-1.050401376146789,0.0
2018-10-11,1.0,-0.8436752184317436,-1.3750904335244032,-0.20373977405531749,-1.0778006566865157,-1.0648338805720965,0.0
2018-10-12,1.0,-0.8580620325560933,-1.3665310162780466,-0.19429168499780025,-1.0493840739111306,-1.0311262648482182,0.0
2018-10-15,1.0,-0.8412245569759149,-1.3939759697152576,-0.1677182202227465,-1.0487737971141713,-1.0347286991825315,0.0
2018-10-16,1.0,-0.8377190572982475,-1.4135582046915343,-0.15475471076196232,-1.0512003515903972,-1.0364225677086194,0.0
2018-10-17,1.0,-0.8153148288152068,-1.3631601684847174,-0.13300572416027648,-1.0443352413867588,-1.044389242898801,0.0
