Date,CRI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3872042233604625,-0.7665210696665934,-0.0822361185306225,-0.4732740470728718,-0.43314583791597266,0.0
2018-09-25,1.0,-0.38645944755552764,-0.7685773611023722,-0.08031837916063676,-0.4750833700371233,-0.43556911847983387,0.0
2018-09-26,1.0,-0.3875810411027884,-0.7700635739913136,-0.08252029961603827,-0.4747592371121042,-0.43233461320576566,0.0
2018-09-27,1.0,-0.40310570864888945,-0.761566855469993,-0.08792082988608159,-0.4871444027238593,-0.44237255775472545,0.0
2018-09-28,1.0,-0.4042593830579696,-0.7608951707891637,-0.08808455098207747,-0.487473339063445,-0.44268296565116344,0.0
2018-10-01,1.0,-0.4035737077217613,-0.7654435226547542,-0.08867262284620293,-0.4883854499042757,-0.44473516273133373,0.0
2018-10-02,1.0,-0.4062549915343578,-0.7475641312334281,-0.09532632655017091,-0.4943296169696195,-0.4511388684790596,0.0
2018-10-03,1.0,-0.40764698347636735,-0.7557960804406302,-0.09645190213910593,-0.49372358140130657,-0.4486358396311003,0.0
2018-10-04,1.0,-0.40631524846615913,-0.7631942436799333,-0.09639908772606084,-0.4924351932157656,-0.4538884070540619,0.0
2018-10-05,1.0,-0.4041304556970144,-0.7641663727030754,-0.09117147163518584,-0.49321745823044605,-0.4541897828945259,0.0
2018-10-08,1.0,-0.40284056298291177,-0.7621108653137123,-0.08579397903241319,-0.5000160302651405,-0.4552915905229072,0.0
2018-10-09,1.0,-0.40012857602057217,-0.7658309225329476,-0.07544198007071681,-0.5078431372549019,-0.46518804243008677,0.0
2018-10-10,1.0,-0.40087397982134826,-0.764860870124028,-0.07628044470149734,-0.5080971659919028,-0.46304864725917355,0.0
2018-10-11,1.0,-0.37001974859722264,-0.7629854863483904,-0.03313375756245886,-0.49757060907181594,-0.47095702329080597,0.0
2018-10-12,1.0,-0.3786395737826787,-0.7582393755420642,-0.03004584314211374,-0.4800520381613183,-0.4505327716515921,0.0
2018-10-15,1.0,-0.37601732941358507,-0.76305121460622,-0.02491103202846975,-0.47990097477951416,-0.450626643973387,0.0
2018-10-16,1.0,-0.3753635744786187,-0.7653938981372609,-0.023114054087505415,-0.4798873692679002,-0.4505229283990346,0.0
2018-10-17,1.0,-0.3639442291850993,-0.7376514018976721,-0.012630808188668883,-0.4784147420447265,-0.45827867101931236,0.0
