Date,CDE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9027497887278164,-1.913475914971072,-0.0,-1.429630111161672,-1.2548917636351817,0.0
2018-09-25,1.0,-0.9076793139293139,-1.9106029106029105,-0.0,-1.427689708939709,-1.2509095634095633,0.0
2018-09-26,1.0,-0.9170524942940986,-1.9231170524942942,-0.0,-1.4337137267688296,-1.2470818389305511,0.0
2018-09-27,1.0,-0.9187500000000001,-1.914453125,-0.0,-1.4319010416666669,-1.2453125,0.0
2018-09-28,1.0,-0.9344986939923648,-1.9897528631705848,-0.0,-1.480811733976291,-1.2924117607661911,0.0
2018-10-01,1.0,-0.9356787968309388,-1.9975829192963612,-0.0,-1.483953269773063,-1.29696522089432,0.0
2018-10-02,1.0,-0.9377894101067042,-1.9883900409368498,-0.0,-1.4856721025434534,-1.299174552043487,0.0
2018-10-03,1.0,-0.9495546944047861,-1.9784485689033924,-0.0,-1.5239649194370792,-1.346522537222109,0.0
2018-10-04,1.0,-0.9548974324140743,-1.967531585382421,-0.0,-1.5299551691346285,-1.3401711723950551,0.0
2018-10-05,1.0,-0.9151585249693835,-1.9579534630561979,-0.0,-1.5577629609470676,-1.3727037692203021,0.0
2018-10-08,1.0,-0.9069578190695782,-1.9473077444730775,-0.0,-1.5596772005967718,-1.3676251186762511,0.0
2018-10-09,1.0,-0.8991287775660223,-1.953852436700245,-0.0,-1.5707868227606863,-1.3826572284236318,0.0
2018-10-10,1.0,-0.9006776644534191,-1.96830720788555,-0.0,-1.5787528236018893,-1.3973577931412142,0.0
2018-10-11,1.0,-0.7224038713052576,-1.9218545644781584,-0.0,-1.5037928328537797,-1.3912503269683494,0.0
2018-10-12,1.0,-0.8173273395995095,-2.0332379784770467,-0.0,-1.5463152159106388,-1.4141806293420516,0.0
2018-10-15,1.0,-0.7562005996184246,-2.0994821477241756,-0.0,-1.538702643772145,-1.419460343417825,0.0
2018-10-16,1.0,-0.7453748115663972,-2.138344525147321,-0.0,-1.5439221597916952,-1.4244895162395506,0.0
2018-10-17,1.0,-0.6856783253842077,-2.022588765235824,-0.0,-1.5039083200847907,-1.412029676735559,0.0
2018-10-18,1.0,-0.6847761194029851,-2.0212935323383086,-0.0,-1.5118407960199005,-1.4155887230514097,0.0
2018-10-19,1.0,-0.6493107728490233,-1.9881753446135753,-0.0,-1.4982034363363166,-1.3972692232312012,0.0
2018-10-22,1.0,-0.6493209715330374,-1.973165317315226,-0.0,-1.5039174719247845,-1.4027161138678508,0.0
2018-10-23,1.0,-0.650065274151436,-1.9726501305483026,-0.0,-1.5027415143603133,-1.4018929503916449,0.0
2018-10-24,1.0,-0.6447788417692658,-1.966191127613836,-0.0,-1.501595987232102,-1.401732786137711,0.0
2018-10-25,1.0,-0.5554805035308567,-1.8245010746085355,-0.0,-1.4649063555419097,-1.295732268959165,0.0
2018-10-26,1.0,-0.5113560250867686,-1.8028983742312612,-0.0,-1.4911404737258724,-1.2836875114169155,0.0
2018-10-29,1.0,-0.4715398080521518,-1.8113116436289007,-0.0,-1.468883925876743,-1.284300114685821,0.0
2018-10-30,1.0,-0.4747267347062021,-1.8119451657708798,-0.0,-1.4694124041306844,-1.2828673229059728,0.0
2018-10-31,1.0,-0.4806062775987588,-1.7630385487528344,-0.0,-1.4579902136293112,-1.2657238333930063,0.0
2018-11-01,1.0,-0.43988287319230307,-1.8023186327237959,-0.0,-1.4616947531970839,-1.2719612764431698,0.0
2018-11-02,1.0,-0.4440177252584933,-1.7507237813884786,-0.0,-1.4597932053175775,-1.253884785819793,0.0
2018-11-05,1.0,-0.43462643678160917,-1.8249521072796935,-0.0,-1.488505747126437,-1.23856561302682,0.0
2018-11-06,1.0,-0.4350038919825161,-1.8243817735464944,-0.0,-1.488833004011736,-1.2394467397161846,0.0
2018-11-07,1.0,-0.44134995439343266,-1.8586196412283367,-0.0,-1.5140164183642444,-1.2668896321070233,0.0
2018-11-08,1.0,-0.37029377775074507,-1.8908825497232529,-0.0,-1.5147497110881334,-1.3064290493278998,0.0
2018-11-09,1.0,-0.3694695673429479,-1.9000244439012464,-0.0,-1.527621608408702,-1.3138596920068442,0.0
2018-11-12,1.0,-0.3690657565969894,-1.8910963495642632,-0.0,-1.5247120482661953,-1.3093424340301054,0.0
2018-11-13,1.0,-0.33720580268464456,-1.8773851802805033,-0.0,-1.5133931258652862,-1.2914584963582736,0.0
2018-11-14,1.0,-0.33729460983447523,-1.8936518523009762,-0.0,-1.526768932274298,-1.3055235554477658,0.0
2018-11-15,1.0,-0.3400549954170486,-1.9178124045218456,-0.0,-1.5578368469294226,-1.2949587534372136,0.0
2018-11-16,1.0,-0.3370034673641949,-1.9027921406411583,-0.0,-1.5496684713182065,-1.2935701685017336,0.0
2018-11-19,1.0,-0.3349159970781592,-1.9049184319454588,-0.0,-1.5521670318967615,-1.2951059167275383,0.0
2018-11-20,1.0,-0.24867213906325447,-1.8889425398358282,-0.0,-1.5618058908739738,-1.3363109608884598,0.0
2018-11-21,1.0,-0.24745762711864408,-1.8670234909307166,-0.0,-1.5421944692239073,-1.2903360095153138,0.0
2018-11-23,1.0,-0.24870342771982115,-1.876602086438152,-0.0,-1.5428912071535021,-1.2930551415797316,0.0
