Date,ITRI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4136292676304894,-0.8512862281952082,-0.10982148917396321,-0.5504310052263627,-0.46857394963686966,0.0
2018-09-25,1.0,-0.4138984086050694,-0.8508024837976316,-0.11041362695531198,-0.5500322350785517,-0.4680194089104543,0.0
2018-09-26,1.0,-0.41412350393835035,-0.8538548095611554,-0.10406792375626556,-0.5564496880008184,-0.4813311965083371,0.0
2018-09-27,1.0,-0.4133146509005161,-0.8604285567820649,-0.10283312258637778,-0.5580123714158779,-0.48296367178155225,0.0
2018-09-28,1.0,-0.4230425209852759,-0.8623228292280171,-0.10200220173386541,-0.5644351176551534,-0.48837209302325585,0.0
2018-10-01,1.0,-0.4237597192596161,-0.8614188398816487,-0.1020092203949632,-0.5648524048716714,-0.4884056973783803,0.0
2018-10-02,1.0,-0.42492721475114376,-0.8959864134202136,-0.09337307638985165,-0.5646402329127963,-0.4870372937751283,0.0
2018-10-03,1.0,-0.424789493745452,-0.8941751273432897,-0.0933850791780727,-0.5649190893655359,-0.48782009078623645,0.0
2018-10-04,1.0,-0.42894764198343666,-0.8875567413978307,-0.09414740635503656,-0.5705325894868152,-0.48397380366610065,0.0
2018-10-05,1.0,-0.423433073042637,-0.8867044433694977,-0.08620689655172413,-0.5729735332734435,-0.48583373643839406,0.0
2018-10-08,1.0,-0.42234567475242396,-0.8850626272385356,-0.08443462958490044,-0.5737207135709602,-0.4849729132880163,0.0
2018-10-09,1.0,-0.4217299796432392,-0.8853810854638927,-0.08266915088155126,-0.5745091950453715,-0.4860090397819412,0.0
2018-10-10,1.0,-0.42148674765323024,-0.8863197128658199,-0.08182633903920485,-0.5746824958586416,-0.4868166758696852,0.0
2018-10-11,1.0,-0.4045853459419008,-0.8867610041499421,-0.05670453772365467,-0.5678277433839036,-0.4857133138308728,0.0
2018-10-12,1.0,-0.4103694233227912,-0.8830159477827872,-0.052553663952627686,-0.5523517932844358,-0.4662539533005855,0.0
2018-10-15,1.0,-0.398992443324937,-0.902703610411419,-0.03560033585222502,-0.552544080604534,-0.4686481947942905,0.0
2018-10-16,1.0,-0.3976288036541949,-0.9080741586619198,-0.03157116947672466,-0.5527641566467387,-0.4685967622758111,0.0
2018-10-17,1.0,-0.3904175677923807,-0.8910663783064382,-0.026418233239061718,-0.5494260522375645,-0.46990517384794545,0.0
2018-10-18,1.0,-0.39062292027152934,-0.8916211899374418,-0.026054838280314123,-0.5493145214960735,-0.4699853587115666,0.0
2018-10-19,1.0,-0.3855860629947339,-0.8895770542841056,-0.01841486437253668,-0.5504255953366675,-0.4680223892955321,0.0
2018-10-22,1.0,-0.3851761041714986,-0.8909247539842947,-0.02097346012391902,-0.549054040621583,-0.46718133925317246,0.0
2018-10-23,1.0,-0.3877916224814422,-0.8906084305408272,-0.026577412513255568,-0.5443067338282079,-0.4645744962884412,0.0
2018-10-24,1.0,-0.38748715228274927,-0.8935380126653626,-0.025629123702795,-0.5448095222306952,-0.46407612479692323,0.0
2018-10-25,1.0,-0.36681562074995144,-0.8636746324719903,-0.022116443235541742,-0.5453662327569457,-0.4401593161064698,0.0
2018-10-26,1.0,-0.36415569326103797,-0.8590885618383682,-0.02081719597211464,-0.545442809191841,-0.43796798347534205,0.0
2018-10-29,1.0,-0.3489958805355304,-0.8755471163748714,-0.005278063851699279,-0.5402613285272915,-0.4482170442842431,0.0
