Date,ASMB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2527749747729566,-2.442986881937437,-0.2565590312815338,-1.77581567440296,-1.6807938109653549,0.0
2018-09-25,1.0,-1.272765741367637,-2.4524373730534865,-0.27428909952606634,-1.7828368314150302,-1.6807718348002707,0.0
2018-09-26,1.0,-1.2730971351076454,-2.4549076114595696,-0.2701305305984065,-1.7875911171384982,-1.6902017291066282,0.0
2018-09-27,1.0,-1.2733124417718304,-2.450071991191666,-0.271279749301262,-1.7860591174726859,-1.688828660963835,0.0
2018-09-28,1.0,-1.292982755676968,-2.463377155540379,-0.2720676114051563,-1.8039098514597918,-1.704456206248933,0.0
2018-10-01,1.0,-1.2937259923175415,-2.461630388390952,-0.27264191207853183,-1.8040119504908236,-1.7041399914639352,0.0
2018-10-02,1.0,-1.293846547751131,-2.4589912093539303,-0.27489971835794147,-1.8032772894085518,-1.7037637620551336,0.0
2018-10-03,1.0,-1.2921568627450981,-2.447229326513214,-0.27408354646206307,-1.8042625745950553,-1.7075021312872976,0.0
2018-10-04,1.0,-1.3880610332827696,-2.5206567323993934,-0.29374498081556166,-1.9453020433657535,-1.7752297671098418,0.0
2018-10-05,1.0,-1.4169154228855723,-2.5713251922207148,-0.2946178199909543,-1.9704206241519675,-1.7924920850293986,0.0
2018-10-08,1.0,-1.4113986833799261,-2.5630805302552075,-0.28794300658310035,-1.9685273694652359,-1.786996122283344,0.0
2018-10-09,1.0,-1.4129003157419937,-2.5647271087054575,-0.28930987821380244,-1.9684258006314839,-1.7857465042850698,0.0
2018-10-10,1.0,-1.4130120916802023,-2.566774950369969,-0.28749323226854356,-1.9695000902364195,-1.7868615773326115,0.0
2018-10-11,1.0,-1.2777339296676313,-2.5952819433482412,-0.07059545733578883,-1.9620275366131719,-1.8639831623257035,0.0
2018-10-12,1.0,-1.2834564507816526,-2.562961690431197,-0.04835938842123346,-1.901305617591479,-1.793506270400275,0.0
2018-10-15,1.0,-1.2486523487635834,-2.6120475742277742,-0.0,-1.89809189697955,-1.797638401642851,0.0
2018-10-16,1.0,-1.2407597535934292,-2.624486652977413,-0.0,-1.895362765229295,-1.7950889801505818,0.0
2018-10-17,1.0,-1.1750539777445606,-2.5051486464042516,-0.0,-1.8489453579139676,-1.7751204118917123,0.0
2018-10-18,1.0,-1.1742776486217203,-2.5040684158087014,-0.0,-1.8496346728661572,-1.7749086682165391,0.0
2018-10-19,1.0,-1.1297483966452886,-2.4721262950172664,-0.0,-1.8509291234994243,-1.7696102614701528,0.0
2018-10-22,1.0,-1.135070503834419,-2.4877545971798467,-0.0,-1.8519831780324896,-1.7712542261070339,0.0
2018-10-23,1.0,-1.1384767556874382,-2.4869765908341575,-0.0,-1.8483349818661392,-1.7689581272667325,0.0
2018-10-24,1.0,-1.1335802469135803,-2.4789300411522635,-0.0,-1.8476543209876544,-1.7702880658436215,0.0
2018-10-25,1.0,-1.0298577458183522,-2.325308738471158,-0.0,-1.8075660465843364,-1.6533531342816945,0.0
2018-10-26,1.0,-0.9786034296307741,-2.291364127915959,-0.0,-1.8233431175652712,-1.63100571605129,0.0
2018-10-29,1.0,-0.9180302199953025,-2.3801769357237923,-0.0,-1.8332419948328504,-1.697565176544273,0.0
2018-10-30,1.0,-0.9060470937964484,-2.3789407807243994,-0.0,-1.832355472111398,-1.7055464288508175,0.0
2018-10-31,1.0,-0.9084512487435243,-2.324132065259414,-0.0,-1.8162066032629707,-1.6833681280445372,0.0
2018-11-01,1.0,-0.8870296113510179,-2.3345157310302285,-0.0,-1.8104565083281925,-1.6792103639728564,0.0
2018-11-02,1.0,-0.8911284165521454,-2.2712627882119403,-0.0,-1.81310123683005,-1.659260955871125,0.0
2018-11-05,1.0,-0.8799323128990079,-2.3393585108837787,-0.0,-1.8343973540496887,-1.6380278440119993,0.0
2018-11-06,1.0,-0.922241325414192,-2.4030947170990937,-0.0,-1.8511253516723978,-1.638402625820569,0.0
2018-11-07,1.0,-0.9249095769775123,-2.422314829375688,-0.0,-1.8625570058185252,-1.6530901085076273,0.0
2018-11-08,1.0,-0.863118754357425,-2.409946548919358,-0.0,-1.827329769927957,-1.6460608877527305,0.0
2018-11-09,1.0,-0.8820735732109797,-2.5052724784673592,-0.0,-1.9323834822506643,-1.7298559124205104,0.0
2018-11-12,1.0,-0.8772760086628699,-2.49233977701131,-0.0,-1.9292532285233015,-1.722226678431058,0.0
2018-11-13,1.0,-0.8105062688462149,-2.484208855737185,-0.0,-1.9316775115061102,-1.708855737184574,0.0
2018-11-14,1.0,-0.810491230854694,-2.4844853583048963,-0.0,-1.931830807078803,-1.7090707086739145,0.0
2018-11-15,1.0,-0.8089424449024893,-2.4890597748533376,-0.0,-1.9404629776438875,-1.68931346123355,0.0
2018-11-16,1.0,-0.8133301519128291,-2.499801161218484,-0.0,-1.9475860971923964,-1.6929133858267715,0.0
2018-11-19,1.0,-0.8130120098624035,-2.500039767756303,-0.0,-1.9476656327050026,-1.6929133858267715,0.0
2018-11-20,1.0,-0.6993588221325101,-2.4868993904852372,-0.0,-1.9693659463310378,-1.760072825140505,0.0
2018-11-21,1.0,-0.718047476811822,-2.4804276057223706,-0.0,-1.9720955824555888,-1.6898286432950795,0.0
2018-11-23,1.0,-0.718151866959523,-2.4633668026357074,-0.0,-1.97458424850957,-1.688264825855036,0.0
2018-11-26,1.0,-0.716337099811676,-2.47661644695543,-0.0,-1.9703389830508473,-1.6835373509102323,0.0
2018-11-27,1.0,-0.6893393863494051,-2.496712586098935,-0.0,-1.9650125234815277,-1.6761114589855979,0.0
2018-11-28,1.0,-0.6920306873336466,-2.4897447941130424,-0.0,-1.968216690151871,-1.6784092688273056,0.0
2018-11-29,1.0,-0.6240878715723174,-2.4448114294492664,-0.0,-1.9416237806283125,-1.6705584146247792,0.0
2018-11-30,1.0,-0.6228488014751076,-2.4460663798401967,-0.0,-1.9424554394591274,-1.671481253841426,0.0
2018-12-03,1.0,-0.6176877015200369,-2.447182557961001,-0.0,-1.9418086903116845,-1.670274834945494,0.0
2018-12-04,1.0,-0.5950647559199939,-2.463100620737221,-0.0,-1.936010422254579,-1.6692466855697756,0.0
2018-12-06,1.0,-0.5690767519466073,-2.307452725250278,-0.0,-1.9420096403411198,-1.5970337411939193,0.0
2018-12-07,1.0,-0.5784044526901669,-2.3082745825602964,-0.0,-1.9436734693877549,-1.5907977736549164,0.0
