Date,AMCR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.30486198036761314,-0.7283747282429672,-0.0,-0.6487252124645893,-0.6120956584755254,0.0
2018-09-25,1.0,-0.30801396022652444,-0.7269524562096668,-0.0,-0.6477018306334782,-0.6098380086922165,0.0
2018-09-26,1.0,-0.30870538654023444,-0.7276109574608192,-0.0,-0.6477018306334782,-0.6084880811273542,0.0
2018-09-27,1.0,-0.3200463499420626,-0.720476742261215,-0.0,-0.6555206091706671,-0.6146664459526568,0.0
2018-09-28,1.0,-0.32082657217604393,-0.720303341391529,-0.0,-0.6556611583932178,-0.6147961718051462,0.0
2018-10-01,1.0,-0.32115773090042055,-0.7199390667947148,-0.0,-0.6556942742656555,-0.6147630559327085,0.0
2018-10-02,1.0,-0.3217431617987946,-0.7188886681237168,-0.0,-0.6558381349758262,-0.6150076163984369,0.0
2018-10-03,1.0,-0.3208920653828337,-0.7111706703725763,-0.0,-0.6577658659254848,-0.6190192574945405,0.0
2018-10-04,1.0,-0.34646176809824275,-0.7205712734920958,-0.0,-0.6977067643666464,-0.627654522016419,0.0
2018-10-05,1.0,-0.3259036957108174,-0.7076139735635285,-0.0,-0.703061775020232,-0.6354194766657675,0.0
2018-10-08,1.0,-0.324456265571342,-0.7055080465961887,-0.0,-0.7026126186788768,-0.6342333849572419,0.0
2018-10-09,1.0,-0.32253829321663025,-0.7052684733209897,-0.0,-0.7032149469786232,-0.6353812489479885,0.0
2018-10-10,1.0,-0.32404603270745,-0.7039841173699442,-0.0,-0.7041523655696884,-0.6327478295982233,0.0
2018-10-11,1.0,-0.25157353885677586,-0.6685934489402697,-0.0,-0.6665703275529865,-0.6245343609505458,0.0
2018-10-12,1.0,-0.2600707159994949,-0.6564591488824347,-0.0,-0.6433261775476702,-0.597139790377573,0.0
2018-10-15,1.0,-0.23651178154591498,-0.6751502186428414,-0.0,-0.6379022870984994,-0.596407336332463,0.0
2018-10-16,1.0,-0.22988106880343231,-0.6904318748225496,-0.0,-0.6380327455124768,-0.5963595066090414,0.0
2018-10-17,1.0,-0.20507679970390474,-0.6429893282339152,-0.0,-0.6311763617296897,-0.6050521251002406,0.0
2018-10-18,1.0,-0.20442840842507787,-0.64177999814969,-0.0,-0.6324667715175625,-0.6051747000955994,0.0
2018-10-19,1.0,-0.18553555080866646,-0.6256026853829723,-0.0,-0.6355202929508698,-0.6049130302105584,0.0
2018-10-22,1.0,-0.1914360022292402,-0.6553966189856958,-0.0,-0.6398228992507277,-0.6095423865254814,0.0
2018-10-23,1.0,-0.1941495124593716,-0.6554093793530413,-0.0,-0.6376102770468968,-0.6083268843832224,0.0
