Date,DY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8197776111944028,-1.7954772613693153,-0.2406921539230385,-1.2227636181909045,-1.1681659170414793,0.0
2018-09-25,1.0,-0.820668123634093,-1.793693412425851,-0.24258507649078992,-1.2212300967842649,-1.1659694036840464,0.0
2018-09-26,1.0,-0.8215200149878225,-1.7947292824580028,-0.24442640354711798,-1.2208205832760881,-1.1633048148379441,0.0
2018-09-27,1.0,-0.8286160574820368,-1.782068103717588,-0.2492346141830678,-1.2233052171196501,-1.1648234926585443,0.0
2018-09-28,1.0,-0.8285018118205673,-1.7815194302136699,-0.24996876171435709,-1.223041359490191,-1.1646882419092839,0.0
2018-10-01,1.0,-0.8283964504436946,-1.782089738782652,-0.2507811523559555,-1.222909636295463,-1.1650418697662792,0.0
2018-10-02,1.0,-0.8296458790347853,-1.8044500156690693,-0.2466311501096835,-1.2226261360075212,-1.1642745220933877,0.0
2018-10-03,1.0,-0.832411365350767,-1.788659793814433,-0.24465677646467188,-1.2365476489816445,-1.1838697510686447,0.0
2018-10-04,1.0,-0.8337311557788943,-1.7834798994974874,-0.24566582914572863,-1.2375628140703516,-1.180967336683417,0.0
2018-10-05,1.0,-0.8133166614567052,-1.7763050953422943,-0.22163175992497655,-1.247389809315411,-1.193372929040325,0.0
2018-10-08,1.0,-0.8103319191415023,-1.7729598203144494,-0.21755677564262538,-1.2471300224606938,-1.1911030696281506,0.0
2018-10-09,1.0,-0.8078728330934353,-1.7797734526566118,-0.20458101257900996,-1.2594029663933914,-1.2065836410288504,0.0
2018-10-10,1.0,-0.8075767063243582,-1.78240450845335,-0.2026299311208516,-1.2604257983719473,-1.208703819661866,0.0
2018-10-11,1.0,-0.7197778984851229,-1.7793469732633231,-0.08250347033616995,-1.2326634075683505,-1.2210755024443236,0.0
2018-10-12,1.0,-0.7317276737808514,-1.7756051031358053,-0.06849886729462264,-1.2020984857517587,-1.183677119351377,0.0
2018-10-15,1.0,-0.7073199738359993,-1.8155437949693762,-0.03187250996015937,-1.2021169055122793,-1.189570077897366,0.0
2018-10-16,1.0,-0.7047056013376329,-1.8483219873402605,-0.013555475934551534,-1.209243998566822,-1.1958079541383018,0.0
2018-10-17,1.0,-0.6693175837670312,-1.784632477632887,-0.0,-1.1946085024267588,-1.1990526869773699,0.0
2018-10-18,1.0,-0.6692595625219324,-1.7858229032635398,-0.0,-1.194350216399579,-1.1992045853316178,0.0
2018-10-19,1.0,-0.6427743655116467,-1.7718739135473403,-0.0,-1.1885502375709815,-1.1911577239541082,0.0
2018-10-22,1.0,-0.6428860964734494,-1.7643754704962649,-0.0,-1.1905147952979327,-1.1929468990676935,0.0
2018-10-23,1.0,-0.6435064559087488,-1.7643448555381853,-0.0,-1.1897400266342424,-1.192403450871403,0.0
