Date,IWF,IWM,MRVL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5564645004185373,-0.738452172589605,1.0,-0.28882885625142685,-0.6289095198234533,-0.5922684727189711,0.0
2018-09-25,-0.5586154431342715,-0.7364397109166984,1.0,-0.2923164701407379,-0.6270825408900722,-0.5892354507417268,0.0
2018-09-26,-0.5581466239902454,-0.7370827617741198,1.0,-0.28840877914951984,-0.6300487730528882,-0.5967078189300411,0.0
2018-09-27,-0.5596801827527127,-0.7318865410241767,1.0,-0.2898153436131734,-0.6297353893013516,-0.5962307252998287,0.0
2018-09-28,-0.5619356067822442,-0.7311487902457611,1.0,-0.2897694799009335,-0.6305582015622023,-0.596837492855782,0.0
2018-10-01,-0.5625072012904713,-0.7465145754119138,1.0,-0.2907401006260322,-0.6362100088335829,-0.6047163651726389,0.0
2018-10-02,-0.563128791951463,-0.7390369403271638,1.0,-0.29348744336072496,-0.6377390369403272,-0.6065202365409723,0.0
2018-10-03,-0.5629825976720065,-0.72728669663094,1.0,-0.29146018209058433,-0.6437708885559525,-0.616034727824517,0.0
2018-10-04,-0.5633137458232516,-0.7261589276798402,1.0,-0.29177708645389255,-0.644083419748819,-0.615355071628836,0.0
2018-10-05,-0.554062846863398,-0.7193707658743829,1.0,-0.28173919699927275,-0.6497493014888812,-0.6225360737933937,0.0
2018-10-08,-0.5566737084693681,-0.7250240061455733,1.0,-0.28323410793163045,-0.6505857499519877,-0.6254273093912041,0.0
2018-10-09,-0.5582324687800192,-0.7253794428434198,1.0,-0.2861863592699328,-0.6493371757925073,-0.62328530259366,0.0
2018-10-10,-0.5608040587285725,-0.7237681605042663,1.0,-0.2888384964255515,-0.6510108386501652,-0.6190714120993158,0.0
2018-10-11,-0.533350909570261,-0.7155286053255998,1.0,-0.25253286128582725,-0.6400888855410342,-0.624872886143648,0.0
2018-10-12,-0.5643273753527752,-0.723236124176858,1.0,-0.2507619943555974,-0.62310442144873,-0.6014675446848543,0.0
2018-10-15,-0.5534480168269231,-0.7410982572115385,1.0,-0.23452524038461542,-0.6229341947115385,-0.6040039062500001,0.0
2018-10-16,-0.5505022006545537,-0.7577022909378174,1.0,-0.22315013354399427,-0.6251363653462739,-0.6053116653500357,0.0
2018-10-17,-0.540397843465328,-0.7326640639524075,1.0,-0.21550474065811487,-0.6210819854991634,-0.6085145937906674,0.0
2018-10-18,-0.5390308304511139,-0.7304845847744431,1.0,-0.21678009595001674,-0.6237494886384767,-0.6089850868384841,0.0
2018-10-19,-0.5389103612308608,-0.7315668202764978,1.0,-0.2117957484762896,-0.6248699271592092,-0.6092240225955107,0.0
2018-10-22,-0.5382241392132073,-0.7341414441882947,1.0,-0.21488064252249572,-0.6231501450137577,-0.6079051089462333,0.0
2018-10-23,-0.5424668750930475,-0.7346285544141731,1.0,-0.2230162274825071,-0.6169793062379039,-0.6047714753610243,0.0
2018-10-24,-0.5424088842513229,-0.7384661250652157,1.0,-0.22341059849444733,-0.6176865171051651,-0.6046433628978162,0.0
2018-10-25,-0.5214160839160839,-0.7033799533799534,1.0,-0.22126311188811187,-0.6162951631701631,-0.5798368298368298,0.0
2018-10-26,-0.5100220304091878,-0.6942106973888548,1.0,-0.20513561342049189,-0.6271443533533171,-0.5749936798006428,0.0
2018-10-29,-0.5263080917035358,-0.6982339390836959,1.0,-0.20732019452265166,-0.6463490438407254,-0.5782295513547113,0.0
