Date,APLE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1654802706740487,-0.43742859653748134,-0.0,-0.302047631602074,-0.29209508744177876,0.0
2018-09-25,1.0,-0.16491197221794843,-0.437897004198079,-0.0,-0.3024155438820142,-0.2927225970943139,0.0
2018-09-26,1.0,-0.16602545782311431,-0.43900455075076394,-0.0,-0.30248202783212785,-0.2909182843449777,0.0
2018-09-27,1.0,-0.1658530149096187,-0.4396578264502793,-0.0,-0.30254651009367994,-0.2910014513788099,0.0
2018-09-28,1.0,-0.16785557023337738,-0.43901365037428447,-0.0,-0.303258476442096,-0.2915455746367239,0.0
2018-10-01,1.0,-0.1674348852083012,-0.44174403987385047,-0.0,-0.30361908122532694,-0.292636129060715,0.0
2018-10-02,1.0,-0.16735063101226724,-0.4435398464389727,-0.0,-0.30321683876092137,-0.29222928249933816,0.0
2018-10-03,1.0,-0.16711881603034914,-0.4409448818897637,-0.0,-0.3039105405941904,-0.2936324135953594,0.0
2018-10-04,1.0,-0.16679909945702556,-0.44236966406215505,-0.0,-0.30338145058049704,-0.29466295854853664,0.0
2018-10-05,1.0,-0.16963554690093163,-0.4478325330264876,-0.0,-0.302693014095727,-0.29266889424885484,0.0
2018-10-08,1.0,-0.16787434277382582,-0.44567666681394424,-0.0,-0.30378208810144475,-0.29185260460389695,0.0
2018-10-09,1.0,-0.16052017339113037,-0.4491497165721907,-0.0,-0.311081471601645,-0.302211848393909,0.0
2018-10-10,1.0,-0.15928573018947745,-0.45116113374746736,-0.0,-0.3111793912675617,-0.3048783203081513,0.0
2018-10-11,1.0,-0.12517932443594312,-0.444311611528931,-0.0,-0.2973742555318871,-0.3067860713819936,0.0
2018-10-12,1.0,-0.12154456561802138,-0.44500574550658023,-0.0,-0.2960995598725148,-0.30546581965613684,0.0
2018-10-15,1.0,-0.10953215235870481,-0.4551078234161746,-0.0,-0.29316721822075137,-0.3051500010814786,0.0
2018-10-16,1.0,-0.1092269758186616,-0.45561707834061516,-0.0,-0.29305273175585067,-0.30503525543971965,0.0
2018-10-17,1.0,-0.09995510038271578,-0.4385623570160997,-0.0,-0.2907998546107631,-0.3087597015244489,0.0
2018-10-18,1.0,-0.09945908964573578,-0.4376028905565177,-0.0,-0.29200607187907557,-0.30893891775169435,0.0
2018-10-19,1.0,-0.09306627543535116,-0.4338840339350641,-0.0,-0.2914460674874019,-0.30786077268184814,0.0
