Date,IWF,IWM,MTUM,SPY,VIVO,VLUE,VXX
2018-09-24,-0.30405051504393876,-0.855700401559681,-0.0,-0.41244253040796136,1.0,-0.33768841296630386,0.0
2018-09-25,-0.3077281191806332,-0.8546031191806333,-0.0,-0.4117783985102421,1.0,-0.33560288640595903,0.0
2018-09-26,-0.3059825569524254,-0.8547385001312604,-0.0,-0.4138785987223988,1.0,-0.34226876294373304,0.0
2018-09-27,-0.30726403544569464,-0.8516294525738938,-0.0,-0.4138634641170641,1.0,-0.3421850405176937,0.0
2018-09-28,-0.3066721077331157,-0.8519544116361092,-0.0,-0.4138805491590638,1.0,-0.3423499577345731,0.0
2018-10-01,-0.30705998950620883,-0.8513962572144815,-0.0,-0.41409665947647645,1.0,-0.3423890864571795,0.0
2018-10-02,-0.30753534470193844,-0.85002186270223,-0.0,-0.41451683428071706,1.0,-0.3429529223145314,0.0
2018-10-03,-0.30712974563678214,-0.8459543719588589,-0.0,-0.415518195856764,1.0,-0.3450657032137758,0.0
2018-10-04,-0.3067704688593422,-0.8475040821087007,-0.0,-0.41500466526708657,1.0,-0.3465127128528108,0.0
2018-10-05,-0.2966867032552197,-0.8444986497081628,-0.0,-0.4152800766617301,1.0,-0.3473589453204402,0.0
2018-10-08,-0.2943972638474247,-0.8418596562418481,-0.0,-0.4162198197153706,1.0,-0.3459899713051796,0.0
2018-10-09,-0.29172705664096465,-0.8418748912980463,-0.0,-0.4172125920343208,1.0,-0.3479042263319613,0.0
2018-10-10,-0.2911241917244179,-0.8427523414620002,-0.0,-0.4171136950155131,1.0,-0.348653115666773,0.0
2018-10-11,-0.2096639502404469,-0.8678261871166527,-0.0,-0.41256083162956775,1.0,-0.38958159357272437,0.0
2018-10-12,-0.21184898794632703,-0.8647657493745736,-0.0,-0.395695929042529,1.0,-0.3705367295883557,0.0
2018-10-15,-0.1966543804933371,-0.877998298837539,-0.0,-0.3914091295718741,1.0,-0.369208959455628,0.0
2018-10-16,-0.18553774693924363,-0.9123491125956933,-0.0,-0.3961063164836425,1.0,-0.3732259081916449,0.0
2018-10-17,-0.17249371131398208,-0.8879907294875781,-0.0,-0.3905485995308216,1.0,-0.3753709618156638,0.0
2018-10-18,-0.17163778236408356,-0.8865172033586837,-0.0,-0.3930338412824065,1.0,-0.37595770546492885,0.0
2018-10-19,-0.15589737831920505,-0.8793577724134058,-0.0,-0.3958345028911469,1.0,-0.3758490989726604,0.0
2018-10-22,-0.15586055911081173,-0.8717300999214103,-0.0,-0.3997417761311328,1.0,-0.37944874817559227,0.0
2018-10-23,-0.15810298863476918,-0.8717552967588045,-0.0,-0.39789532762733265,1.0,-0.3784762172021888,0.0
2018-10-24,-0.15658762452644873,-0.8683036340676301,-0.0,-0.3994948786305598,1.0,-0.38184369299845655,0.0
2018-10-25,-0.12329927326375609,-0.8336702912409159,-0.0,-0.41765477296322606,1.0,-0.3574668050926179,0.0
2018-10-26,-0.10847448455002975,-0.8227717950105525,-0.0,-0.4236971697602684,1.0,-0.3508036149142269,0.0
2018-10-29,-0.08955022892539725,-0.8333153784002154,-0.0,-0.414974414220307,1.0,-0.3553999461352006,0.0
2018-10-30,-0.07462042555486638,-0.8352795232059546,-0.0,-0.4174105336965023,1.0,-0.3694884172487258,0.0
2018-10-31,-0.07612837438952397,-0.8261417914452852,-0.0,-0.41496270058498363,1.0,-0.36617828583695594,0.0
2018-11-01,-0.06102040269176117,-0.8382798466446822,-0.0,-0.4148636692672726,1.0,-0.36689991688785223,0.0
2018-11-02,-0.06544223489897105,-0.8164152049901371,-0.0,-0.4209628405395319,1.0,-0.3628512022178387,0.0
