Date,GOLD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39870188339461243,-0.9311172807083365,-0.0,-0.759510767614617,-0.6624146469573047,0.0
2018-09-25,1.0,-0.44851007027600015,-0.984178084880845,-0.0,-0.8020493895017864,-0.6912959836677005,0.0
2018-09-26,1.0,-0.4538761368557817,-0.9911413835190362,-0.0,-0.804834836017166,-0.6873105240363794,0.0
2018-09-27,1.0,-0.45364946168461057,-1.0038790373654214,-0.0,-0.8090563647878405,-0.6916165294490184,0.0
2018-09-28,1.0,-0.4645094362207237,-1.0089374775565574,-0.0,-0.817539799704744,-0.698998523720225,0.0
2018-10-01,1.0,-0.46550141665669026,-1.0079811644518935,-0.0,-0.818069356319087,-0.699030288519095,0.0
2018-10-02,1.0,-0.4703486282496705,-0.9922527055628768,-0.0,-0.824847250509165,-0.7060420909708078,0.0
2018-10-03,1.0,-0.4893405638117316,-0.9985511445957693,-0.0,-0.8809040857722399,-0.77079107505071,0.0
2018-10-04,1.0,-0.49472202674173116,-0.9909343047563853,-0.0,-0.8876516123690856,-0.7662789253632487,0.0
2018-10-05,1.0,-0.4688582742121762,-0.9778914370565914,-0.0,-0.8983253588516747,-0.7796568223065501,0.0
2018-10-08,1.0,-0.4656519950637597,-0.9731386260798025,-0.0,-0.8977375565610859,-0.7770053475935829,0.0
2018-10-09,1.0,-0.46538603924149563,-0.9732631319155938,-0.0,-0.8978240302743614,-0.7768911192464317,0.0
2018-10-10,1.0,-0.465564738292011,-0.9725340240944039,-0.0,-0.8979482751531598,-0.7756260022203034,0.0
2018-10-11,1.0,-0.3503514015671702,-0.9831569593666694,-0.0,-0.8853703853299943,-0.8202197269569432,0.0
2018-10-12,1.0,-0.4920206578886149,-1.208439957195366,-0.0,-1.0210301028241753,-0.9311868980598335,0.0
2018-10-15,1.0,-0.4474994184694115,-1.2546638753198418,-0.0,-1.0153524075366365,-0.9347290067457548,0.0
2018-10-16,1.0,-0.43836833980446277,-1.2832015717827572,-0.0,-1.0186649202413811,-0.9376900406979464,0.0
2018-10-17,1.0,-0.39701193404391,-1.2052017855516077,-0.0,-1.0046916279493485,-0.9480732440557529,0.0
2018-10-18,1.0,-0.39612932604735884,-1.203688524590164,-0.0,-1.0058743169398907,-0.9480418943533697,0.0
2018-10-19,1.0,-0.37022758941012546,-1.2219228982814676,-0.0,-1.0600092893636786,-0.9925220622387366,0.0
2018-10-22,1.0,-0.3701778004735157,-1.2101573743094565,-0.0,-1.064853070888074,-0.9970753446915185,0.0
2018-10-23,1.0,-0.37149088209363834,-1.2095958424203055,-0.0,-1.0631525219247366,-0.9959630643589624,0.0
2018-10-24,1.0,-0.3713698758053973,-1.2096367541320383,-0.0,-1.0759174526099542,-1.012045942665048,0.0
2018-10-25,1.0,-0.30389438943894387,-1.1005940594059405,-0.0,-1.060902090209021,-0.9350495049504951,0.0
2018-10-26,1.0,-0.26930532389667766,-1.1313618536717307,-0.0,-1.1411441193706893,-0.9661001667943921,0.0
2018-10-29,1.0,-0.2241441932261872,-1.1758376464178697,-0.0,-1.14069735766821,-0.9993643875419959,0.0
2018-10-30,1.0,-0.2228576615831518,-1.1754266521423384,-0.0,-1.140341321713871,-1.0002269426289034,0.0
2018-10-31,1.0,-0.23007977054763823,-1.133100295778435,-0.0,-1.1316662185175228,-0.9866451555077529,0.0
2018-11-01,1.0,-0.19686630151746431,-1.1652599443297118,-0.0,-1.1354494028912634,-0.9920086199155966,0.0
2018-11-02,1.0,-0.2010113780025284,-1.177171753657215,-0.0,-1.138296911685028,-0.9985551742821022,0.0
2018-11-05,1.0,-0.20013537906137185,-1.1789259927797833,-0.0,-1.1376805054151624,-0.9958935018050542,0.0
2018-11-06,1.0,-0.20410372040586247,-1.1808342728297634,-0.0,-1.1337993235625703,-0.9908004509582863,0.0
2018-11-07,1.0,-0.20279531109107304,-1.182506762849414,-0.0,-1.1322362488728586,-0.9910730387736699,0.0
2018-11-08,1.0,-0.14822116677121605,-1.1958508826955823,-0.0,-1.1241150640738418,-1.0124563132897213,0.0
2018-11-09,1.0,-0.14720265601866392,-1.1977657140293418,-0.0,-1.1279106285611737,-1.0136390147606442,0.0
2018-11-12,1.0,-0.14474327628361858,-1.1693709713269616,-0.0,-1.1281618137363858,-1.003200711269171,0.0
2018-11-13,1.0,-0.10960698689956332,-1.1510480349344978,-0.0,-1.1188646288209607,-0.9872489082969432,0.0
2018-11-14,1.0,-0.10939274792485802,-1.1519440803844474,-0.0,-1.1194408038444736,-0.9879423328964614,0.0
2018-11-15,1.0,-0.10989349529090749,-1.1693952997095325,-0.0,-1.143033183698618,-0.978699058181498,0.0
2018-11-16,1.0,-0.10789035817497153,-1.1572379367720467,-0.0,-1.136001401173483,-0.977493650932656,0.0
2018-11-19,1.0,-0.10882507441779023,-1.1566275608474874,-0.0,-1.1350901768516897,-0.9770180353703379,0.0
2018-11-20,1.0,-0.03677301573502565,-1.144614448404764,-0.0,-1.1480048682952275,-1.017256367904025,0.0
2018-11-21,1.0,-0.044638649702266206,-1.1296748489911321,-0.0,-1.1405132159533908,-0.9691556355224263,0.0
2018-11-23,1.0,-0.04566739700133179,-1.1378614082570777,-0.0,-1.1411693946814452,-0.9713880654723547,0.0
2018-11-26,1.0,-0.04725767506036564,-1.1381942048982407,-0.0,-1.1483701276302174,-0.978052776819593,0.0
2018-11-27,1.0,-0.03018350197221746,-1.145386726119019,-0.0,-1.1416995369576404,-0.970159492368376,0.0
2018-11-28,1.0,-0.028353842182256263,-1.1631529128302214,-0.0,-1.1402633164099474,-0.9707856466741245,0.0
2018-11-29,1.0,-0.0,-1.1305335802053527,-0.0,-1.1165628682040063,-0.9609493351287662,0.0
2018-11-30,1.0,-0.0,-1.1313275825794236,-0.0,-1.1184935830002103,-0.9580475489164738,0.0
2018-12-03,1.0,-0.0,-1.1422280560613118,-0.0,-1.1271118262268705,-0.9648558241944362,0.0
2018-12-04,1.0,-0.0,-1.138674754623194,-0.0,-1.1165592484940394,-0.9572433548169679,0.0
2018-12-06,1.0,-0.0,-1.035535904364202,-0.0,-1.1383771391140587,-0.9200851551625316,0.0
2018-12-07,1.0,-0.0,-1.0419149373330594,-0.0,-1.148469282925827,-0.9189233614136019,0.0
2018-12-10,1.0,-0.0,-1.060489007602219,-0.0,-1.156975549619889,-0.8918430244503801,0.0
