Date,CBAY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.358062483118754,-2.8437021698028273,-0.2736112361573782,-1.8538759340956155,-1.6741694426937967,0.0
2018-09-25,1.0,-1.3581269698334084,-2.844394416929311,-0.27321026564610534,-1.8543899144529492,-1.674831157136425,0.0
2018-09-26,1.0,-1.3656642283030795,-2.855865619073422,-0.2819470784791836,-1.8585749119479817,-1.6689244107287997,0.0
2018-09-27,1.0,-1.3687674691191056,-2.8396898386078804,-0.28545667658461815,-1.8561897033630872,-1.666125687494365,0.0
2018-09-28,1.0,-1.364522241270414,-2.8456194171253273,-0.28746729224939094,-1.8573490932058108,-1.667869710367229,0.0
2018-10-01,1.0,-1.366212435700749,-2.843696417290858,-0.28797039978341304,-1.8584062810215685,-1.6681707427127515,0.0
2018-10-02,1.0,-1.3669493054302724,-2.830957965000902,-0.2930723434963016,-1.8594623849900775,-1.6699440736063502,0.0
2018-10-03,1.0,-1.3676231727125068,-2.8331528604944958,-0.29362930878902727,-1.8595921313842267,-1.6696444685074896,0.0
2018-10-04,1.0,-1.374920200638395,-2.8752393980848154,-0.2963064295485636,-1.8726858185134518,-1.7007751937984497,0.0
2018-10-05,1.0,-1.3483023992756902,-2.8638297872340424,-0.2634676324128565,-1.8746944318696241,-1.7036668175645087,0.0
2018-10-08,1.0,-1.3415162454873646,-2.853249097472924,-0.25279783393501803,-1.8787003610108306,-1.699097472924188,0.0
2018-10-09,1.0,-1.3403122461871673,-2.854255031134374,-0.24925548235718795,-1.8799747315224258,-1.70074902987095,0.0
2018-10-10,1.0,-1.3448898519321055,-2.852654387865656,-0.2535211267605634,-1.883351390393644,-1.6941133983387504,0.0
2018-10-11,1.0,-1.2000173325244823,-2.8497270127394057,-0.051824248201750585,-1.8388075223156253,-1.725799462691741,0.0
2018-10-12,1.0,-1.2204966294052393,-2.8388087720795285,-0.031657991296185684,-1.783769946241147,-1.6584179537503199,0.0
2018-10-15,1.0,-1.1813779627899073,-2.8825078582958117,-0.0,-1.7746155806643447,-1.656953529861524,0.0
2018-10-16,1.0,-1.1768851902173911,-2.88773777173913,-0.0,-1.7723335597826086,-1.654891304347826,0.0
