Date,IWF,IWM,MTUM,ODP,SPY,VLUE,VXX
2018-09-24,-0.6916609861395137,-1.6271301976823447,-0.038854805725971366,1.0,-1.0913428766189504,-1.2314814814814816,0.0
2018-09-25,-0.6928230751760164,-1.6251419486713603,-0.04127867363161481,1.0,-1.0896547808312513,-1.2290483761071997,0.0
2018-09-26,-0.6923907484230267,-1.6256180030687049,-0.038131499687446724,1.0,-1.0918906631812242,-1.234812752173666,0.0
2018-09-27,-0.6993464052287582,-1.611764705882353,-0.04273941460642228,1.0,-1.0938334754191532,-1.2357487922705315,0.0
2018-09-28,-0.6962478681068789,-1.6148379761227971,-0.04405912450255827,1.0,-1.0938601478112564,-1.235986355884025,0.0
2018-10-01,-0.6980381006539664,-1.6133067955644014,-0.044185385271538244,1.0,-1.0950810349729883,-1.2360534546488484,0.0
2018-10-02,-0.6982346241457859,-1.6276765375854214,-0.041571753986332574,1.0,-1.0934510250569476,-1.23376993166287,0.0
2018-10-03,-0.7036061820263309,-1.6503148254149973,-0.04510589582140813,1.0,-1.094791070406411,-1.2302232398397253,0.0
2018-10-04,-0.7060573128181661,-1.6438254304181201,-0.04633072127209288,1.0,-1.0974089115140422,-1.226219756334725,0.0
2018-10-05,-0.6847776510832383,-1.6362029646522236,-0.02103762827822121,1.0,-1.1124857468643101,-1.2468072976054732,0.0
2018-10-08,-0.681476846057572,-1.6312435999544885,-0.015246330640573446,1.0,-1.1155421549664353,-1.2454204118784846,0.0
2018-10-09,-0.6789596494223437,-1.632860964088555,-0.008024585965511354,1.0,-1.1198565818678503,-1.251493938876558,0.0
2018-10-10,-0.6792785616750113,-1.6322257624032774,-0.008079198907601275,1.0,-1.1201069640418753,-1.249829312699135,0.0
2018-10-11,-0.5526417704011065,-1.6251175656984786,-0.0,1.0,-1.0797786998616874,-1.2749654218533886,0.0
2018-10-12,-0.5615607410240997,-1.6181758566041857,-0.0,1.0,-1.0453576698180227,-1.2396305809060604,0.0
2018-10-15,-0.5187428384350958,-1.659682435750532,-0.0,1.0,-1.03650351939761,-1.2414470453429367,0.0
2018-10-16,-0.5132318437278333,-1.6686855459158618,-0.0,1.0,-1.0348120259726088,-1.2397009876139031,0.0
2018-10-17,-0.47300715861994724,-1.6042844071263254,-0.0,1.0,-1.0363851660476882,-1.2687442811776737,0.0
2018-10-18,-0.4747169811320755,-1.6100269541778975,-0.0,1.0,-1.0355256064690028,-1.2705121293800539,0.0
2018-10-19,-0.4431866952789699,-1.5953326180257512,-0.0,1.0,-1.046351931330472,-1.2799356223175964,0.0
