Date,IWF,IWM,JELD,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5076504438595708,-1.25587723602623,1.0,-0.0,-0.8698755408841504,-0.8274969888923585,0.0
2018-09-25,-0.5092076514915057,-1.254648414857092,1.0,-0.0,-0.8689971908859857,-0.826013287555179,0.0
2018-09-26,-0.5078770027223636,-1.2544740482884813,1.0,-0.0,-0.8702191279510867,-0.8303208818672736,0.0
2018-09-27,-0.5088752118455089,-1.2512710730532512,1.0,-0.0,-0.8698599589688698,-0.8298992061368299,0.0
2018-09-28,-0.5129533678756477,-1.2506700017866716,1.0,-0.0,-0.8716723244595319,-0.831427550473468,0.0
2018-10-01,-0.5147019394047726,-1.249352042184288,1.0,-0.0,-0.8729108946286531,-0.831709714898561,0.0
2018-10-02,-0.5138265397737475,-1.2754982941282096,1.0,-0.0,-0.8707577662057819,-0.8290536900700305,0.0
2018-10-03,-0.5148934252624938,-1.2591591185615791,1.0,-0.0,-0.8840520931909333,-0.8482267585958272,0.0
2018-10-04,-0.5147755470336115,-1.2625761335438754,1.0,-0.0,-0.8833746898263026,-0.8508910444394314,0.0
2018-10-05,-0.4934219388442369,-1.2532441291365455,1.0,-0.0,-0.8866238606259261,-0.8568093035786448,0.0
2018-10-08,-0.48893468327210826,-1.2478720544754056,1.0,-0.0,-0.8885404533643938,-0.8545381238240302,0.0
2018-10-09,-0.48962767149065817,-1.2485326403512702,1.0,-0.0,-0.8883910569469959,-0.853891303373807,0.0
2018-10-10,-0.4890955885673003,-1.2624734727051068,1.0,-0.0,-0.8947938772745745,-0.8689212985957466,0.0
2018-10-11,-0.38015949522390674,-1.2546227324511434,1.0,-0.0,-0.8612303917272807,-0.8857243011129611,0.0
2018-10-12,-0.37461568440653015,-1.2468713462954142,1.0,-0.0,-0.8427662062096739,-0.8660633092279046,0.0
2018-10-15,-0.339600622406639,-1.2798668741355461,1.0,-0.0,-0.8358834716459198,-0.8669173582295988,0.0
2018-10-16,-0.33601279225549935,-1.2854055922900731,1.0,-0.0,-0.8346514542547214,-0.86563810017719,0.0
2018-10-17,-0.49255735216858326,-1.648590274940167,1.0,-0.0,-1.3068122117798144,-1.3894110092814198,0.0
2018-10-18,-0.49144924998540823,-1.646588455028308,1.0,-0.0,-1.308994338411253,-1.3897157532247708,0.0
2018-10-19,-0.45399270368869066,-1.6248190398980833,1.0,-0.0,-1.3174474491864032,-1.3944640685621632,0.0
2018-10-22,-0.4542088516054382,-1.6150419438819787,1.0,-0.0,-1.3196991611223605,-1.3964130749204513,0.0
2018-10-23,-0.454797848342877,-1.6146682861935338,1.0,-0.0,-1.3188154317774308,-1.3957429579501417,0.0
2018-10-24,-0.45006065507480786,-1.607706082837502,1.0,-0.0,-1.3196233608688117,-1.3991681589740628,0.0
2018-10-25,-0.37001262279787056,-1.4945392678777234,1.0,-0.0,-1.303715493112343,-1.319960485154492,0.0
2018-10-26,-0.33750269570843217,-1.460157429372439,1.0,-0.0,-1.2993314643088203,-1.2943713607936165,0.0
2018-10-29,-0.3158909538857051,-1.4600182100583794,1.0,-0.0,-1.287504686412083,-1.2925392319640083,0.0
2018-10-30,-0.3125434980459339,-1.4594464371754376,1.0,-0.0,-1.2870067990791798,-1.2946089191070185,0.0
2018-10-31,-0.3149522233491699,-1.4511290236481078,1.0,-0.0,-1.2821758394277478,-1.2898628089467785,0.0
2018-11-01,-0.2932751184707949,-1.4647249880198072,1.0,-0.0,-1.278579415366594,-1.2880038336616793,0.0
2018-11-02,-0.29542449087542977,-1.441047341973023,1.0,-0.0,-1.2749008198889185,-1.2782332716212643,0.0
2018-11-05,-0.2896128622805162,-1.4579014173894649,1.0,-0.0,-1.2760736196319018,-1.2651787603130948,0.0
2018-11-06,-0.2885205972678174,-1.4570051890289104,1.0,-0.0,-1.279572169861273,-1.2698295033358042,0.0
2018-11-07,-0.28759348644778016,-1.4627910677345781,1.0,-0.0,-1.2808041160558001,-1.2730599904524478,0.0
2018-11-08,-0.2333315819891767,-1.4684495350181266,1.0,-0.0,-1.2658015026532863,-1.2864498502600747,0.0
2018-11-09,-0.23782741443033908,-1.5012052064920458,1.0,-0.0,-1.3039798596603995,-1.313514382130805,0.0
2018-11-12,-0.2379373060875147,-1.4710067401305233,1.0,-0.0,-1.3261474269819193,-1.3141649727185194,0.0
2018-11-13,-0.18341655157760542,-1.471316264740253,1.0,-0.0,-1.340380325082333,-1.316689684478912,0.0
2018-11-14,-0.18589198384010205,-1.4710291303423344,1.0,-0.0,-1.3419094195194556,-1.3168722092281522,0.0
2018-11-15,-0.183081410766375,-1.4695836648103953,1.0,-0.0,-1.3419782551047466,-1.3089896579156723,0.0
