Date,GDV,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18164104784585408,-0.27886988525654904,-0.0925092011257848,-0.31554449014938296,-0.29640614851699504,0.0
2018-09-25,1.0,-0.18075789108567464,-0.28078390565383277,-0.09044398196323274,-0.3172043010752688,-0.2986906000693722,0.0
2018-09-26,1.0,-0.18085844352915675,-0.28090179926295256,-0.09072187296769997,-0.31710383698244093,-0.2982007370474745,0.0
2018-09-27,1.0,-0.18193045173870653,-0.27795471779872166,-0.0915827104322392,-0.31708373957317737,-0.29806088181128804,0.0
2018-09-28,1.0,-0.18082732020195452,-0.2790743028017942,-0.09185464473769744,-0.3170166200784416,-0.2981213027367874,0.0
2018-10-01,1.0,-0.18141823067920768,-0.2785531619782411,-0.0917602184560704,-0.3173681244852845,-0.29812318495080403,0.0
2018-10-02,1.0,-0.18161128812016386,-0.2778464139410885,-0.09218197975594425,-0.3175108914753885,-0.2983072154669788,0.0
2018-10-03,1.0,-0.18139071269149928,-0.27335370213872456,-0.09150794166720838,-0.3192701900366205,-0.3013716440226224,0.0
2018-10-04,1.0,-0.18340951927034815,-0.2701098377347863,-0.09179141662514352,-0.32184406074655,-0.2992699148595074,0.0
2018-10-05,1.0,-0.18109895810816654,-0.268189875059444,-0.08944706238381393,-0.3227919242574899,-0.3000734944446846,0.0
2018-10-08,1.0,-0.1831291807835983,-0.2727391191034662,-0.09104334983928415,-0.3227347754321953,-0.30218921032056295,0.0
2018-10-09,1.0,-0.1825091754077356,-0.27282993463200644,-0.08953894933437576,-0.32353899276825854,-0.30329880339652965,0.0
2018-10-10,1.0,-0.18317412071211464,-0.2719279201042119,-0.09042553191489361,-0.323881893182805,-0.301650021710812,0.0
2018-10-11,1.0,-0.18982018879081888,-0.2750826781138439,-0.09485534067763202,-0.32988019886550296,-0.3005103046496857,0.0
2018-10-12,1.0,-0.18622962422312167,-0.28215336297082694,-0.08990776988919116,-0.34178223077433484,-0.31168026894919604,0.0
2018-10-15,1.0,-0.18695123299789893,-0.2803494415570054,-0.09061152272475949,-0.34220944376866086,-0.31153378303660295,0.0
2018-10-16,1.0,-0.18663747346072188,-0.2816038570417551,-0.0896585279547063,-0.342223991507431,-0.311482661004954,0.0
2018-10-17,1.0,-0.18358231942091482,-0.2742733933246793,-0.087192801038481,-0.3418406635717586,-0.31326043431387646,0.0
2018-10-18,1.0,-0.18322810568229317,-0.2736652220780078,-0.08746727676705458,-0.3422795169060871,-0.31326308379347517,0.0
2018-10-19,1.0,-0.18019815001534348,-0.27008899215290866,-0.08491517250449343,-0.34351847792731577,-0.3132260751391872,0.0
2018-10-22,1.0,-0.1818141961506423,-0.2664299180148187,-0.08056030514270683,-0.3470559866719277,-0.31625674076022625,0.0
2018-10-23,1.0,-0.18262508492406146,-0.26610269784566837,-0.08253522978807337,-0.34517521751517677,-0.315150452563063,0.0
2018-10-24,1.0,-0.18316983445738813,-0.26394849785407726,-0.0795086274853289,-0.34636944906718053,-0.3166987825172988,0.0
2018-10-25,1.0,-0.17738190813027535,-0.25503938203831883,-0.07848200143207412,-0.34751665328617615,-0.3113459326925163,0.0
2018-10-26,1.0,-0.1735328410415857,-0.2518460940536339,-0.07300168415597875,-0.3513192555166904,-0.30945286522433824,0.0
2018-10-29,1.0,-0.17676855138973072,-0.25021646895835137,-0.07375097411031259,-0.35529050134210755,-0.30866308771322193,0.0
2018-10-30,1.0,-0.1798531545775487,-0.2501137077386238,-0.07561023153061444,-0.3548764375906954,-0.3054081566351173,0.0
2018-10-31,1.0,-0.18177896643947888,-0.24115693210249334,-0.07656802691743593,-0.3540246743162799,-0.3032956604261927,0.0
2018-11-01,1.0,-0.18036180167748336,-0.2429116626059208,-0.0750986437827465,-0.35423359710213675,-0.30354255158584703,0.0
