Date,IWF,IWM,MRNA,MTUM,SPY,VLUE,VXX
2019-08-07,-0.0,-0.7045151457420461,1.0,-2.8920746808915982,-2.381120213373976,-2.5478186321204035,0.0
2019-08-08,-0.0,-0.7011406115211349,1.0,-2.927154222179622,-2.3983513850282754,-2.558324547110131,0.0
2019-08-09,-0.0,-0.6401736832169153,1.0,-2.8586936001510286,-2.3410420993014913,-2.5993958844629037,0.0
2019-08-12,-0.0,-0.6095301125082726,1.0,-2.9204878509974472,-2.3736409189751346,-2.5508178122340928,0.0
2019-08-13,-0.0,-0.5970932958274731,1.0,-2.89592123769339,-2.3543366150961087,-2.529113924050633,0.0
2019-08-14,-0.0,-0.6335034802784223,1.0,-2.8649651972157772,-2.2930858468677493,-2.4891879350348027,0.0
2019-08-15,-0.0,-0.7494226327944573,1.0,-2.7681648605436133,-2.1670811867116715,-2.19799253863919,0.0
2019-08-16,-0.0,-0.7550404121147527,1.0,-2.763566924238387,-2.1631583621991295,-2.2000177635669242,0.0
2019-08-19,-0.0,-0.6992619926199262,1.0,-2.7598840274117027,-2.162625197680548,-2.1640309260235457,0.0
2019-08-20,-0.0,-0.7115519049283467,1.0,-2.7654666200629148,-2.1363159734358614,-2.1247815449143657,0.0
2019-08-21,-0.0,-0.7418581950483627,1.0,-2.8476351051557374,-2.1721536959801226,-2.112166119442719,0.0
2019-08-22,-0.0,-0.7464165634400992,1.0,-2.8366660768005665,-2.176251990798089,-2.0886568748894003,0.0
2019-08-23,-0.0,-0.7460401734359791,1.0,-2.8377134766834793,-2.176533050172551,-2.0885762321918415,0.0
2019-08-26,-0.0,-0.6756639847737694,1.0,-2.7864002076304177,-2.1673155117224674,-2.0218877065490095,0.0
2019-08-27,-0.0,-0.670819275023791,1.0,-2.7891686132018343,-2.167748075093001,-2.023531447357038,0.0
2019-08-28,-0.0,-0.6575603008558831,1.0,-2.7983055243364747,-2.1703120947523127,-2.019192530474626,0.0
2019-08-29,-0.0,-0.6464245665487794,1.0,-2.807728801863193,-2.172086603985163,-1.999741223151902,0.0
2019-08-30,-0.0,-0.6155296537538566,1.0,-2.810078848131642,-2.174922865958176,-1.9700034281796366,0.0
2019-09-03,-0.0,-0.5989332415691673,1.0,-2.8130591878871303,-2.1780798348245014,-2.012818306951136,0.0
2019-09-04,-0.0,-0.5911673553719008,1.0,-2.8209366391184574,-2.180699035812672,-2.016098484848485,0.0
2019-09-05,-0.0,-0.617561559507524,1.0,-2.800359097127223,-2.1691176470588234,-1.9629787961696306,0.0
2019-09-06,-0.0,-0.5867120954003406,1.0,-2.8480408858603066,-2.1931005110732538,-1.8900340715502555,0.0
2019-09-09,-0.0,-0.5705631399317406,1.0,-2.8505119453924914,-2.2011945392491468,-1.9101535836177477,0.0
2019-09-10,-0.0,-0.587442415969971,1.0,-2.801996246374339,-2.1980890632997783,-1.9434396860603993,0.0
2019-09-11,-0.0,-0.6496337785437312,1.0,-2.6823782852218874,-2.218267987936234,-2.066695389918139,0.0
2019-09-12,-0.0,-0.4798024342917622,1.0,-2.8228964544011292,-2.346798377138825,-2.170400423355089,0.0
2019-09-13,-0.0,-0.47881729920564875,1.0,-2.8308031774051194,-2.348984995586937,-2.167519858781995,0.0
2019-09-16,-0.0,-0.4897039328325232,1.0,-2.8109589041095893,-2.3623508616880247,-2.174812196199735,0.0
2019-09-17,-0.0,-0.5363652450893648,1.0,-2.8018049902672093,-2.364183330384003,-2.145726420102637,0.0
2019-09-18,-0.0,-0.5303607836184736,1.0,-2.8216470171084125,-2.3693821469727863,-2.143072422657566,0.0
2019-09-19,-0.0,-0.5235012415750266,1.0,-2.826534231997162,-2.380276693863072,-2.138169563675062,0.0
2019-09-20,-0.0,-0.5184955202696709,1.0,-2.8295928324314734,-2.38303912002129,-2.139625654218043,0.0
2019-09-23,-0.0,-0.5209867778862366,1.0,-2.833170645132665,-2.3707516194870886,-2.1489928121394977,0.0
2019-09-24,-0.0,-0.5219243742233268,1.0,-2.833037457837742,-2.371826735309782,-2.1495650630214804,0.0
2019-09-25,-0.0,-0.4761397906687954,1.0,-2.849476671988646,-2.398350186269292,-2.145910945538407,0.0
2019-09-26,-0.0,-0.44271809983034194,1.0,-2.9092776140726846,-2.424234306634521,-2.153138673095812,0.0
2019-09-27,-0.0,-0.4616556172728902,1.0,-2.9056620677297977,-2.432091023114137,-2.159559218777997,0.0
2019-09-30,-0.0,-0.4496068620443173,1.0,-2.8799142244460327,-2.4397784131522515,-2.165654038598999,0.0
2019-10-01,-0.0,-0.4625892857142857,1.0,-2.87125,-2.437767857142857,-2.1569642857142854,0.0
