Date,IWF,IWM,MTUM,SPSC,SPY,VLUE,VXX
2018-09-24,-0.48734324198792384,-0.9778216442173713,-0.05817464003715746,1.0,-0.6805620065025546,-0.6667053723486608,0.0
2018-09-25,-0.48773409688902647,-0.9769385544033431,-0.05912397461693236,1.0,-0.6798483206933911,-0.6657251199504721,0.0
2018-09-26,-0.4902158329135506,-0.9806641608865811,-0.06292866276591623,1.0,-0.6801642965086991,-0.6609834541016003,0.0
2018-09-27,-0.48981654228855714,-0.9890780472636814,-0.06168376865671641,1.0,-0.6827192164179104,-0.6635183457711442,0.0
2018-09-28,-0.5011753643629525,-0.9933787807553675,-0.061197304497727624,1.0,-0.6913101394765709,-0.6707804419370004,0.0
2018-10-01,-0.5010775439833862,-0.9935739195172604,-0.061596332432114737,1.0,-0.6912346694878728,-0.6708592923474785,0.0
2018-10-02,-0.5018695635061203,-1.0173574211831384,-0.0561656236470264,1.0,-0.6908725941669618,-0.669697327508167,0.0
2018-10-03,-0.5044639330015013,-1.0294303547444104,-0.05795212135577152,1.0,-0.6911195385952438,-0.6674172394722289,0.0
2018-10-04,-0.5082731114007029,-1.022509181376614,-0.05883978991430715,1.0,-0.6960470718319314,-0.6633100343561189,0.0
2018-10-05,-0.5015149726517923,-1.020461968283949,-0.04879392436941722,1.0,-0.6983040176287726,-0.6659190178255223,0.0
2018-10-08,-0.4995288574793876,-1.0170003926187672,-0.0458578720062819,1.0,-0.6993718099725168,-0.6644287396937574,0.0
2018-10-09,-0.5053971005357705,-1.0208792940434919,-0.05460132366845257,1.0,-0.6981957138354868,-0.660416010085093,0.0
2018-10-10,-0.5052735532293107,-1.0262690104681018,-0.05178747777997235,1.0,-0.7004147738494964,-0.6665218250049378,0.0
2018-10-11,-0.45661401965658344,-1.0166354353894986,-0.0,1.0,-0.679414126735248,-0.6716126811732762,0.0
2018-10-12,-0.453084637593071,-1.0142835435344175,-0.0,1.0,-0.6700729372435801,-0.6613736514207568,0.0
2018-10-15,-0.45216928804802065,-1.0155383329534229,-0.0,1.0,-0.6702378238735658,-0.661157966719854,0.0
2018-10-16,-0.4519621623675113,-1.0158036697944763,-0.0,1.0,-0.6700983930403068,-0.6610568704175055,0.0
2018-10-17,-0.43088460246987276,-0.9753758907584972,-0.0,1.0,-0.660746931313659,-0.6639555273663397,0.0
2018-10-18,-0.43104679571509114,-0.9778988911858674,-0.0,1.0,-0.6767900770531855,-0.672956211238489,0.0
2018-10-19,-0.4276691729323308,-0.981954887218045,-0.0,1.0,-0.6770300751879699,-0.6727443609022556,0.0
2018-10-22,-0.43010712130356066,-0.9935878092939046,-0.0,1.0,-0.6760712130356065,-0.6721484610742304,0.0
2018-10-23,-0.44066000605510147,-0.9985240690281563,-0.0,1.0,-0.6730623675446564,-0.6721919467151075,0.0
2018-10-24,-0.4389248043552228,-0.9942913311405995,-0.0,1.0,-0.6733204793769612,-0.6740387887036406,0.0
2018-10-25,-0.4108498697868907,-0.9504823387008035,-0.0,1.0,-0.6656274071085354,-0.6410152954553792,0.0
2018-10-26,-0.3968565102181567,-0.9361501324911975,-0.0,1.0,-0.665831790627609,-0.6310936876111655,0.0
2018-10-29,-0.35137485506046046,-1.168543978797416,-0.0,1.0,-0.7963806526420408,-0.8248302136822925,0.0
2018-10-30,-0.33362344067304905,-1.170624559658502,-0.0,1.0,-0.7989141696713498,-0.8412283973641675,0.0
2018-10-31,-0.3559457302474062,-1.1524341580207502,-0.0,1.0,-0.8310580921577687,-0.8610072667702776,0.0
2018-11-01,-0.3364501656253931,-1.1665897941213468,-0.0,1.0,-0.8293848798691769,-0.8606230869218834,0.0
2018-11-02,-0.34788420568946077,-1.121475416684072,-0.0,1.0,-0.8506620995029032,-0.8572622081122855,0.0
2018-11-05,-0.34224822398662763,-1.1388633514417048,-0.0,1.0,-0.8527789385708315,-0.8450062682824906,0.0
2018-11-06,-0.35580634334619904,-1.1544302735358283,-0.0,1.0,-0.8493874811209935,-0.8357526430609163,0.0
2018-11-07,-0.35564783356402835,-1.1542720523467975,-0.0,1.0,-0.849041567048362,-0.8355354221718887,0.0
2018-11-08,-0.32382334646485594,-1.151689819614348,-0.0,1.0,-0.833754924320962,-0.8375285092266225,0.0
2018-11-09,-0.3237281811020357,-1.1512500518263609,-0.0,1.0,-0.8339068783946267,-0.837223765496082,0.0
2018-11-12,-0.32330578512396696,-1.127107438016529,-0.0,1.0,-0.846900826446281,-0.8348760330578513,0.0
2018-11-13,-0.31251802117230304,-1.128022408040532,-0.0,1.0,-0.8460271038431436,-0.832557564773242,0.0
2018-11-14,-0.3147934361342459,-1.127772738517358,-0.0,1.0,-0.847612764904758,-0.8328523130205328,0.0
2018-11-15,-0.3134647840941835,-1.1275264479479685,-0.0,1.0,-0.847939735726341,-0.8274811674144815,0.0
2018-11-16,-0.308367874584479,-1.1147863914310339,-0.0,1.0,-0.8462674929207535,-0.8344892682726638,0.0
