Date,IWF,IWM,MTUM,SPY,VECO,VLUE,VXX
2018-09-24,-0.9459997157879778,-2.0118658519255366,-0.21784851499218416,-1.4675287764672444,1.0,-1.461986642034958,0.0
2018-09-25,-0.9512437810945273,-2.0089552238805974,-0.22537313432835823,-1.4649609097370293,1.0,-1.4567874911158496,0.0
2018-09-26,-0.9510598947218666,-2.0099587423531085,-0.22264902546592688,-1.4674206857305447,1.0,-1.462227912932138,0.0
2018-09-27,-0.952397868561279,-2.0015630550621673,-0.22436944937833037,-1.4659325044404976,1.0,-1.4605328596802845,0.0
2018-09-28,-0.9497726626882638,-2.003339016766127,-0.2254191531685138,-1.4654021028701336,1.0,-1.4603580562659846,0.0
2018-10-01,-0.9502699630576869,-2.002415458937198,-0.22598749644785449,-1.4654731457800512,1.0,-1.460144927536232,0.0
2018-10-02,-0.9597033021895729,-1.9723272234505385,-0.24085300620497826,-1.4821339419442265,1.0,-1.4770701091220313,0.0
2018-10-03,-0.9592156862745098,-1.9574331550802138,-0.23907308377896608,-1.4877718360071301,1.0,-1.4867023172905525,0.0
2018-10-04,-0.9610343353754096,-1.9504202877902834,-0.24013392221114116,-1.489457187633566,1.0,-1.482404900983046,0.0
2018-10-05,-0.9379295684829588,-1.939913554878481,-0.2127825409197194,-1.4992560051016792,1.0,-1.4957840289095161,0.0
2018-10-08,-0.9330931185530592,-1.9325985587113184,-0.20580754557015685,-1.5009891196834817,1.0,-1.4926522537798503,0.0
2018-10-09,-0.9322500883080183,-1.9331684916990461,-0.2035323207347227,-1.501872129989403,1.0,-1.4938890851289297,0.0
2018-10-10,-0.9319626960576516,-1.934223541048467,-0.20213367246008196,-1.5024021478027414,1.0,-1.4944185389289248,0.0
2018-10-11,-0.8333446381333514,-1.9106016414569624,-0.07637522892220036,-1.4625245879400393,1.0,-1.5000339144000543,0.0
2018-10-12,-0.8529806659505907,-1.9080961331901178,-0.06169441460794844,-1.4301825993555317,1.0,-1.4602577873254563,0.0
2018-10-15,-0.8342031312725813,-1.9324233908738124,-0.03331995182657567,-1.4284089388465142,1.0,-1.4623979660109727,0.0
