Date,CLBK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-12-20,1.0,-0.0,-0.6370793562321466,-0.0,-0.32810794491279405,-0.3572307763765996,0.0
2018-12-21,1.0,-0.0,-0.6443160100393747,-0.0,-0.3331414492620139,-0.32515139653227104,0.0
2018-12-24,1.0,-0.0,-0.6557730667532587,-0.0,-0.3451779004499698,-0.3185044301155077,0.0
2018-12-26,1.0,-0.0,-0.6875057187299844,-0.0,-0.30048494830268097,-0.2995013267453564,0.0
2018-12-27,1.0,-0.0,-0.6616815051971405,-0.0,-0.22088943467391783,-0.3103153370466208,0.0
2018-12-28,1.0,-0.0,-0.6666447627809173,-0.0,-0.21849126034958602,-0.30527445568843914,0.0
2018-12-31,1.0,-0.0,-0.6758140352419035,-0.0,-0.21731774838511228,-0.30399437535703305,0.0
2019-01-02,1.0,-0.0,-0.6752877990799234,-0.0,-0.2128502564328322,-0.3130241465078911,0.0
2019-01-03,1.0,-0.0,-0.6744324181626188,-0.0,-0.22905667018655404,-0.2964405139035551,0.0
2019-01-04,1.0,-0.0,-0.6794106717380375,-0.0,-0.20919404551118106,-0.2973309725227884,0.0
2019-01-07,1.0,-0.0,-0.6637603350155696,-0.0,-0.20504670890153548,-0.27875013422098144,0.0
2019-01-08,1.0,-0.0,-0.6507586147779874,-0.0,-0.21755528887364992,-0.27464426538659353,0.0
2019-01-09,1.0,-0.0,-0.6407891639740654,-0.0,-0.2167419168467678,-0.28226306892345876,0.0
2019-01-10,1.0,-0.0,-0.6307585878894005,-0.0,-0.24595196402706618,-0.2851027952526104,0.0
2019-01-11,1.0,-0.0,-0.6267576643917234,-0.0,-0.25004874878128047,-0.28978442205611527,0.0
2019-01-14,1.0,-0.0,-0.6290623104255134,-0.0,-0.2560880492243695,-0.2813935349683681,0.0
2019-01-15,1.0,-0.0,-0.6246914649460875,-0.0,-0.2570259385961114,-0.2834408695275625,0.0
2019-01-16,1.0,-0.0,-0.6237294000605562,-0.0,-0.24704788269388814,-0.29196764565941435,0.0
2019-01-17,1.0,-0.0,-0.6259304137095377,-0.0,-0.24619179504933356,-0.29163060411978536,0.0
2019-01-18,1.0,-0.0,-0.6222621418059042,-0.0,-0.24980521166998526,-0.2922474244654143,0.0
2019-01-22,1.0,-0.0,-0.628857974765448,-0.0,-0.24861425644343793,-0.2793270786153348,0.0
2019-01-23,1.0,-0.0,-0.6283793940174794,-0.0,-0.24851295926474692,-0.27045888896046727,0.0
2019-01-24,1.0,-0.0,-0.6279259545591204,-0.0,-0.24915174161405315,-0.27039041360649396,0.0
2019-01-25,1.0,-0.0,-0.6255099849688641,-0.0,-0.2602319089542624,-0.26156323813613913,0.0
2019-01-28,1.0,-0.0,-0.6168336587354373,-0.0,-0.2690467506275612,-0.25962796884721834,0.0
2019-01-29,1.0,-0.0,-0.617888619647031,-0.0,-0.2673214247421354,-0.2591941329101709,0.0
2019-01-30,1.0,-0.0,-0.6179283722925156,-0.0,-0.26761741368217884,-0.2589963542783616,0.0
2019-01-31,1.0,-0.0,-0.6191525314966525,-0.0,-0.24716048854569958,-0.27267865928001545,0.0
2019-02-01,1.0,-0.0,-0.6188867989056088,-0.0,-0.24563953488372092,-0.27295656634746923,0.0
2019-02-04,1.0,-0.0,-0.6178494670342792,-0.0,-0.2462714108937759,-0.306797212513297,0.0
2019-02-05,1.0,-0.0,-0.6220932759594906,-0.0,-0.24840266005998174,-0.3027339505367932,0.0
2019-02-06,1.0,-0.0,-0.6204040712246366,-0.0,-0.25822199943334134,-0.30083037290499753,0.0
2019-02-07,1.0,-0.0,-0.6193341618156845,-0.0,-0.2560010465040225,-0.3048597030544836,0.0
2019-02-08,1.0,-0.0,-0.6259052258443337,-0.0,-0.2597699149685753,-0.2890633494987278,0.0
2019-02-11,1.0,-0.0,-0.6251441000543774,-0.0,-0.25872756933115826,-0.2912234910277325,0.0
2019-02-12,1.0,-0.0,-0.6283755848112285,-0.0,-0.2568382112936568,-0.2908279838972908,0.0
2019-02-13,1.0,-0.0,-0.6286452004860267,-0.0,-0.255532893594862,-0.2855624023607013,0.0
2019-02-14,1.0,-0.0,-0.6297260363115769,-0.0,-0.25778182685841955,-0.28166417214377126,0.0
2019-02-15,1.0,-0.0,-0.6262077950276842,-0.0,-0.26079687330365864,-0.28431223537075234,0.0
2019-02-19,1.0,-0.0,-0.6217902879802378,-0.0,-0.2630609547335803,-0.2820646167847624,0.0
2019-02-20,1.0,-0.0,-0.6216983380641806,-0.0,-0.26495633897423676,-0.28014560897922036,0.0
2019-02-21,1.0,-0.0,-0.6200650054171181,-0.0,-0.26615384615384613,-0.2806283856988082,0.0
2019-02-22,1.0,-0.0,-0.6211602616871019,-0.0,-0.26855422208743124,-0.276569472726485,0.0
2019-02-25,1.0,-0.0,-0.6176948227702834,-0.0,-0.2685620249875495,-0.2790420717580062,0.0
2019-02-26,1.0,-0.0,-0.6189692507579039,-0.0,-0.2694456474664357,-0.2770246860112603,0.0
2019-02-27,1.0,-0.0,-0.6203976435935198,-0.0,-0.26866932339946287,-0.2767478125270727,0.0
2019-02-28,1.0,-0.0,-0.6254199449465722,-0.0,-0.2737499187203329,-0.2682879250926588,0.0
2019-03-01,1.0,-0.0,-0.6259727310168426,-0.0,-0.27986473890707303,-0.2618082500596102,0.0
2019-03-04,1.0,-0.0,-0.6216415323279598,-0.0,-0.2782761310452418,-0.2668573409603051,0.0
