Date,IWF,IWM,MTUM,SPY,VBTX,VLUE,VXX
2018-09-24,-0.1785334444795769,-0.8312972491304723,-0.01739055448561327,-0.40903733938888737,1.0,-0.4381844836011383,0.0
2018-09-25,-0.17768319870291557,-0.8410782014534295,-0.010683575089029793,-0.41758591736877154,1.0,-0.4482758620689655,0.0
2018-09-26,-0.1775487158699366,-0.841040044010771,-0.010278831398210614,-0.41775487158699365,1.0,-0.4488230014187683,0.0
2018-09-27,-0.17679525912154312,-0.8488844991866139,-0.008743899604926796,-0.4197362305368348,1.0,-0.4507901464094818,0.0
2018-09-28,-0.17749949153034839,-0.8483017113635704,-0.008978121277275765,-0.41987971060812973,1.0,-0.45088183165296225,0.0
2018-10-01,-0.1785340618460823,-0.8473320158102766,-0.008893280632411066,-0.4205707974889561,1.0,-0.45097070448732857,0.0
2018-10-02,-0.17867946480511926,-0.8523560209424085,-0.007737056428155905,-0.4198371146015125,1.0,-0.4500290866783013,0.0
2018-10-03,-0.1785537754775681,-0.8494751839037012,-0.007588753525426685,-0.42052161777105806,1.0,-0.45142906986886866,0.0
2018-10-04,-0.18171756752714546,-0.8928539379617719,-0.005384224223026532,-0.42885345936406327,1.0,-0.4824264903831773,0.0
2018-10-05,-0.17170693918898788,-0.891219497661115,-0.0,-0.43053362333522033,1.0,-0.4860113815809075,0.0
2018-10-08,-0.1842195647422487,-0.9276547912698659,-0.0,-0.48830674118712336,1.0,-0.5221531832516314,0.0
2018-10-09,-0.17906155240864047,-0.9283816311857201,-0.0,-0.4913876645096752,1.0,-0.5272437400356372,0.0
2018-10-10,-0.17743864065449969,-0.9372876022655758,-0.0,-0.4945877910635619,1.0,-0.5373190685966016,0.0
2018-10-11,-0.11673342098021829,-0.9311768123031766,-0.0,-0.46989940991225115,1.0,-0.5396398324517686,0.0
2018-10-12,-0.10858191831115191,-0.9386262811687319,-0.0,-0.47082759675692215,1.0,-0.541471623068686,0.0
2018-10-15,-0.06642634870752072,-0.9934682811103922,-0.0,-0.4701605200727116,1.0,-0.5509135163447022,0.0
2018-10-16,-0.06180641183723797,-1.0017879161528975,-0.0,-0.4691430332922318,1.0,-0.5498150431565967,0.0
2018-10-17,-0.04009842340289802,-0.9661897384489202,-0.0,-0.4681490932288344,1.0,-0.5633220936237432,0.0
2018-10-18,-0.04038899863242668,-0.9676340981613737,-0.0,-0.4674973408296611,1.0,-0.5635313782099985,0.0
2018-10-19,-0.032084912812736927,-0.9710083396512509,-0.0,-0.4663229719484458,1.0,-0.5631842304776346,0.0
2018-10-22,-0.03843792214171681,-0.9994780793319415,-0.0,-0.4676102173646076,1.0,-0.5645646567604077,0.0
2018-10-23,-0.03122078893251075,-1.0133981429550694,-0.0,-0.4897177042437839,1.0,-0.5815105627220041,0.0
2018-10-24,-0.03196504903193362,-1.0300792054312295,-0.0,-0.4958825748051295,1.0,-0.5851772692984663,0.0
2018-10-25,-0.030314477287751437,-1.0343438159095917,-0.0,-0.4963956306859319,1.0,-0.5868668744294394,0.0
2018-10-26,-0.019092185306504444,-1.0228357510528778,-0.0,-0.49839338636718145,1.0,-0.579285602870067,0.0
2018-10-29,-0.0,-1.033226718007639,-0.0,-0.4879669596000373,1.0,-0.5841070707698041,0.0
2018-10-30,-0.0,-1.0362564295571446,-0.0,-0.487360431564421,1.0,-0.6127524777317777,0.0
2018-10-31,-0.0,-1.0194704049844237,-0.0,-0.48663551401869154,1.0,-0.6091588785046729,0.0
2018-11-01,-0.0,-1.0174945329584504,-0.0,-0.49300218681661984,1.0,-0.6135582630427991,0.0
2018-11-02,-0.0,-0.9826475737868935,-0.0,-0.5251688344172086,1.0,-0.6187781390695347,0.0
2018-11-05,-0.0,-0.9921840805352341,-0.0,-0.524667041830801,1.0,-0.6095166635402989,0.0
